鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[835.7846069335938, 575.8759155273438]","[835.2492065429688, 566.2047729492188]","[825.3795166015625, 564.7794799804688]","[810.5057983398438, 579.5895385742188]","[797.1510620117188, 569.1797485351562]","[781.8964233398438, 629.9461669921875]","[758.2139282226562, 625.6104125976562]","[771.4827270507812, 725.3571166992188]","[691.2180786132812, 688.0140991210938]","[820.8077392578125, 735.6213989257812]","[762.1766967773438, 744.3411254882812]","[736.5465698242188, 804.3099975585938]","[708.5552978515625, 802.2123413085938]","[788.3035888671875, 932.0110473632812]","[697.7825927734375, 934.0750122070312]","[728.7514038085938, 1066.0279541015625]","[612.2514038085938, 1072.1595458984375]"
"[855.8101196289062, 570.5762329101562]","[860.0764770507812, 562.0435180664062]","[847.2774047851562, 557.7771606445312]","[834.4783325195312, 557.7771606445312]","[817.412841796875, 557.7771606445312]","[804.6137084960938, 621.7725830078125]","[770.4828491210938, 617.5062255859375]","[779.0155639648438, 707.099853515625]","[710.7537841796875, 681.5016479492188]","[834.4783325195312, 724.1653442382812]","[783.2819213867188, 728.4317016601562]","[770.4828491210938, 783.8943481445312]","[732.0855712890625, 783.8943481445312]","[808.8800659179688, 920.4180297851562]","[706.4874267578125, 924.6843872070312]","[783.2819213867188, 1061.2078857421875]","[612.62744140625, 1065.4742431640625]"
"[877.339599609375, 567.2163696289062]","[881.5984497070312, 562.9575805664062]","[873.0807495117188, 554.43994140625]","[856.0454711914062, 558.6987915039062]","[839.01025390625, 554.43994140625]","[821.9750366210938, 609.8045043945312]","[792.1632690429688, 605.5457153320312]","[800.6809692382812, 694.9807739257812]","[732.5398559570312, 673.6867065429688]","[851.7866821289062, 712.0160522460938]","[804.9397583007812, 720.5337524414062]","[770.8692016601562, 771.6394653320312]","[758.0927734375, 771.6394653320312]","[728.2810668945312, 907.9215698242188]","[826.2338256835938, 912.1803588867188]","[630.3283081054688, 1052.72119140625]","[830.4926147460938, 1061.23876953125]"
"[897.1489868164062, 574.5443725585938]","[905.686767578125, 561.7376708984375]","[892.8800659179688, 557.4688110351562]","[884.3423461914062, 557.4688110351562]","[862.9978637695312, 553.1998901367188]","[841.6534423828125, 608.6954345703125]","[816.0401000976562, 604.4265747070312]","[824.577880859375, 685.5354614257812]","[756.2756958007812, 672.728759765625]","[875.8045043945312, 706.8798828125]","[833.1156616210938, 723.9553833007812]","[803.2334594726562, 775.1820678710938]","[781.8889770507812, 775.1820678710938]","[850.1912231445312, 907.5176391601562]","[760.5445556640625, 898.9797973632812]","[871.53564453125, 1056.9285888671875]","[658.0912475585938, 1031.315185546875]"
"[927.8173217773438, 572.2828369140625]","[932.2171020507812, 559.0834350585938]","[923.41748046875, 554.68359375]","[910.2180786132812, 537.0844116210938]","[897.0186767578125, 545.884033203125]","[875.0197143554688, 598.681640625]","[844.2210083007812, 598.681640625]","[853.0206909179688, 673.4782104492188]","[795.8232421875, 677.8780517578125]","[901.4185180664062, 699.8770141601562]","[870.619873046875, 721.8760375976562]","[826.6218872070312, 770.2738647460938]","[813.4224243164062, 770.2738647460938]","[879.4194946289062, 911.0675659179688]","[795.8232421875, 906.6677856445312]","[901.4185180664062, 1060.6607666015625]","[681.4284057617188, 1025.4622802734375]"
"[958.189697265625, 584.0890502929688]","[966.8594970703125, 584.0890502929688]","[953.8547973632812, 566.7494506835938]","[932.1803588867188, 536.4052124023438]","[923.5105590820312, 553.7448120117188]","[897.501220703125, 610.0983276367188]","[871.4918823242188, 605.7634887695312]","[893.1663208007812, 688.1264038085938]","[823.80810546875, 688.1264038085938]","[923.5105590820312, 709.8008422851562]","[897.501220703125, 731.4752807617188]","[845.4825439453125, 779.1591186523438]","[845.4825439453125, 783.4939575195312]","[828.1430053710938, 917.8756103515625]","[906.1710205078125, 922.21044921875]","[693.7614135742188, 1017.5780639648438]","[919.1756591796875, 1065.26171875]"
"[975.5126953125, 580.9827270507812]","[979.5890502929688, 576.9064331054688]","[971.4364013671875, 568.7537841796875]","[955.1311645507812, 580.9827270507812]","[946.9785766601562, 564.677490234375]","[914.3681030273438, 613.5932006835938]","[898.0628662109375, 617.6694946289062]","[898.0628662109375, 691.0430297851562]","[853.2234497070312, 703.27197265625]","[938.825927734375, 715.5009155273438]","[930.67333984375, 739.9588012695312]","[877.6813354492188, 780.7218627929688]","[865.452392578125, 780.7218627929688]","[869.5286865234375, 927.4689331054688]","[926.5969848632812, 923.3926391601562]","[730.9342041015625, 1000.842529296875]","[918.4443969726562, 1066.0634765625]"
"[997.8236083984375, 587.5548706054688]","[997.8236083984375, 579.5752563476562]","[993.8338012695312, 575.58544921875]","[961.9153442382812, 559.626220703125]","[973.884765625, 571.5956420898438]","[937.9765014648438, 615.4834594726562]","[926.007080078125, 631.4426879882812]","[933.9866943359375, 703.2592163085938]","[890.0988159179688, 715.2286376953125]","[969.8949584960938, 731.1878662109375]","[961.9153442382812, 755.126708984375]","[906.0580444335938, 787.045166015625]","[886.1090087890625, 791.0349731445312]","[957.925537109375, 934.6680297851562]","[922.0172729492188, 930.67822265625]","[778.3842163085938, 994.5150756835938]","[766.4148559570312, 994.5150756835938]"
"[1022.9277954101562, 599.4857788085938]","[1030.29345703125, 592.1808471679688]","[1020.9044799804688, 587.8823852539062]","[982.689208984375, 570.4635009765625]","[999.6805419921875, 582.091796875]","[964.8054809570312, 626.5037231445312]","[955.2612915039062, 636.3535766601562]","[939.6221923828125, 705.7657470703125]","[926.3511352539062, 727.0101928710938]","[983.6209106445312, 733.9611206054688]","[1001.6775512695312, 757.9409790039062]","[926.1950073242188, 806.1957397460938]","[918.563720703125, 808.3065795898438]","[955.2835083007812, 933.6196899414062]","[968.6725463867188, 943.1486206054688]","[817.9246215820312, 995.5732421875]","[912.4217529296875, 1076.7164306640625]"
"[1052.3946533203125, 596.6378784179688]","[1052.3946533203125, 584.5963745117188]","[1048.380859375, 584.5963745117188]","[1008.242431640625, 568.5409545898438]","[1032.325439453125, 576.5686645507812]","[984.159423828125, 616.7070922851562]","[984.159423828125, 632.7623901367188]","[948.0348510742188, 696.9838256835938]","[964.0902099609375, 717.0530395507812]","[1004.2285766601562, 725.0807495117188]","[1032.325439453125, 745.1499633789062]","[952.0487060546875, 809.3713989257812]","[940.0071411132812, 805.3575439453125]","[976.1317138671875, 925.772705078125]","[976.1317138671875, 941.8280639648438]","[867.758056640625, 994.0079956054688]","[907.8964233398438, 1066.257080078125]"
"[1068.4764404296875, 595.4743041992188]","[1064.419189453125, 599.5316772460938]","[1072.53369140625, 583.3024291992188]","[1027.9033203125, 563.015869140625]","[1052.2471923828125, 575.1878051757812]","[991.3876342773438, 611.7035522460938]","[1003.5595092773438, 627.9328002929688]","[995.4448852539062, 692.8497924804688]","[979.2156372070312, 709.0790405273438]","[1060.36181640625, 696.9071044921875]","[1044.132568359375, 729.3656005859375]","[954.871826171875, 786.1679077148438]","[942.6998901367188, 786.1679077148438]","[1007.6168212890625, 903.8299560546875]","[967.0437622070312, 928.1737670898438]","[906.18408203125, 989.0333862304688]","[889.954833984375, 1062.06494140625]"
