±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[390.76617431640625, 445.0816955566406]","[402.53570556640625, 433.3121337890625]","[373.11187744140625, 433.3121337890625]","[426.0748291015625, 456.8512268066406]","[355.4575500488281, 450.9664611816406]","[455.4986572265625, 551.007568359375]","[302.49462890625, 545.122802734375]","[490.8072814941406, 651.0486450195312]","[249.5316619873047, 633.3943481445312]","[579.0787963867188, 656.9334106445312]","[155.37533569335938, 639.2791137695312]","[414.3052978515625, 733.4354858398438]","[320.14892578125, 733.4354858398438]","[396.65093994140625, 904.0938110351562]","[331.91845703125, 898.208984375]","[396.65093994140625, 1080.6368408203125]","[337.8032531738281, 1074.7520751953125]"
"[388.8415832519531, 463.2413330078125]","[405.8899230957031, 451.87579345703125]","[377.4759826660156, 451.87579345703125]","[422.93829345703125, 474.60693359375]","[354.744873046875, 474.60693359375]","[457.0350341796875, 576.8970947265625]","[303.5997619628906, 565.5315551757812]","[491.1317443847656, 667.8217163085938]","[246.7718963623047, 650.7733154296875]","[576.3735961914062, 673.5044555664062]","[155.84730529785156, 650.7733154296875]","[417.2555236816406, 764.4290161132812]","[320.64813232421875, 764.4290161132812]","[400.2071533203125, 923.5470581054688]","[337.6965026855469, 917.8643188476562]","[394.52435302734375, 1082.6650390625]","[337.6965026855469, 1082.6650390625]"
"[386.7242431640625, 474.90118408203125]","[403.5758056640625, 469.28399658203125]","[375.4898681640625, 463.66680908203125]","[426.0445556640625, 491.75274658203125]","[353.0211181640625, 486.13555908203125]","[459.7476806640625, 592.8621215820312]","[302.4664306640625, 581.6277465820312]","[493.4508056640625, 682.7371215820312]","[251.91171264648438, 671.5027465820312]","[566.4742431640625, 682.7371215820312]","[156.41952514648438, 665.8855590820312]","[420.4273681640625, 783.8464965820312]","[330.5523681640625, 783.8464965820312]","[397.9586181640625, 935.5105590820312]","[336.1695556640625, 935.5105590820312]","[392.3414306640625, 1087.174560546875]","[341.7867431640625, 1087.174560546875]"
"[386.7242431640625, 479.8172607421875]","[403.5758056640625, 474.2000732421875]","[375.4898681640625, 468.5828857421875]","[420.4273681640625, 496.6688232421875]","[353.0211181640625, 491.0516357421875]","[454.1304931640625, 597.7781982421875]","[302.4664306640625, 586.5438232421875]","[487.8336181640625, 687.6531982421875]","[251.91171264648438, 670.8016357421875]","[560.8570556640625, 693.2703857421875]","[162.03671264648438, 670.8016357421875]","[420.4273681640625, 788.7625732421875]","[330.5523681640625, 783.1453857421875]","[397.9586181640625, 940.4266357421875]","[336.1695556640625, 940.4266357421875]","[392.3414306640625, 1086.473388671875]","[341.7867431640625, 1086.473388671875]"
"[386.7242431640625, 469.91162109375]","[403.5758056640625, 458.67724609375]","[375.4898681640625, 458.67724609375]","[420.4273681640625, 481.14599609375]","[353.0211181640625, 481.14599609375]","[454.1304931640625, 582.25537109375]","[302.4664306640625, 571.02099609375]","[487.8336181640625, 677.7476196289062]","[257.5289306640625, 660.8960571289062]","[555.2398681640625, 694.5991821289062]","[167.65390014648438, 672.1304321289062]","[420.4273681640625, 778.8569946289062]","[324.9351806640625, 773.2398071289062]","[397.9586181640625, 930.5210571289062]","[336.1695556640625, 924.9038696289062]","[392.3414306640625, 1082.1849365234375]","[336.1695556640625, 1082.1849365234375]"
"[388.93267822265625, 451.0671691894531]","[400.3628845214844, 445.35205078125]","[371.78729248046875, 439.6369323730469]","[423.223388671875, 462.4974060058594]","[354.64190673828125, 462.4974060058594]","[451.79901123046875, 565.36962890625]","[303.205810546875, 553.9393920898438]","[486.0897521972656, 662.5267333984375]","[257.4848327636719, 645.38134765625]","[548.9561157226562, 685.38720703125]","[171.7579803466797, 662.5267333984375]","[417.50830078125, 765.3989868164062]","[326.0663146972656, 759.683837890625]","[394.64776611328125, 913.9921264648438]","[331.78143310546875, 913.9921264648438]","[394.64776611328125, 1074.0155029296875]","[337.4965515136719, 1074.0155029296875]"
"[387.4490661621094, 432.3875732421875]","[405.36114501953125, 420.44622802734375]","[375.5077209472656, 420.44622802734375]","[423.27313232421875, 444.3289489746094]","[351.625, 438.3582763671875]","[453.1265563964844, 545.8305053710938]","[297.888916015625, 533.8890991210938]","[482.97991943359375, 641.3613891601562]","[256.09417724609375, 623.4492797851562]","[554.6280517578125, 677.1853637695312]","[172.50465393066406, 653.3026733398438]","[417.302490234375, 742.8628540039062]","[321.7716369628906, 742.8628540039062]","[399.39044189453125, 904.0711669921875]","[333.7129821777344, 898.1005249023438]","[393.4197692871094, 1071.25]","[339.68365478515625, 1071.25]"
"[388.3359680175781, 418.25213623046875]","[400.73504638671875, 405.8531188964844]","[375.9369812011719, 405.8531188964844]","[419.3335876464844, 430.65118408203125]","[351.138916015625, 424.45166015625]","[450.3311462402344, 523.6439819335938]","[301.5427551269531, 511.2449035644531]","[487.52825927734375, 622.836181640625]","[251.94664001464844, 604.2376098632812]","[561.9224243164062, 666.2328491210938]","[165.1533966064453, 641.4347534179688]","[419.3335876464844, 715.8289184570312]","[320.1413269042969, 709.6294555664062]","[400.73504638671875, 877.016357421875]","[332.54034423828125, 870.8168334960938]","[394.5355224609375, 1056.80224609375]","[338.7398681640625, 1044.4031982421875]"
"[390.394775390625, 402.39111328125]","[402.1891174316406, 396.4939270019531]","[378.60040283203125, 390.59674072265625]","[425.7778015136719, 420.0826416015625]","[355.01171875, 414.1854553222656]","[449.36651611328125, 514.4374389648438]","[301.9371337890625, 502.6430969238281]","[490.6467590332031, 608.792236328125]","[248.86253356933594, 596.9979248046875]","[567.31005859375, 650.072509765625]","[166.3020477294922, 632.3809814453125]","[419.8806457519531, 709.0442504882812]","[325.52581787109375, 703.1470947265625]","[396.29193115234375, 862.3707885742188]","[331.4230041503906, 856.4736328125]","[390.394775390625, 1027.4915771484375]","[343.21734619140625, 1015.6973266601562]"
"[386.4749755859375, 394.36053466796875]","[404.05841064453125, 388.4993896484375]","[374.75262451171875, 388.4993896484375]","[421.641845703125, 411.9439697265625]","[351.30804443359375, 406.08282470703125]","[450.9476318359375, 505.7224426269531]","[304.4188232421875, 499.8612976074219]","[486.11456298828125, 599.5009155273438]","[245.8072509765625, 587.7786254882812]","[568.1707763671875, 634.6678466796875]","[163.7510986328125, 622.9454956054688]","[415.78070068359375, 699.1405639648438]","[322.00225830078125, 693.2793579101562]","[398.197265625, 851.5304565429688]","[333.72454833984375, 845.6693725585938]","[392.33612060546875, 1009.7815551757812]","[339.58575439453125, 998.0593872070312]"
