鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[833.675048828125, 410.3944091796875]","[853.9063110351562, 417.1381530761719]","[833.675048828125, 410.3944091796875]","[860.6500854492188, 464.3443908691406]","[907.8562622070312, 457.60064697265625]","[806.7000122070312, 511.5506591796875]","[880.8812866210938, 531.7819213867188]","[752.7500610351562, 349.7006530761719]","[894.3688354492188, 383.4194030761719]","[746.0062866210938, 174.3631134033203]","[901.112548828125, 241.80062866210938]","[772.9812622070312, 828.5069580078125]","[840.4187622070312, 821.76318359375]","[752.7500610351562, 1030.8193359375]","[840.4187622070312, 1030.8193359375]","[762.8656616210938, 1067.909912109375]","[843.7907104492188, 1067.909912109375]"
"[833.477783203125, 410.3944091796875]","[860.4528198242188, 410.3944091796875]","[840.2214965820312, 410.3944091796875]","[867.196533203125, 457.60064697265625]","[914.4027709960938, 457.60064697265625]","[806.5027465820312, 511.5506591796875]","[880.6840209960938, 531.7819213867188]","[752.5527954101562, 349.7006530761719]","[894.1715698242188, 383.4194030761719]","[745.8090209960938, 174.3631134033203]","[900.915283203125, 241.80062866210938]","[766.040283203125, 815.0194091796875]","[840.2214965820312, 801.5319213867188]","[752.5527954101562, 1030.8193359375]","[840.2214965820312, 1017.3318481445312]","[762.6683959960938, 1067.909912109375]","[830.1058959960938, 1067.909912109375]"
"[840.0741577148438, 403.650634765625]","[860.3054809570312, 403.650634765625]","[840.0741577148438, 403.650634765625]","[867.0491943359375, 457.60064697265625]","[914.2554321289062, 457.60064697265625]","[806.3554077148438, 504.806884765625]","[887.2804565429688, 518.2943725585938]","[745.6616821289062, 349.7006530761719]","[887.2804565429688, 356.44439697265625]","[745.6616821289062, 174.3631134033203]","[894.0242309570312, 235.056884765625]","[765.8929443359375, 815.0194091796875]","[840.0741577148438, 801.5319213867188]","[752.4054565429688, 1030.8193359375]","[833.3304443359375, 1024.0755615234375]","[762.5210571289062, 1067.909912109375]","[829.9585571289062, 1067.909912109375]"
"[842.8150024414062, 396.9068908691406]","[863.0462036132812, 396.9068908691406]","[842.8150024414062, 403.650634765625]","[869.7899780273438, 450.8569030761719]","[890.021240234375, 410.3944091796875]","[815.8399658203125, 504.806884765625]","[890.021240234375, 511.5506591796875]","[748.4024658203125, 349.7006530761719]","[883.2774658203125, 356.44439697265625]","[741.6587524414062, 174.3631134033203]","[896.7649536132812, 235.056884765625]","[768.6337280273438, 821.76318359375]","[836.0712280273438, 808.275634765625]","[748.4024658203125, 1037.56298828125]","[815.8399658203125, 1037.56298828125]","[778.7493286132812, 1067.909912109375]","[832.6993408203125, 1067.909912109375]"
"[839.4822387695312, 396.9068908691406]","[859.7134399414062, 396.9068908691406]","[832.7384643554688, 383.4194030761719]","[873.2009887695312, 444.1131591796875]","[886.6884155273438, 410.3944091796875]","[819.2509155273438, 498.0631408691406]","[886.6884155273438, 504.806884765625]","[745.0697021484375, 342.9569091796875]","[879.9447021484375, 363.1881408691406]","[738.3259887695312, 174.3631134033203]","[893.4321899414062, 241.80062866210938]","[765.3009643554688, 815.0194091796875]","[825.9946899414062, 801.5319213867188]","[751.8134155273438, 1030.8193359375]","[825.9946899414062, 1037.56298828125]","[755.1853637695312, 1067.909912109375]","[836.1102905273438, 1067.909912109375]"
"[835.0464477539062, 396.9068908691406]","[855.2776489257812, 390.16314697265625]","[835.0464477539062, 376.6756591796875]","[875.5089111328125, 430.6256408691406]","[888.9963989257812, 403.650634765625]","[814.8151245117188, 491.31939697265625]","[895.7401733398438, 498.0631408691406]","[740.6339111328125, 342.9569091796875]","[882.2526245117188, 356.44439697265625]","[740.6339111328125, 174.3631134033203]","[888.9963989257812, 241.80062866210938]","[754.1213989257812, 788.0443725585938]","[821.5588989257812, 774.556884765625]","[747.3776245117188, 1030.8193359375]","[814.8151245117188, 1024.0755615234375]","[764.2369995117188, 1067.909912109375]","[831.6744995117188, 1067.909912109375]"
"[832.2954711914062, 383.4194030761719]","[852.5266723632812, 383.4194030761719]","[845.7828979492188, 356.44439697265625]","[872.7579345703125, 430.6256408691406]","[886.2454223632812, 410.3944091796875]","[825.5516967773438, 477.8319091796875]","[892.9891967773438, 491.31939697265625]","[737.8829345703125, 342.9569091796875]","[879.5016479492188, 349.7006530761719]","[731.1392211914062, 167.61936950683594]","[892.9891967773438, 235.056884765625]","[758.1141967773438, 781.3006591796875]","[818.8079223632812, 774.556884765625]","[744.6266479492188, 1017.3318481445312]","[832.2954711914062, 1024.0755615234375]","[741.2548217773438, 1067.909912109375]","[835.6672973632812, 1067.909912109375]"
"[837.0015258789062, 376.6756591796875]","[857.2328491210938, 369.931884765625]","[850.4890747070312, 356.44439697265625]","[877.4640502929688, 410.3944091796875]","[897.6953125, 396.9068908691406]","[823.5140991210938, 471.088134765625]","[890.9515991210938, 484.5756530761719]","[729.1015625, 336.213134765625]","[884.2078247070312, 356.44439697265625]","[735.8452758789062, 160.87562561035156]","[890.9515991210938, 235.056884765625]","[756.0765991210938, 781.3006591796875]","[810.0265502929688, 774.556884765625]","[749.3328247070312, 1003.8443603515625]","[823.5140991210938, 1003.8443603515625]","[752.7046508789062, 1067.909912109375]","[833.6296997070312, 1067.909912109375]"
"[852.1058959960938, 356.44439697265625]","[858.8496704101562, 363.1881408691406]","[865.5934448242188, 363.1881408691406]","[879.0808715820312, 396.9068908691406]","[899.3121948242188, 396.9068908691406]","[825.1309204101562, 457.60064697265625]","[899.3121948242188, 477.8319091796875]","[730.7184448242188, 329.4693908691406]","[879.0808715820312, 342.9569091796875]","[730.7184448242188, 154.13186645507812]","[885.8246459960938, 221.5693817138672]","[757.6934204101562, 767.8131713867188]","[798.1559448242188, 767.8131713867188]","[737.462158203125, 1017.3318481445312]","[798.1559448242188, 1024.0755615234375]","[737.462158203125, 127.15686798095703]","[794.7839965820312, 1067.909912109375]"
"[841.7007446289062, 356.44439697265625]","[855.1882934570312, 349.7006530761719]","[848.4445190429688, 356.44439697265625]","[882.1632690429688, 383.4194030761719]","[909.1382446289062, 383.4194030761719]","[828.2132568359375, 450.8569030761719]","[902.3944702148438, 464.3443908691406]","[727.0570068359375, 329.4693908691406]","[875.4194946289062, 329.4693908691406]","[733.8007202148438, 154.13186645507812]","[895.6507568359375, 221.5693817138672]","[760.7757568359375, 734.0944213867188]","[801.2382202148438, 740.838134765625]","[760.7757568359375, 970.1256103515625]","[794.4945068359375, 1010.5880737304688]","[750.6600952148438, 1067.909912109375]","[791.1226196289062, 1067.909912109375]"
