0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"192.29291466145202,345.7685062393604","186.45500949013558,327.8691421686907","205.30108571330862,323.215763670925","147.26846865642864,340.21739440205494","256.22290243898385,332.7694339974845","137.40971059836306,283.43923398029017","272.0923191768186,409.4877369209022","194.5800482011491,573.6887297277784","136.51345635202608,324.1421710656311","49.00927241581428,331.1180322550614","264.23894352300624,299.2435781872226","180.83718676140336,614.6615618397753","312.49603883023394,617.3457312676693","101.66985252766295,615.3747469534669","100.66185638783975,613.9301225832928","145.6463365962997,618.147794374696","153.82398019041068,616.6695947313123"
"186.28946451268774,348.7487169555189","169.33855554009227,329.8057021797863","195.95623987101396,332.46428493395854","139.55781418618528,338.77118774889044","226.66744217334553,345.2644140340011","220.75416630251402,416.52916637376126","311.1925315708502,413.1864584837442","189.33289470746826,529.8805236816406","333.63346162194875,507.68429648551495","33.200944596227544,356.2472332312439","273.2578014269877,343.6998834869741","256.32156075206717,617.117650963453","307.8217219786885,617.997940597831","99.48754223775308,596.8127922325283","160.5259427912968,593.7960732307879","153.68054395148727,608.1491551974405","167.4074809152329,606.023493072866"
"119.37454579869137,233.17801479235698","212.19365888068648,301.8672542349374","134.90972247290705,226.3271153668949","181.10805745996856,246.23302652678137","133.10353129939813,233.7753073250737","196.59872676982957,258.5353153688898","201.06202498855293,258.9668927025702","207.88485127014872,282.2607418906364","246.7520715735766,286.0686409798114","288.78905495966455,315.0715408622059","62.43990590136343,382.0171430417072","156.4333138076248,377.5263151769972","184.24266687534202,430.67936878723856","184.58627996184947,533.3841227371869","179.2583831905855,532.2451491300234","192.5944940886145,608.6999440471486","192.0706290753435,607.1128370233083"
"210.8646801900307,335.33913875832167","212.9745573051245,316.9090538173334","219.68131270946697,323.21014849592274","197.78009484435802,318.57149294842077","137.16972256077867,243.1330061144402","216.59536570983175,309.9933000854017","140.20982871445239,287.54660906958674","252.60365942572804,306.22414763335587","90.80746596518196,345.82095313164973","220.51703848634713,345.81331186257444","55.71966107438976,351.8151813907846","174.7651299502599,441.8682321036372","189.37796252061423,443.6216332105347","183.89526592803838,533.5505325970482","178.35432131281158,532.0539244418014","158.8587042663812,608.4819363248951","179.84596543367735,608.5184446104769"
"137.83839594622066,384.79841061603236","44.41583412259473,392.1223354710679","62.26377037434264,391.3703651279791","155.83212618697945,353.158925572258","165.0111564903408,366.18065147548333","148.28825354668885,308.51033429691296","162.99470039100498,248.51072289136596","204.32899694776722,284.88387764659836","193.40385944648477,283.45301141998647","248.0052157450279,307.6826652200305","239.060008542547,318.9225282186664","226.3637369059403,541.5214182337897","180.47080785847822,372.43742293420934","83.29629261298868,583.4590570472094","145.2596269303259,569.4527652013162","109.89704752525006,614.2576165700237","194.75324620347078,639.520308201415"
"209.94662641829558,362.9757565746975","203.1254621572532,347.4008434013634","221.61609789184098,338.58683248438257","212.90343828609485,361.46618141738355","253.08968448267836,375.5161597107171","184.99150376375547,268.0925554802445","146.86753518664887,264.7008740020633","235.70978094909907,280.0817259554733","221.25455044401298,248.17587707757022","255.31215382735553,301.838522291369","280.3746507399741,312.89264070384695","187.73526778759197,431.84717081864056","183.94856654066984,436.0267520414716","186.09164541519107,536.6654689209934","177.64912212683532,536.8507118076666","154.35540159945361,609.9411099801267","168.53842792436774,609.7089774877644"
"216.0346270312595,354.78412316467046","219.30241067493012,337.2147229858873","241.6701538442174,332.67133245208385","235.79398354853174,338.8717591994467","133.79717364478205,254.72442537894045","222.96581318777362,282.29250332724723","132.69765041959892,303.55290661526095","242.36226944979063,332.20822523540096","93.02811868274262,339.5655709945738","44.49692526494482,355.1189882746002","50.2687361305326,342.5661198359983","180.47181280113847,436.23194713073013","171.30596270728205,437.6418770519212","184.1769590860211,543.2380795014972","185.00843318241579,548.3705424149213","193.2722119579983,630.7005084442258","191.53255958408698,628.9701083290902"
"147.9268607054239,223.58152634438838","264.62607835702863,356.8668706871656","257.2430158681907,312.7931112445282","226.12442527206957,329.58711557351194","143.32542152256354,223.01667061297346","212.86383968011882,266.5605775113236","125.4654259588932,295.3520882454364","237.65821016066735,336.1221372849283","72.15124660150553,360.87502505528784","22.769948996458538,352.6071719158484","45.4591965137289,347.0004100280049","146.94715756664948,455.25515663948505","137.80820901477387,458.69025441923026","154.34886947216228,540.5253132029729","183.53967083289,543.677452473325","152.95578703527787,609.5556118145063","161.1117857105537,608.6896013193093"
"176.42262826169974,362.6879354395291","161.59056358485833,344.93514480293953","199.44623179751147,343.9129128066482","136.4521548497538,368.4228622495896","232.81367148314007,362.2898561945221","125.13495443024988,429.17720334539155","116.21338270610408,291.22981654066984","147.97293346123013,474.79870569845116","211.60545821134218,285.3191019496101","250.74598426670417,309.0342629280535","256.74218723282274,311.5272076677255","119.09327780875714,599.2822342809536","161.56304361662512,599.3653620263482","76.2995339478964,620.9846734072911","162.87035806262543,614.6617548011156","105.75985319976218,648.6967391077183","185.66056366560525,644.3947432106107"
"148.30363689971807,228.41983899068273","154.4323570162406,219.69648131136765","159.90241452228236,216.78797502925886","170.0211048645732,232.47083077634818","180.53199340582825,224.98703745088687","226.79503123955044,266.4752114143817","203.5928377975286,269.9279072683609","239.0097420837165,288.49167582589826","233.72992795357908,283.2406960572714","277.9184549235184,312.94763468582806","273.36871231019734,311.0482004366032","186.02736773657892,433.86627969110987","184.9885662390564,436.1406378245075","191.238865091643,599.0811685643771","186.61324930747662,528.3644650232931","189.39825463202214,618.5510063913546","185.6959299169162,616.7858346426997"
"121.92992172538078,256.2579277424497","236.6876867865774,341.9789770697805","247.1388005653708,343.2887986476319","165.49990648796586,253.92332707861516","131.3455387219381,254.98056226203414","190.0932497848333,281.1448078675029","146.10683224451685,285.5168294349997","240.69738867496238,300.53981528671795","101.86299477662561,328.79728621545934","253.1225383773388,322.8819405522328","67.38031997383803,334.73648190034504","182.4438195135807,441.0239876476243","186.31296471028014,443.3719412362065","181.86879905374133,533.8747848332624","186.45771510498997,535.2844832008451","163.2852061230849,608.245211352634","193.61029785987472,612.2603509212746"
"271.01567772297545,360.23956476946285","187.09975750993664,346.76889501193153","289.8338088098667,355.7380468465011","229.58608554587755,357.9585687659594","246.40803331902055,356.06781777704737","239.5105707190844,426.8745184872401","317.38866014888777,420.2525483958916","91.64191623791646,335.54664938366363","352.7006252303662,510.42396159487475","61.932255251398374,331.7908498563655","66.15003824790631,335.4630585310524","249.14352589173075,570.8090518699082","311.08937034161636,565.543677185296","224.19340862467135,618.7830231069127","135.51693974951365,615.0107446811542","145.02014136407166,618.8211522677528","143.3376354410491,617.3172887661113"
"182.90400594867157,356.3288944704523","159.14762528118922,339.4534218636004","204.32190437168464,331.6113186253648","128.9664915804733,361.9859034913059","244.68175441281807,351.0083328425188","133.07160504411632,469.1207796683107","285.74471645132576,409.4408473152131","140.35407663783212,478.67993009693424","204.3019794508641,273.8777487194492","45.08698121304644,345.74731908419716","257.3133618544048,312.88034906647084","147.50795422268288,595.4649572706408","273.53240200888786,601.7044779855453","85.12049545109971,579.0382355567546","80.02644110653654,575.5258760563594","147.77878626960728,611.383071483805","153.98840427027602,609.4223527129058"
"215.25131287927297,334.4325677893969","209.66064292818658,316.8804376505692","227.36164496752076,318.3235762184232","186.20794820228906,251.798513983938","141.1869808449356,242.3293221321551","181.30340285245546,287.7818675356616","138.95910027054964,282.45148417550763","230.09350428599794,325.41343896769365","253.03895420415859,328.73314586594876","157.48664832207947,363.9620591694279","286.8052594967853,309.50532015195614","177.83495921569113,433.3841464862749","192.39362151149646,434.13943576441665","188.20718499565868,514.6434472228766","187.6544085550865,514.0410991030444","194.15147880821377,608.4423020656006","195.61498453459387,607.4303742048805"
"204.83401928615945,306.23080479959566","210.56035649637306,310.063345051925","230.26067263235842,318.7027452520823","188.48493568628214,312.3899957085398","313.35684952197835,351.1445635487597","219.45761633847013,246.0014536223059","138.67068172707172,284.2343697752006","248.3923699048707,282.44098707859615","253.47200718742403,283.9379618603895","284.9693065598781,303.41578828685476","51.69598661786392,336.93766909350677","184.1225762274479,431.89274828721574","183.49684481490914,417.5887170932636","184.14024002728297,529.8345988826529","182.0862531847527,529.1457268978371","152.3125850811079,607.8119745514272","160.84385253668762,606.2630738729632"
"255.83847321981585,335.74740636209566","155.8842285987468,279.6643312803038","261.1472374288952,327.08382810600074","150.2352912991891,223.89422019631945","142.5600417318975,222.09558895125926","192.54940694964813,268.75933339159775","105.8849299093165,284.6329314235583","216.7172729848424,292.769377890264","88.0439509529084,334.93357261331164","229.73860492038358,322.2239423818625","236.71518742899025,322.63383086089493","134.7769540868381,412.50044232676464","151.97446052759074,415.2467838984983","144.5923450039519,498.22930658837697","144.7688283957396,496.98011346364297","157.9157974896264,568.8418110057073","147.1493442995539,552.9446909863661"
"188.61316250455985,357.8799177236594","169.3529339504613,343.48496314616517","210.40370139630392,341.90731122799883","152.6096615921199,350.9097681899015","236.43459584276962,351.50420489478205","171.4509063601958,463.1040521168987","299.644348946063,453.6190374352125","150.1909578672179,560.2492425228371","240.17276995469626,326.9382580708901","28.395965873035493,370.8488879964509","229.18495881789391,340.7160065053502","173.02310050044082,611.6946654560965","209.54109340326335,369.9321286687591","151.6417085521416,623.472138044899","218.0440678577943,410.8907974183791","151.17684526851673,603.8185624297026","151.25990764454644,602.3414819620926"
"212.09621809428768,289.3770982319279","216.16030284124594,289.699324374069","235.0610324844776,293.2438698260237","186.01878707232646,238.51316429761596","301.3322467729739,304.88740794853476","221.76380513707028,252.91489181815416","228.03020239804044,250.17304624564915","266.60734213743694,287.0511808284062","234.2941066281805,422.8648590206636","291.82106359459544,298.20967202984406","296.1517287079926,300.01002063083274","181.46543053059264,399.1088481264819","233.24703367953174,384.40785686329644","179.56705519383058,525.243508305531","180.52329678665342,524.8054860630851","149.68419620499077,560.2006548573535","155.8879778079022,559.8435220087548"
"198.9588925847748,282.604290260879","201.5059970603379,279.17951591283895","205.6843167316125,277.54864525702214","189.00907126103857,236.4217914032101","164.62421491452233,235.5462872100711","180.54907743105167,272.5663448586074","129.56385268868178,280.0836362727421","239.0308845312215,316.2542395090778","88.51028299888287,329.44251034510273","51.91487085958403,339.7926864920887","284.54485356668556,299.0689481742651","182.84208602014684,408.13094855282554","194.46065328278894,412.04381861111534","183.28364236438324,504.24653583927375","184.8794140055022,503.65537947717803","183.4557194691224,592.8864148804186","190.6267583824781,591.5066641128481"
"151.11129208575892,224.28062528023924","168.8951052654578,271.9937899697151","186.89521302694476,284.018986327175","153.85567453584787,228.10598737070995","148.64404190004103,221.47465865435765","189.18286836379235,266.94476353983003","101.30648845271844,283.44324757616806","209.56718326078777,290.2774944379636","70.49235683099772,339.6984441734937","233.9037637079736,315.12921700681693","240.41515439400877,322.6323643547088","135.6267104093203,401.6845346888679","155.19908961433384,405.9079567282116","144.53425158786405,455.4890257839099","145.4833812787839,455.62930867829675","107.02128814816012,645.6530827028741","149.40880326445466,466.66210486267323"
"190.01956043169196,344.84962433692544","181.35766975610636,326.4162590531524","204.52666143870078,321.39299296219525","147.23584667161282,340.26941677939567","265.14457079223155,342.3605388240591","144.31598577239635,461.15128335321924","327.0471447302674,436.2509731188822","183.08566866032345,570.6070599388984","254.5098037422863,297.0483342033416","25.733447598112264,355.8555217104663","280.23125315269147,317.43271230259757","155.45817156246204,612.9325510462897","309.341755729705,613.2035845448535","63.027256234610604,613.7106869471212","310.0912690218321,624.6675721402298","150.48088382468615,612.6201852286372","155.53972652450148,611.9526547680568"
"190.639687356318,219.11643952247232","208.54173590515376,281.70468519633846","188.42027149126227,205.21625711760169","192.49612566283707,227.84062693555066","178.9198334690198,223.01422000395183","234.41829434999698,247.0764991374331","138.64320041047927,279.9313897752576","261.74778729746777,298.3402489688146","242.9545478672369,296.19897627181115","287.1143180164382,308.34021957931816","294.8693445702935,309.3606570351448","228.24120170504204,395.61269737867065","188.83952583877033,401.92477155752215","181.5209729383892,534.0602206812758","181.00420050120078,534.4914506845437","188.7602513235367,612.2141559764104","194.43191578787128,610.4873063499361"
"153.94762678925633,226.8571029841204","277.05934490396817,332.6622246768224","227.31707962570488,330.9366100029259","201.21574256392307,229.02375009737125","163.38643477027983,232.73121280892812","227.60851299716342,269.1027080966341","139.84750823380887,282.0637669544739","255.94563489387008,292.69275294203703","77.00307111331927,345.70567802696377","277.8920751786882,310.4097685461378","59.78426761849846,346.68638474282585","196.17263108190394,421.4262164520382","178.91577504673825,427.48682341223093","178.49532249836608,529.4667759758025","175.94431420708446,528.5092246207745","149.01726214338373,620.2599877977185","155.95747345801925,618.9950104353493"
"215.04259401907717,345.233192889143","170.53942336739271,325.3333214192075","221.61124711092344,336.7996631429353","174.15914952615822,336.3477476839889","246.53883047140994,348.3691619991792","184.7026214005882,275.4872778510305","97.32502158792107,288.4034924933882","220.0763711298486,300.74940989453506","218.3593686174326,300.9388400422924","242.07802528351664,323.07397567808397","252.902475260575,310.66920506815035","120.93931882390717,420.00852948496777","156.95112983911417,426.72910282120165","111.32715823399883,501.92436188575357","146.00061753566166,490.5169119630806","150.625286354629,613.4912899032176","161.00240156715483,612.3219055888254"
"174.50562283408317,368.02814053190355","178.6628000578528,353.77852443591166","206.26204280630623,349.05390461131293","160.70799201935648,355.0793154230377","271.09383134062654,353.93459156793375","197.5716272198273,268.7355026660726","149.95008084189567,276.7538182002561","92.02758230958932,336.3263675674854","135.18716395040434,328.04234426773013","46.976853188837595,338.0697346846881","45.744252364459214,338.6996376839129","140.12247600629638,451.74237262414124","178.46335759144353,414.27495340428925","98.2504964746854,608.7542819605727","124.33246906443793,504.67317336264284","149.6084776407086,608.1478430603264","153.4626260007866,606.6133758901158"
"181.63700516400172,220.8452766507516","187.9393677767149,219.7735693668113","190.59226179308467,216.1580527339","175.9895752784343,228.95959045172665","199.49414050625455,220.8600574894174","223.63881555698265,253.4316615835702","226.78878899956493,249.39612600126154","244.39553901286445,294.01621688664653","249.51651422522878,290.19980820236503","282.4402717263782,314.25516002373007","285.37744856066274,316.83233238843627","233.30074013439133,393.4450854587184","243.3265892355359,376.8825189612719","99.17392282448856,603.3540658913697","176.46464259522435,536.6330514158257","148.0240309303373,612.0638005000608","188.9248493357855,608.6479216698078"
