±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[338.8954162597656, 406.9127502441406]","[358.5450439453125, 393.81298828125]","[325.7956848144531, 393.81298828125]","[378.19464111328125, 413.4626159667969]","[293.04638671875, 413.4626159667969]","[417.4938659667969, 524.8103637695312]","[253.7471466064453, 518.260498046875]","[496.0922546386719, 590.3090209960938]","[201.3482208251953, 609.9586791992188]","[594.3402709960938, 623.0584106445312]","[116.19993591308594, 623.0584106445312]","[391.2943420410156, 754.0557250976562]","[286.4964904785156, 760.6055908203125]","[430.59356689453125, 917.8024291992188]","[273.3967590332031, 937.4519653320312]","[378.19464111328125, 1094.648681640625]","[306.1461181640625, 1101.1986083984375]"
"[339.1319885253906, 404.1219787597656]","[358.5526428222656, 391.1748352050781]","[326.1848449707031, 391.1748352050781]","[377.97332763671875, 417.069091796875]","[293.8170471191406, 410.59552001953125]","[416.814697265625, 527.11962890625]","[261.4492492675781, 520.6460571289062]","[494.4974365234375, 604.8023681640625]","[203.1871795654297, 611.2759399414062]","[591.600830078125, 637.1702270507812]","[119.03086853027344, 630.6965942382812]","[390.92047119140625, 766.641357421875]","[287.3434753417969, 773.114990234375]","[436.23541259765625, 934.9539794921875]","[274.3963623046875, 941.4275512695312]","[377.97332763671875, 1096.79296875]","[306.76416015625, 1096.79296875]"
"[345.5683898925781, 388.74749755859375]","[358.5509033203125, 382.2562255859375]","[326.0945739746094, 382.2562255859375]","[378.0246887207031, 408.22125244140625]","[300.1295166015625, 401.7300109863281]","[416.9722900390625, 518.5728149414062]","[261.1819152832031, 512.08154296875]","[488.3762512207031, 596.468017578125]","[209.2517547607422, 602.959228515625]","[579.2539672851562, 648.3981323242188]","[131.3565673828125, 641.9068603515625]","[397.4985046386719, 758.7496337890625]","[287.14697265625, 758.7496337890625]","[429.9548034667969, 927.5225219726562]","[274.1644592285156, 934.0137939453125]","[378.0246887207031, 1089.8040771484375]","[306.6207580566406, 1096.29541015625]"
"[340.52044677734375, 373.10247802734375]","[354.1282043457031, 359.49468994140625]","[326.91265869140625, 359.49468994140625]","[381.34375, 379.9063415527344]","[299.69708251953125, 379.9063415527344]","[415.36322021484375, 488.7685852050781]","[258.873779296875, 488.7685852050781]","[476.5981750488281, 584.0230102539062]","[211.2465362548828, 584.0230102539062]","[558.2448120117188, 645.2579956054688]","[136.4037322998047, 631.6502075195312]","[394.9515686035156, 733.7085571289062]","[292.8932189941406, 740.5125122070312]","[422.1670837402344, 924.2174682617188]","[286.0893249511719, 924.2174682617188]","[388.14764404296875, 1087.5107421875]","[299.69708251953125, 1094.314453125]"
"[345.39129638671875, 344.7866516113281]","[359.5307922363281, 330.64715576171875]","[324.18206787109375, 330.64715576171875]","[380.7400207519531, 351.85638427734375]","[302.97283935546875, 358.9261474609375]","[416.0887756347656, 464.97235107421875]","[260.5543518066406, 464.97235107421875]","[472.6466979980469, 563.9487915039062]","[211.0661163330078, 571.0185546875]","[543.3441772460938, 648.7857055664062]","[140.36866760253906, 627.5764770507812]","[401.9493103027344, 719.4832153320312]","[295.903076171875, 726.5529174804688]","[409.0190124511719, 917.4360961914062]","[295.903076171875, 917.4360961914062]","[387.8097839355469, 1080.0400390625]","[302.97283935546875, 1101.2493896484375]"
"[345.9064025878906, 327.1106262207031]","[360.3134765625, 312.7035217285156]","[324.2957458496094, 312.7035217285156]","[381.9241638183594, 334.314208984375]","[295.4815368652344, 334.314208984375]","[417.9419250488281, 442.36749267578125]","[259.4637451171875, 442.36749267578125]","[468.3667907714844, 550.4208374023438]","[216.24241638183594, 550.4208374023438]","[533.1987915039062, 644.0669555664062]","[144.20689392089844, 615.2527465820312]","[396.3312683105469, 694.4918823242188]","[295.4815368652344, 694.4918823242188]","[403.5348205566406, 888.9878540039062]","[302.68505859375, 881.7842407226562]","[381.9241638183594, 1061.8729248046875]","[309.88861083984375, 1076.280029296875]"
"[345.04522705078125, 310.4571838378906]","[359.8162536621094, 295.6861267089844]","[330.274169921875, 295.6861267089844]","[381.97283935546875, 317.84271240234375]","[300.7320251464844, 325.228271484375]","[418.9005126953125, 428.62567138671875]","[263.80438232421875, 428.62567138671875]","[470.5992431640625, 546.7941284179688]","[219.49122619628906, 539.4085693359375]","[522.2979125976562, 635.4204711914062]","[145.6359100341797, 613.2638549804688]","[404.12945556640625, 672.3480834960938]","[300.7320251464844, 672.3480834960938]","[404.12945556640625, 864.3718872070312]","[308.1175842285156, 864.3718872070312]","[381.97283935546875, 1034.239013671875]","[308.1175842285156, 1041.6243896484375]"
"[344.7216491699219, 296.9107666015625]","[358.6704406738281, 289.9363708496094]","[323.7984619140625, 289.9363708496094]","[386.56805419921875, 310.85955810546875]","[295.9008483886719, 310.85955810546875]","[421.4400329589844, 422.4499206542969]","[261.0289001464844, 415.47552490234375]","[470.2607727050781, 541.0146484375]","[219.18251037597656, 534.0402221679688]","[526.0560302734375, 631.6818237304688]","[142.4641571044922, 596.809814453125]","[400.5168151855469, 673.5281372070312]","[295.9008483886719, 666.5537719726562]","[400.5168151855469, 847.8881225585938]","[302.8752746582031, 847.8881225585938]","[372.6192321777344, 1015.2734985351562]","[309.8497009277344, 1022.2479858398438]"
"[346.244873046875, 292.7227783203125]","[360.3206481933594, 285.68487548828125]","[332.16912841796875, 285.68487548828125]","[388.4721984863281, 306.7985534667969]","[296.97967529296875, 306.7985534667969]","[423.66162109375, 412.36688232421875]","[261.7902526855469, 412.36688232421875]","[465.88897705078125, 539.048828125]","[226.60081481933594, 524.9730224609375]","[529.2299194335938, 630.5413818359375]","[142.1461639404297, 588.3140258789062]","[402.5479736328125, 665.7307739257812]","[296.97967529296875, 658.69287109375]","[402.5479736328125, 848.7158203125]","[311.0554504394531, 834.6400756835938]","[367.3585205078125, 1017.6250610351562]","[311.0554504394531, 1017.6250610351562]"
"[386.5907897949219, 333.9605712890625]","[401.5747375488281, 318.9765930175781]","[371.6068115234375, 311.484619140625]","[424.0506896972656, 326.4685974121094]","[341.63885498046875, 318.9765930175781]","[454.0186462402344, 431.3564147949219]","[296.68695068359375, 423.8644104003906]","[498.9706115722656, 543.7362060546875]","[251.7350311279297, 536.2442016601562]","[543.9225463867188, 633.6400146484375]","[206.78309631347656, 626.1480712890625]","[424.0506896972656, 663.6079711914062]","[326.6549072265625, 663.6079711914062]","[416.5587463378906, 850.9076538085938]","[326.6549072265625, 843.4156494140625]","[394.0827331542969, 1023.2232666015625]","[326.6549072265625, 1030.7152099609375]"
"[387.2347412109375, 336.3901672363281]","[402.1802062988281, 313.9720153808594]","[372.2893371582031, 313.9720153808594]","[424.598388671875, 321.4447326660156]","[342.3984680175781, 321.4447326660156]","[454.4892578125, 426.06280517578125]","[297.5621337890625, 418.590087890625]","[499.3255615234375, 538.153564453125]","[252.72581481933594, 530.6808471679688]","[544.161865234375, 627.8262329101562]","[207.88951110839844, 627.8262329101562]","[424.598388671875, 665.1898193359375]","[327.4530029296875, 665.1898193359375]","[424.598388671875, 852.0077514648438]","[327.4530029296875, 844.5350952148438]","[394.70751953125, 1016.4075927734375]","[327.4530029296875, 1031.3529052734375]"
"[388.14886474609375, 342.19036865234375]","[403.0023193359375, 327.3368835449219]","[365.86871337890625, 327.3368835449219]","[425.282470703125, 327.3368835449219]","[343.58856201171875, 327.3368835449219]","[454.9893798828125, 423.8843078613281]","[299.0281982421875, 416.45758056640625]","[499.5496826171875, 535.2850952148438]","[254.46783447265625, 535.2850952148438]","[544.1099853515625, 624.4058227539062]","[209.90753173828125, 631.83251953125]","[425.282470703125, 654.1127319335938]","[328.73504638671875, 646.6859741210938]","[425.282470703125, 847.20751953125]","[328.73504638671875, 832.35400390625]","[403.0023193359375, 1018.0220947265625]","[321.308349609375, 1032.87548828125]"
"[378.3983154296875, 354.130615234375]","[400.7489013671875, 339.230224609375]","[370.9481201171875, 339.230224609375]","[423.0994873046875, 339.230224609375]","[348.5975341796875, 331.780029296875]","[452.90032958984375, 428.632568359375]","[296.4461669921875, 421.182373046875]","[497.60150146484375, 540.385498046875]","[251.74497985839844, 532.935302734375]","[549.7528686523438, 622.337646484375]","[207.04380798339844, 637.2380981445312]","[423.0994873046875, 667.0388793945312]","[326.2469482421875, 659.5886840820312]","[423.0994873046875, 860.7439575195312]","[326.2469482421875, 845.8435668945312]","[408.1990966796875, 1032.0985107421875]","[326.2469482421875, 1046.9989013671875]"
"[382.8360900878906, 366.3571472167969]","[404.71478271484375, 351.7713317871094]","[368.250244140625, 351.7713317871094]","[426.593505859375, 351.7713317871094]","[346.37152099609375, 344.4783935546875]","[455.76513671875, 439.2862548828125]","[302.61407470703125, 431.99334716796875]","[499.5225830078125, 548.6798706054688]","[258.85662841796875, 541.386962890625]","[557.8658447265625, 621.6089477539062]","[207.80625915527344, 636.1947631835938]","[419.3006286621094, 679.9522094726562]","[324.4927978515625, 672.6593017578125]","[426.593505859375, 869.56787109375]","[317.19989013671875, 862.2749633789062]","[412.0077209472656, 1059.183349609375]","[324.4927978515625, 1066.476318359375]"
"[383.7311096191406, 379.9312744140625]","[404.94512939453125, 365.78857421875]","[376.65972900390625, 365.78857421875]","[426.1591796875, 365.78857421875]","[348.37432861328125, 358.71722412109375]","[454.444580078125, 450.644775390625]","[298.8748474121094, 443.57342529296875]","[503.94403076171875, 556.715087890625]","[249.37538146972656, 549.6437377929688]","[560.514892578125, 627.4285888671875]","[206.94728088378906, 648.6426391601562]","[426.1591796875, 691.07080078125]","[320.08892822265625, 683.9993896484375]","[426.1591796875, 889.068603515625]","[320.08892822265625, 881.9972534179688]","[419.08782958984375, 1072.923583984375]","[320.08892822265625, 1087.0662841796875]"
"[393.15020751953125, 401.92962646484375]","[407.39501953125, 387.6847839355469]","[378.90533447265625, 380.5623779296875]","[428.7623291015625, 380.5623779296875]","[350.4156494140625, 373.43994140625]","[457.25201416015625, 473.15386962890625]","[300.5586853027344, 466.0314636230469]","[507.1090087890625, 572.8678588867188]","[250.70167541503906, 572.8678588867188]","[571.2108154296875, 644.0921020507812]","[200.84471130371094, 665.4593505859375]","[421.639892578125, 708.19384765625]","[321.9259338378906, 701.0714721679688]","[428.7623291015625, 907.6217651367188]","[321.9259338378906, 900.4993286132812]","[414.5174560546875, 1085.6822509765625]","[321.9259338378906, 1099.92724609375]"
"[390.9206848144531, 418.5265808105469]","[404.6724853515625, 404.7747802734375]","[377.1689453125, 404.7747802734375]","[432.176025390625, 404.7747802734375]","[349.6654052734375, 397.8988952636719]","[452.8037109375, 494.16131591796875]","[301.5341796875, 487.28546142578125]","[507.810791015625, 597.2996215820312]","[239.6511993408203, 597.2996215820312]","[576.5696411132812, 659.1825561523438]","[191.5199737548828, 686.6861572265625]","[425.3001403808594, 727.9414672851562]","[322.1618347167969, 727.9414672851562]","[432.176025390625, 920.4662475585938]","[315.28594970703125, 913.5903930664062]","[411.5483703613281, 1092.3634033203125]","[322.1618347167969, 1099.2392578125]"
