鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[775.2405395507812, 279.8522033691406]","[786.3956909179688, 268.6970520019531]","[780.818115234375, 274.2746276855469]","[819.861083984375, 279.8522033691406]","[797.5508422851562, 664.7042846679688]","[836.5938110351562, 341.2054138183594]","[814.2835083007812, 352.3605651855469]","[914.6797485351562, 424.8689270019531]","[797.5508422851562, 458.3343200683594]","[892.3694458007812, 525.26513671875]","[730.6200561523438, 419.2913513183594]","[825.4386596679688, 530.8426513671875]","[836.5938110351562, 536.4202270507812]","[674.8443603515625, 558.7305297851562]","[836.5938110351562, 687.0145263671875]","[786.3956909179688, 659.126708984375]","[870.0592041015625, 837.6088256835938]"
"[773.0357666015625, 267.26385498046875]","[784.2356567382812, 256.0639953613281]","[778.6356811523438, 256.0639953613281]","[817.8352661132812, 267.26385498046875]","[795.4354858398438, 676.0594482421875]","[834.6350708007812, 334.463134765625]","[817.8352661132812, 340.0630798339844]","[907.4342651367188, 418.46221923828125]","[806.6353759765625, 452.0618896484375]","[879.4346313476562, 519.2611083984375]","[739.4360961914062, 412.8623046875]","[829.0350952148438, 524.861083984375]","[817.8352661132812, 524.861083984375]","[677.8367919921875, 575.260498046875]","[823.4352416992188, 681.6593627929688]","[789.8355712890625, 676.0594482421875]","[862.6348266601562, 827.2577514648438]"
"[769.267578125, 259.25341796875]","[780.7109375, 247.81005859375]","[774.9892578125, 253.53173828125]","[815.041015625, 253.53173828125]","[820.7626953125, 270.69677734375]","[832.2060546875, 327.91357421875]","[820.7626953125, 327.91357421875]","[889.4228515625, 413.73876953125]","[815.041015625, 442.34716796875]","[860.814453125, 511.00732421875]","[746.380859375, 419.46044921875]","[820.7626953125, 511.00732421875]","[837.927734375, 516.72900390625]","[689.1640625, 591.11083984375]","[809.3193359375, 659.7710571289062]","[786.4326171875, 716.9878540039062]","[849.37109375, 814.2564086914062]"
"[773.3328247070312, 245.47633361816406]","[782.6557006835938, 231.49200439453125]","[777.9942626953125, 236.15345764160156]","[815.2858276367188, 240.8148956298828]","[815.2858276367188, 259.460693359375]","[824.6087036132812, 315.39801025390625]","[833.9315795898438, 315.39801025390625]","[875.8845825195312, 417.9497985839844]","[833.9315795898438, 436.5955810546875]","[829.2701416015625, 501.8558044433594]","[759.3484497070312, 445.91845703125]","[829.2701416015625, 511.1786804199219]","[861.9002075195312, 506.5172119140625]","[712.7340698242188, 618.3919067382812]","[791.9785766601562, 641.6991577148438]","[801.3014526367188, 753.5737915039062]","[838.5930786132812, 800.1881713867188]"
"[770.9657592773438, 237.6778106689453]","[781.467041015625, 227.17654418945312]","[781.467041015625, 227.17654418945312]","[812.9707641601562, 237.6778106689453]","[833.9733276367188, 232.4271697998047]","[823.4720458984375, 311.18658447265625]","[844.4745483398438, 305.93597412109375]","[854.9757690429688, 421.4497375488281]","[844.4745483398438, 426.7003479003906]","[791.9683227539062, 494.9584655761719]","[781.467041015625, 473.95599365234375]","[833.9733276367188, 500.2091064453125]","[844.4745483398438, 494.9584655761719]","[744.7127075195312, 641.9760131835938]","[760.4645385742188, 636.725341796875]","[812.9707641601562, 799.4946899414062]","[828.7227172851562, 762.7404174804688]"
"[758.1446533203125, 240.25196838378906]","[771.1221313476562, 227.27450561523438]","[771.1221313476562, 233.7632293701172]","[803.5657348632812, 233.7632293701172]","[829.5206909179688, 246.74069213867188]","[816.543212890625, 311.6279602050781]","[848.98681640625, 305.1392517089844]","[836.0093383789062, 421.9363098144531]","[868.4529418945312, 421.9363098144531]","[758.1446533203125, 473.84613037109375]","[764.6333618164062, 473.84613037109375]","[829.5206909179688, 493.3122863769531]","[829.5206909179688, 493.3122863769531]","[764.6333618164062, 636.0642700195312]","[732.1897583007812, 610.109375]","[823.0319213867188, 817.7485961914062]","[816.543212890625, 726.9064331054688]"
"[764.7171020507812, 250.0031280517578]","[770.5537719726562, 238.32969665527344]","[770.5537719726562, 244.16639709472656]","[805.5740966796875, 244.16639709472656]","[793.9006958007812, 693.5938110351562]","[817.24755859375, 320.0437927246094]","[846.43115234375, 320.0437927246094]","[817.24755859375, 430.9414367675781]","[893.1248779296875, 419.26800537109375]","[723.8600463867188, 454.288330078125]","[869.7780151367188, 506.81878662109375]","[823.0842895507812, 495.1453552246094]","[840.5944213867188, 500.9820556640625]","[706.3499145507812, 582.6961669921875]","[811.4108276367188, 670.2468872070312]","[788.06396484375, 705.2672119140625]","[846.43115234375, 839.5117797851562]"
"[762.2113647460938, 261.8814697265625]","[773.6146850585938, 244.7765350341797]","[767.9130249023438, 256.1798400878906]","[802.1228637695312, 256.1798400878906]","[830.6310424804688, 267.5830993652344]","[807.8245239257812, 330.3011779785156]","[847.7360229492188, 330.3011779785156]","[796.4212036132812, 438.63232421875]","[904.7523803710938, 421.52740478515625]","[699.4933471679688, 427.2290344238281]","[899.0507202148438, 512.753662109375]","[824.929443359375, 529.8585815429688]","[847.7360229492188, 524.156982421875]","[819.2278442382812, 689.5045166015625]","[688.0900268554688, 564.0684204101562]","[853.4376220703125, 849.150390625]","[779.3163452148438, 666.6979370117188]"
"[759.0707397460938, 271.0091247558594]","[770.4041137695312, 259.6756896972656]","[770.4041137695312, 259.6756896972656]","[804.4043579101562, 271.0091247558594]","[827.0712280273438, 288.0092468261719]","[810.0711059570312, 344.6763610839844]","[849.7380981445312, 344.6763610839844]","[776.0708618164062, 446.6771240234375]","[917.7385864257812, 418.34356689453125]","[696.7368774414062, 395.6767272949219]","[923.4052734375, 509.01092529296875]","[815.73779296875, 548.6778564453125]","[838.4046020507812, 543.0111694335938]","[821.4044799804688, 701.6790161132812]","[685.4035034179688, 548.6778564453125]","[855.40478515625, 854.6801147460938]","[776.0708618164062, 656.3453369140625]"
"[764.5516357421875, 266.1485595703125]","[775.33740234375, 260.75567626953125]","[769.9445190429688, 255.36277770996094]","[807.6947631835938, 271.54144287109375]","[829.2662963867188, 282.32720947265625]","[807.6947631835938, 347.04193115234375]","[845.4450073242188, 347.04193115234375]","[764.5516357421875, 449.5068054199219]","[915.5525512695312, 417.14947509765625]","[705.2298583984375, 379.39923095703125]","[926.3383178710938, 503.4356994628906]","[823.8734130859375, 551.9717407226562]","[823.8734130859375, 541.1859741210938]","[818.4805297851562, 697.5797729492188]","[683.6583251953125, 551.9717407226562]","[856.2307739257812, 848.5806274414062]","[769.9445190429688, 654.4365844726562]"
"[758.6843872070312, 260.4911804199219]","[769.6676025390625, 249.5079345703125]","[764.1759643554688, 249.5079345703125]","[808.1089477539062, 260.4911804199219]","[830.0753784179688, 271.4743957519531]","[808.1089477539062, 337.373779296875]","[846.5502319335938, 337.373779296875]","[769.6676025390625, 436.22283935546875]","[906.9579467773438, 414.25640869140625]","[714.75146484375, 370.323486328125]","[917.9412231445312, 502.12225341796875]","[824.5838012695312, 540.5635375976562]","[802.6173095703125, 529.580322265625]","[802.6173095703125, 688.837158203125]","[687.2933959960938, 562.5299682617188]","[846.5502319335938, 837.1107177734375]","[780.6508178710938, 683.3455200195312]"
"[761.2549438476562, 250.1311798095703]","[773.0296630859375, 238.35647583007812]","[773.0296630859375, 250.1311798095703]","[808.3538208007812, 250.1311798095703]","[820.1284790039062, 261.9058837890625]","[808.3538208007812, 326.66680908203125]","[843.6779174804688, 320.77947998046875]","[790.6917114257812, 426.7518615722656]","[902.5514526367188, 409.08978271484375]","[720.04345703125, 373.7656555175781]","[890.7767333984375, 503.2874755859375]","[814.2411499023438, 532.7242431640625]","[843.6779174804688, 526.8368530273438]","[778.9170532226562, 674.0208129882812]","[702.3814086914062, 585.7105102539062]","[831.9031982421875, 821.2046508789062]","[778.9170532226562, 715.2322387695312]"
"[764.0758666992188, 242.64817810058594]","[774.7526245117188, 231.9713592529297]","[769.4142456054688, 231.9713592529297]","[806.7831420898438, 237.3097686767578]","[822.79833984375, 242.64817810058594]","[812.1215209960938, 312.04754638671875]","[838.8135375976562, 306.7091369628906]","[817.4598999023438, 424.1541748046875]","[892.1976928710938, 408.138916015625]","[726.7069702148438, 397.4621276855469]","[865.5056762695312, 488.215087890625]","[817.4598999023438, 509.5687255859375]","[838.8135375976562, 509.5687255859375]","[742.7222290039062, 632.3521728515625]","[716.0300903320312, 610.99853515625]","[812.1215209960938, 808.5197143554688]","[801.4447021484375, 744.4588012695312]"
"[765.9259643554688, 237.77890014648438]","[776.324462890625, 227.38035583496094]","[771.1251831054688, 227.38035583496094]","[812.7192993164062, 237.77890014648438]","[828.317138671875, 242.97816467285156]","[817.9186401367188, 310.56866455078125]","[838.7156372070312, 305.369384765625]","[838.7156372070312, 419.7532653808594]","[859.5127563476562, 414.5539855957031]","[745.1288452148438, 430.15179443359375]","[781.5237426757812, 435.3510437011719]","[817.9186401367188, 502.9415283203125]","[843.9149780273438, 502.9415283203125]","[724.3318481445312, 632.9231567382812]","[755.5274047851562, 627.7239379882812]","[791.9223022460938, 778.5026245117188]","[812.7192993164062, 768.1041870117188]"
"[767.1076049804688, 241.3597869873047]","[777.4324340820312, 231.0348663330078]","[772.27001953125, 241.3597869873047]","[813.5696411132812, 241.3597869873047]","[823.89453125, 236.1973114013672]","[823.89453125, 313.6341247558594]","[829.0569458007812, 308.4716796875]","[849.706787109375, 427.2080993652344]","[839.3818969726562, 432.37054443359375]","[767.1076049804688, 468.5076904296875]","[772.27001953125, 468.5076904296875]","[813.5696411132812, 504.6448669433594]","[834.2194213867188, 504.6448669433594]","[694.833251953125, 613.0563354492188]","[777.4324340820312, 649.1934814453125]","[782.5949096679688, 736.9551391601562]","[829.0569458007812, 804.0670166015625]"
"[769.1058959960938, 251.21421813964844]","[774.692626953125, 240.0406951904297]","[774.692626953125, 245.62745666503906]","[813.7999877929688, 251.21421813964844]","[830.5602416992188, 256.8009948730469]","[824.9734497070312, 323.8421630859375]","[813.7999877929688, 323.8421630859375]","[864.0808715820312, 429.9906311035156]","[813.7999877929688, 441.1641540527344]","[808.2131958007812, 502.6185302734375]","[746.7588500976562, 463.5111999511719]","[819.38671875, 513.7920532226562]","[824.9734497070312, 519.3788452148438]","[668.5441284179688, 592.0067749023438]","[802.6264038085938, 670.2213745117188]","[774.692626953125, 703.7420043945312]","[847.3204956054688, 815.4771118164062]"
"[768.6260375976562, 267.4936828613281]","[779.7157592773438, 256.4039611816406]","[774.1709594726562, 256.4039611816406]","[812.9849243164062, 261.9488220214844]","[774.1709594726562, 672.2681884765625]","[824.0746459960938, 339.5768127441406]","[818.5297241210938, 334.031982421875]","[879.523193359375, 439.3842468261719]","[807.4400024414062, 450.47393798828125]","[840.7091674804688, 522.5570678710938]","[729.8120727539062, 439.3842468261719]","[807.4400024414062, 528.1019287109375]","[796.350341796875, 522.5570678710938]","[818.5297241210938, 683.3578491210938]","[657.7289428710938, 561.37109375]","[857.34375, 833.0689697265625]","[857.34375, 821.979248046875]"
"[766.9452514648438, 279.6585693359375]","[777.7349243164062, 268.8688659667969]","[772.340087890625, 268.8688659667969]","[815.4989624023438, 274.2637023925781]","[772.340087890625, 657.2984619140625]","[826.2886352539062, 344.3968505859375]","[804.709228515625, 349.79168701171875]","[891.0269165039062, 436.1094055175781]","[788.524658203125, 457.6888122558594]","[858.6577758789062, 533.216796875]","[718.3915405273438, 414.52996826171875]","[815.4989624023438, 538.6116333007812]","[793.9194946289062, 527.8219604492188]","[653.6532592773438, 554.7962036132812]","[653.6532592773438, 549.4013671875]","[761.5503540039062, 651.9036254882812]","[853.262939453125, 829.933837890625]"
"[770.3600463867188, 278.43243408203125]","[775.7008056640625, 267.7508544921875]","[770.3600463867188, 267.7508544921875]","[813.0863647460938, 273.0916442871094]","[775.7008056640625, 652.2876586914062]","[823.7678833007812, 342.52191162109375]","[813.0863647460938, 347.8626708984375]","[893.1981811523438, 433.3153076171875]","[786.3823852539062, 449.3376770019531]","[866.4942016601562, 529.4495239257812]","[727.6337280273438, 406.6113586425781]","[807.7455444335938, 529.4495239257812]","[807.7455444335938, 529.4495239257812]","[652.8626708984375, 556.1533813476562]","[818.4271240234375, 678.9915161132812]","[759.6784057617188, 652.2876586914062]","[855.8126831054688, 828.5336303710938]"
"[768.4531860351562, 266.9989013671875]","[773.9620971679688, 255.98118591308594]","[768.4531860351562, 255.98118591308594]","[812.5239868164062, 261.49005126953125]","[768.4531860351562, 674.6538696289062]","[823.5416870117188, 327.59625244140625]","[812.5239868164062, 333.1051330566406]","[884.1390991210938, 421.2467346191406]","[795.9974975585938, 437.7732849121094]","[856.5947875976562, 520.4060668945312]","[735.4000854492188, 399.2113342285156]","[807.0151977539062, 514.897216796875]","[795.9974975585938, 514.897216796875]","[658.2761840820312, 564.4768676757812]","[807.0151977539062, 674.6538696289062]","[762.9443969726562, 674.6538696289062]","[845.5770874023438, 812.3751831054688]"
