±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[310.9802551269531, 358.7414855957031]","[327.4010314941406, 347.7943115234375]","[300.0330505371094, 342.3207092285156]","[343.8218078613281, 358.7414855957031]","[278.1387023925781, 358.7414855957031]","[382.13690185546875, 446.3189697265625]","[250.77073669433594, 446.3189697265625]","[431.3992614746094, 533.8964233398438]","[196.03482055664062, 539.3699951171875]","[518.9766845703125, 517.4756469726562]","[113.93095397949219, 539.3699951171875]","[365.7161560058594, 632.4210205078125]","[278.1387023925781, 632.4210205078125]","[360.2425537109375, 785.6815795898438]","[283.6122741699219, 785.6815795898438]","[360.2425537109375, 927.9949340820312]","[283.6122741699219, 938.9420776367188]"
"[314.392333984375, 365.55950927734375]","[330.7149963378906, 354.677734375]","[298.0696716308594, 354.677734375]","[347.0376892089844, 365.55950927734375]","[276.30615234375, 371.0003967285156]","[379.6829833984375, 458.0545654296875]","[254.54258728027344, 452.61370849609375]","[434.09185791015625, 545.1087646484375]","[200.13372802734375, 545.1087646484375]","[526.5869750976562, 528.7860717773438]","[118.52043151855469, 550.5496215820312]","[363.3603210449219, 653.9264526367188]","[276.30615234375, 659.3673706054688]","[363.3603210449219, 795.3894653320312]","[276.30615234375, 800.8303833007812]","[357.91943359375, 936.8524780273438]","[287.18792724609375, 936.8524780273438]"
"[312.75335693359375, 353.373779296875]","[323.857177734375, 342.2699890136719]","[296.09765625, 342.2699890136719]","[346.06475830078125, 358.9256896972656]","[279.44195556640625, 358.9256896972656]","[379.3761901855469, 447.75616455078125]","[251.6824188232422, 447.75616455078125]","[423.7913818359375, 536.5865478515625]","[201.71530151367188, 542.1384887695312]","[518.1737060546875, 542.1384887695312]","[112.88485717773438, 558.794189453125]","[362.720458984375, 636.5208129882812]","[273.8900451660156, 642.0726928710938]","[362.720458984375, 780.8703002929688]","[279.44195556640625, 786.4221801757812]","[357.1685791015625, 936.323486328125]","[284.9938659667969, 936.323486328125]"
"[314.6429138183594, 330.12396240234375]","[326.1300354003906, 318.6368408203125]","[297.4122619628906, 318.6368408203125]","[343.3606872558594, 335.8675231933594]","[280.1816101074219, 335.8675231933594]","[377.8219909667969, 427.764404296875]","[245.7202606201172, 427.764404296875]","[418.0268859863281, 525.4048461914062]","[205.51536560058594, 531.1483764648438]","[492.6930847167969, 554.1226196289062]","[125.1055908203125, 565.6096801757812]","[366.33489990234375, 640.2759399414062]","[274.43804931640625, 646.0194702148438]","[366.33489990234375, 789.6083374023438]","[280.1816101074219, 789.6083374023438]","[354.8478088378906, 927.4535522460938]","[285.9251403808594, 933.1972045898438]"
"[313.9313049316406, 312.88543701171875]","[325.8484191894531, 300.9682922363281]","[296.0555725097656, 300.9682922363281]","[343.72412109375, 318.843994140625]","[278.17987060546875, 318.843994140625]","[379.47552490234375, 414.18109130859375]","[242.42848205566406, 408.2225036621094]","[421.18548583984375, 521.435302734375]","[212.63563537597656, 515.4767456054688]","[492.6883239746094, 557.1867065429688]","[141.13282775878906, 569.1038208007812]","[367.5583801269531, 628.6895141601562]","[272.2213439941406, 628.6895141601562]","[361.599853515625, 777.6537475585938]","[278.17987060546875, 777.6537475585938]","[349.6827087402344, 914.7007446289062]","[284.1384582519531, 920.6593627929688]"
"[312.86248779296875, 295.0526428222656]","[324.70050048828125, 283.2146301269531]","[295.10540771484375, 283.2146301269531]","[348.3765869140625, 300.9716796875]","[277.348388671875, 300.9716796875]","[377.9716796875, 395.67596435546875]","[241.83425903320312, 395.67596435546875]","[407.5667724609375, 502.21832275390625]","[212.23916625976562, 502.21832275390625]","[472.67596435546875, 555.4894409179688]","[147.12997436523438, 555.4894409179688]","[366.1336669921875, 602.8416137695312]","[271.42938232421875, 608.7606201171875]","[366.1336669921875, 750.8170776367188]","[283.26739501953125, 750.8170776367188]","[342.45758056640625, 886.9544677734375]","[289.1864013671875, 892.8734741210938]"
"[312.18743896484375, 293.57305908203125]","[322.92462158203125, 282.83587646484375]","[296.0816650390625, 282.83587646484375]","[344.3989562988281, 293.57305908203125]","[279.9759216308594, 298.941650390625]","[376.6104736328125, 390.2076416015625]","[247.76434326171875, 384.8390808105469]","[403.4534606933594, 492.2108459472656]","[215.5528106689453, 492.2108459472656]","[462.5079040527344, 545.896728515625]","[151.1297607421875, 551.2653198242188]","[365.8733215332031, 567.37109375]","[279.9759216308594, 567.37109375]","[355.1361389160156, 712.3229370117188]","[290.71307373046875, 712.3229370117188]","[333.6617736816406, 841.1690063476562]","[290.71307373046875, 846.5376586914062]"
"[307.8473205566406, 286.9471740722656]","[323.6577453613281, 276.4068603515625]","[297.3070373535156, 276.4068603515625]","[344.7383728027344, 292.2173156738281]","[276.2264404296875, 292.2173156738281]","[376.3592224121094, 387.0799560546875]","[244.60556030273438, 381.809814453125]","[402.7099914550781, 492.48284912109375]","[218.2548370361328, 487.21270751953125]","[455.4114074707031, 545.184326171875]","[149.74295043945312, 539.9141845703125]","[365.8189392089844, 555.724609375]","[276.2264404296875, 555.724609375]","[355.2786560058594, 698.0184936523438]","[286.7667236328125, 687.4782104492188]","[323.6577453613281, 824.5020141601562]","[292.036865234375, 824.5020141601562]"
"[309.99127197265625, 286.52362060546875]","[320.5900573730469, 275.9248046875]","[294.0930480957031, 275.9248046875]","[341.7876892089844, 291.8230285644531]","[272.89544677734375, 291.8230285644531]","[373.5840759277344, 381.91290283203125]","[246.39840698242188, 376.61346435546875]","[400.0810852050781, 493.2003479003906]","[214.60202026367188, 487.90093994140625]","[453.07513427734375, 535.5955200195312]","[145.70977783203125, 535.5955200195312]","[362.98529052734375, 556.7931518554688]","[272.89544677734375, 556.7931518554688]","[352.386474609375, 699.8770141601562]","[283.4942321777344, 694.5776977539062]","[320.5900573730469, 827.0626831054688]","[283.4942321777344, 832.3621215820312]"
"[305.09259033203125, 288.4671630859375]","[322.03857421875, 277.16986083984375]","[288.14666748046875, 277.16986083984375]","[338.9844970703125, 294.1158447265625]","[271.20068359375, 294.1158447265625]","[372.87640380859375, 384.4942626953125]","[242.95742797851562, 384.4942626953125]","[401.11968994140625, 491.818603515625]","[214.71417236328125, 486.16998291015625]","[457.606201171875, 531.3591918945312]","[135.633056640625, 520.0618896484375]","[361.5791015625, 570.8997192382812]","[276.849365234375, 570.8997192382812]","[350.28179931640625, 723.413330078125]","[282.49798583984375, 717.7647094726562]","[327.68719482421875, 847.6836547851562]","[276.849365234375, 858.9808959960938]"
"[301.98028564453125, 299.75433349609375]","[319.23846435546875, 288.2489013671875]","[290.4748229980469, 288.2489013671875]","[336.49664306640625, 305.507080078125]","[273.21661376953125, 305.507080078125]","[371.01300048828125, 391.7979736328125]","[238.7002410888672, 397.55072021484375]","[405.52935791015625, 501.09979248046875]","[209.93663024902344, 489.5943603515625]","[463.056640625, 524.1107177734375]","[135.15118408203125, 518.3579711914062]","[359.5075378417969, 593.1434326171875]","[273.21661376953125, 593.1434326171875]","[348.0020751953125, 742.7142944335938]","[278.9693603515625, 742.7142944335938]","[330.743896484375, 869.2743530273438]","[273.21661376953125, 886.5324096679688]"
"[303.8077697753906, 314.837646484375]","[315.4759826660156, 303.16943359375]","[286.305419921875, 303.16943359375]","[338.8124084472656, 314.837646484375]","[268.8030700683594, 314.837646484375]","[367.9830322265625, 402.349365234375]","[239.6324920654297, 408.1834716796875]","[402.9876708984375, 501.529296875]","[204.62782287597656, 501.529296875]","[467.1629333496094, 519.0316772460938]","[122.95024108886719, 524.8657836914062]","[362.1488952636719, 600.709228515625]","[274.63720703125, 606.5433959960938]","[350.4806823730469, 752.3961791992188]","[274.63720703125, 752.3961791992188]","[332.97833251953125, 886.5807495117188]","[268.8030700683594, 892.4148559570312]"
"[300.61968994140625, 330.40740966796875]","[317.6026916503906, 319.08544921875]","[289.2976989746094, 319.08544921875]","[334.5856628417969, 330.40740966796875]","[272.3147277832031, 336.06842041015625]","[368.5516357421875, 420.9833679199219]","[238.34873962402344, 426.64434814453125]","[408.1786193847656, 517.2202758789062]","[198.7217559814453, 517.2202758789062]","[481.7715759277344, 522.8812866210938]","[119.46781921386719, 528.5422973632812]","[362.8906555175781, 624.7792358398438]","[277.9757385253906, 630.4402465820312]","[357.2296447753906, 760.6431274414062]","[277.9757385253906, 766.3040161132812]","[334.5856628417969, 896.5068969726562]","[266.6537170410156, 907.8289184570312]"
"[302.50885009765625, 348.05218505859375]","[313.54376220703125, 337.01727294921875]","[285.9564208984375, 337.01727294921875]","[335.6136169433594, 348.05218505859375]","[269.4040222167969, 353.56964111328125]","[368.71844482421875, 436.3316650390625]","[241.8166961669922, 441.84912109375]","[407.3406677246094, 530.1286010742188]","[197.6769561767578, 530.1286010742188]","[484.585205078125, 530.1286010742188]","[114.91494750976562, 541.1635131835938]","[357.6835021972656, 634.96044921875]","[269.4040222167969, 634.96044921875]","[352.166015625, 772.8970947265625]","[269.4040222167969, 772.8970947265625]","[335.6136169433594, 910.833740234375]","[263.8865661621094, 916.3511962890625]"
"[302.6415710449219, 367.4608154296875]","[313.2135925292969, 351.602783203125]","[286.7835388183594, 356.8887939453125]","[334.3576354980469, 367.4608154296875]","[270.9255065917969, 367.4608154296875]","[371.3597106933594, 452.0369567871094]","[244.4954376220703, 457.3229675292969]","[413.64776611328125, 541.899169921875]","[202.20736694335938, 547.1851806640625]","[487.65191650390625, 536.6131591796875]","[117.63117980957031, 557.7572021484375]","[350.2156677246094, 647.6193237304688]","[265.6394958496094, 647.6193237304688]","[350.2156677246094, 779.7695922851562]","[265.6394958496094, 785.0556030273438]","[334.3576354980469, 911.9198608398438]","[265.6394958496094, 922.4918823242188]"
"[302.2044982910156, 368.6649169921875]","[313.0196533203125, 357.8497314453125]","[285.98175048828125, 357.8497314453125]","[334.6499938964844, 374.072509765625]","[269.7590026855469, 374.072509765625]","[372.5030822753906, 460.5938415527344]","[242.72105407714844, 455.186279296875]","[415.7637634277344, 547.1151733398438]","[199.4603729248047, 552.5227661132812]","[491.4699401855469, 541.7075805664062]","[107.53143310546875, 563.3379516601562]","[350.8727722167969, 655.2669067382812]","[264.3514099121094, 655.2669067382812]","[345.4651794433594, 785.0488891601562]","[269.7590026855469, 790.4564819335938]","[334.6499938964844, 920.2384643554688]","[269.7590026855469, 925.6460571289062]"
"[299.502197265625, 356.7010803222656]","[315.71197509765625, 345.89453125]","[288.6956481933594, 351.29779052734375]","[331.9217834472656, 362.1043395996094]","[272.4858703613281, 362.1043395996094]","[369.7446594238281, 448.556640625]","[240.0662078857422, 448.556640625]","[412.9707946777344, 540.4121704101562]","[196.840087890625, 545.8154907226562]","[488.6165466308594, 545.8154907226562]","[115.79104614257812, 567.4285278320312]","[348.1316223144531, 637.6710205078125]","[267.08258056640625, 637.6710205078125]","[348.1316223144531, 772.752685546875]","[272.4858703613281, 772.752685546875]","[331.9217834472656, 913.2376098632812]","[267.08258056640625, 924.044189453125]"
