鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1097.71923828125, 541.4700317382812]","[1097.71923828125, 524.5384521484375]","[1086.431640625, 530.1823120117188]","[984.8424682617188, 530.1823120117188]","[1029.9931640625, 541.4700317382812]","[990.4862670898438, 614.8399658203125]","[979.1986083984375, 643.0591430664062]","[1120.294677734375, 755.93603515625]","[1120.294677734375, 784.1552734375]","[1109.0069580078125, 705.1414184570312]","[1097.71923828125, 676.9222412109375]","[1052.5684814453125, 823.6621704101562]","[1041.2808837890625, 891.3882446289062]","[1244.459228515625, 710.7852783203125]","[1255.746826171875, 744.6483764648438]","[1396.843017578125, 908.31982421875]","[1408.130615234375, 925.2513427734375]"
"[1097.52099609375, 541.5836791992188]","[1097.52099609375, 524.6509399414062]","[1086.2325439453125, 530.2952270507812]","[984.6361694335938, 530.2952270507812]","[1029.7900390625, 541.5836791992188]","[990.2803955078125, 614.9588623046875]","[978.9918823242188, 643.1801147460938]","[1120.0980224609375, 756.0650024414062]","[1120.0980224609375, 784.2862548828125]","[1108.8095703125, 705.2667846679688]","[1097.52099609375, 677.0455932617188]","[1052.3670654296875, 823.7959594726562]","[1041.07861328125, 891.5269165039062]","[1244.2713623046875, 710.9110717773438]","[1255.559814453125, 744.7765502929688]","[1396.666015625, 908.4596557617188]","[1407.95458984375, 925.392333984375]"
"[1096.8497314453125, 541.4793090820312]","[1096.8497314453125, 524.5194702148438]","[1079.889892578125, 524.5194702148438]","[1385.167724609375, 920.2499389648438]","[1023.3569946289062, 541.4793090820312]","[1006.3970947265625, 620.6254272460938]","[978.130615234375, 643.2385864257812]","[1125.1162109375, 761.9578247070312]","[1119.462890625, 784.5709838867188]","[1102.5030517578125, 699.7715454101562]","[1096.8497314453125, 677.1583862304688]","[1051.6234130859375, 824.1439819335938]","[1040.3167724609375, 891.9835815429688]","[1243.83544921875, 711.078125]","[1255.1419677734375, 744.9978637695312]","[1396.474365234375, 903.2901000976562]","[1407.7808837890625, 925.9032592773438]"
"[1090.5723876953125, 540.9535522460938]","[1096.257080078125, 523.8995971679688]","[1079.203125, 523.8995971679688]","[1386.1741943359375, 921.8250122070312]","[1022.356689453125, 540.9535522460938]","[988.248779296875, 620.5386352539062]","[976.8794555664062, 648.9618530273438]","[1118.99560546875, 762.6548461914062]","[1118.99560546875, 785.3933715820312]","[1101.941650390625, 700.1237182617188]","[1096.257080078125, 677.3850708007812]","[1056.4644775390625, 825.1859741210938]","[1039.41064453125, 893.4016723632812]","[1244.057861328125, 711.4929809570312]","[1255.42724609375, 745.6008911132812]","[1397.54345703125, 904.7710571289062]","[1408.912841796875, 927.5095825195312]"
"[1090.3729248046875, 541.3975219726562]","[1096.048828125, 524.3696899414062]","[1073.3450927734375, 524.3696899414062]","[1385.522216796875, 921.6859741210938]","[1016.5856323242188, 541.3975219726562]","[982.5299682617188, 620.8607788085938]","[976.8540649414062, 649.2405395507812]","[1113.07666015625, 762.7594604492188]","[1118.752685546875, 785.4633178710938]","[1101.724853515625, 700.3240356445312]","[1096.048828125, 677.6202392578125]","[1056.3172607421875, 825.1948852539062]","[1039.2894287109375, 893.3062133789062]","[1243.62353515625, 711.6759643554688]","[1254.975341796875, 740.0557250976562]","[1396.8740234375, 904.6581420898438]","[1408.2259521484375, 927.3619995117188]"
"[1090.3104248046875, 541.3137817382812]","[1095.995361328125, 524.2588500976562]","[1078.9404296875, 524.2588500976562]","[1385.9285888671875, 922.2063598632812]","[1022.0908813476562, 541.3137817382812]","[982.296142578125, 620.9032592773438]","[976.6112060546875, 649.3280639648438]","[1113.05029296875, 763.0274047851562]","[1118.7352294921875, 785.7672729492188]","[1101.680419921875, 700.4927368164062]","[1095.995361328125, 677.7528686523438]","[1056.20068359375, 825.5619506835938]","[1039.145751953125, 893.7815551757812]","[1243.804443359375, 711.8626708984375]","[1255.17431640625, 740.2875366210938]","[1397.2984619140625, 905.1514282226562]","[1408.66845703125, 927.8912963867188]"
"[1085.616455078125, 540.5180053710938]","[1079.927001953125, 523.44970703125]","[1074.237548828125, 523.44970703125]","[1387.156494140625, 921.7101440429688]","[1017.3433227539062, 540.5180053710938]","[977.5172729492188, 620.1701049804688]","[977.5172729492188, 654.3067016601562]","[1114.063720703125, 762.4059448242188]","[1114.063720703125, 785.1636352539062]","[1096.995361328125, 699.8222045898438]","[1091.305908203125, 677.0643920898438]","[1057.1693115234375, 824.9898071289062]","[1040.1009521484375, 893.2630004882812]","[1244.920654296875, 711.2010498046875]","[1256.299560546875, 739.6482543945312]","[1398.535400390625, 904.6417846679688]","[1409.914306640625, 927.3995971679688]"
"[1078.5108642578125, 539.532958984375]","[1078.5108642578125, 522.2849731445312]","[1067.01220703125, 528.0343017578125]","[1388.9744873046875, 924.7378540039062]","[1009.5189819335938, 545.2822875976562]","[992.27099609375, 625.7728881835938]","[969.2737426757812, 654.5194702148438]","[1113.0068359375, 763.7566528320312]","[1113.0068359375, 781.0046997070312]","[1095.7587890625, 689.0154418945312]","[1090.009521484375, 677.5167846679688]","[1067.01220703125, 821.2499389648438]","[1038.265625, 895.9912109375]","[1245.2413330078125, 712.0127563476562]","[1256.739990234375, 740.7593383789062]","[1400.47314453125, 907.4898681640625]","[1411.9718017578125, 930.4871215820312]"
"[1084.168701171875, 539.6104736328125]","[1078.41748046875, 522.3568115234375]","[1066.9150390625, 528.1080322265625]","[1388.9835205078125, 924.9424438476562]","[1009.4028930664062, 545.3616943359375]","[992.1492309570312, 625.8788452148438]","[969.144287109375, 654.6349487304688]","[1112.9248046875, 763.908203125]","[1112.9248046875, 781.161865234375]","[1095.671142578125, 689.1422729492188]","[1089.919921875, 677.6398315429688]","[1061.163818359375, 821.42041015625]","[1038.158935546875, 896.1863403320312]","[1245.202880859375, 712.1471557617188]","[1256.705322265625, 740.9033203125]","[1400.486083984375, 907.6887817382812]","[1411.988525390625, 930.6936645507812]"
"[1077.7196044921875, 540.5925903320312]","[1077.7196044921875, 523.4013061523438]","[1060.5281982421875, 523.4013061523438]","[1387.1641845703125, 924.5330810546875]","[1008.9541625976562, 546.3230590820312]","[991.7628173828125, 626.5494995117188]","[963.1105346679688, 655.2017211914062]","[1112.102294921875, 764.0803833007812]","[1112.102294921875, 781.2716674804688]","[1094.910888671875, 689.58447265625]","[1089.1805419921875, 678.12353515625]","[1066.2586669921875, 821.3849487304688]","[1043.3369140625, 895.880859375]","[1243.90283203125, 706.7758178710938]","[1255.3636474609375, 741.1585083007812]","[1398.625, 901.611328125]","[1410.0859375, 930.2635498046875]"
