鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[107.5853271484375, 137.7213134765625]","[100.77330017089844, 130.90927124023438]","[104.17931365966797, 141.1273193359375]","[107.5853271484375, 127.50326538085938]","[104.17931365966797, 161.56341552734375]","[148.45748901367188, 154.75137329101562]","[148.45748901367188, 164.96942138671875]","[226.79579162597656, 175.18746948242188]","[216.5777587890625, 151.34536743164062]","[213.1717529296875, 79.81907653808594]","[219.9837646484375, 96.84915161132812]","[219.9837646484375, 185.40548706054688]","[223.3897705078125, 181.99948120117188]","[294.91607666015625, 168.37542724609375]","[305.13409423828125, 164.96942138671875]","[373.25439453125, 202.435546875]","[373.25439453125, 199.029541015625]"
"[109.39663696289062, 140.1613006591797]","[98.49439239501953, 136.52723693847656]","[98.49439239501953, 147.42945861816406]","[94.86031341552734, 147.42945861816406]","[102.12847900390625, 154.69761657714844]","[142.10337829589844, 154.69761657714844]","[138.46929931640625, 165.59986877441406]","[185.71237182617188, 212.8429412841797]","[207.51686096191406, 154.69761657714844]","[218.4191131591797, 103.82048797607422]","[222.05319213867188, 103.82048797607422]","[225.68727111816406, 169.2339630126953]","[222.05319213867188, 183.77027893066406]","[287.4666748046875, 165.59986877441406]","[302.0030517578125, 169.2339630126953]","[374.6846923828125, 194.6725311279297]","[381.95281982421875, 198.30662536621094]"
"[102.74369812011719, 131.1802215576172]","[92.44297790527344, 134.61378479003906]","[95.87654113769531, 134.61378479003906]","[85.57582092285156, 168.9495391845703]","[99.31011962890625, 151.7816619873047]","[137.07943725585938, 162.08238220214844]","[137.07943725585938, 165.51597595214844]","[171.41517639160156, 199.85166931152344]","[195.45018005371094, 165.51597595214844]","[205.7509002685547, 120.8794937133789]","[219.48521423339844, 114.01233673095703]","[222.9187774658203, 182.68382263183594]","[216.05162048339844, 179.25022888183594]","[295.0238342285156, 162.08238220214844]","[236.65306091308594, 93.41089630126953]","[373.99603271484375, 192.9845428466797]","[305.3245544433594, 127.74665832519531]"
"[94.17869567871094, 134.07867431640625]","[87.41181945800781, 130.69525146484375]","[87.41181945800781, 134.07867431640625]","[73.87808227539062, 167.91302490234375]","[87.41181945800781, 150.995849609375]","[121.24617004394531, 171.29644775390625]","[124.62960815429688, 171.29644775390625]","[175.38113403320312, 140.84552001953125]","[182.14801025390625, 178.06332397460938]","[209.2154998779297, 93.4774398803711]","[219.36578369140625, 130.69525146484375]","[215.98236083984375, 154.3792724609375]","[222.74923706054688, 174.67987060546875]","[253.20013427734375, 96.86087799072266]","[297.184814453125, 144.22897338867188]","[317.48541259765625, 140.84552001953125]","[364.853515625, 184.8302001953125]"
"[84.29644775390625, 135.60948181152344]","[74.455078125, 132.3290252685547]","[77.73553466796875, 138.8899383544922]","[71.17462158203125, 165.1335906982422]","[77.73553466796875, 155.29222106933594]","[117.10102844238281, 158.5726776123047]","[117.10102844238281, 168.41404724121094]","[163.0274200439453, 161.85313415527344]","[176.14926147460938, 184.8163299560547]","[202.39291381835938, 135.60948181152344]","[222.07565307617188, 145.4508514404297]","[212.23426818847656, 165.1335906982422]","[218.79518127441406, 178.2554168701172]","[268.0020751953125, 115.92674255371094]","[290.96527099609375, 132.3290252685547]","[343.45257568359375, 165.1335906982422]","[353.2939453125, 171.6945037841797]"
"[86.50958251953125, 132.97084045410156]","[79.93547058105469, 129.6837921142578]","[79.93547058105469, 139.54493713378906]","[73.36135864257812, 165.8413848876953]","[79.93547058105469, 159.2672882080078]","[119.38014221191406, 162.55433654785156]","[122.66720581054688, 175.7025604248047]","[175.26007080078125, 149.40614318847656]","[188.4082794189453, 195.4248809814453]","[208.13063049316406, 139.54493713378906]","[227.85293579101562, 152.6931610107422]","[208.13063049316406, 165.8413848876953]","[214.70472717285156, 178.98960876464844]","[273.8717346191406, 139.54493713378906]","[290.3070068359375, 113.2485122680664]","[333.0387268066406, 172.41551208496094]","[346.18695068359375, 165.8413848876953]"
"[91.49720764160156, 135.87289428710938]","[81.85572814941406, 132.486083984375]","[83.5800552368164, 140.9913330078125]","[79.67220306396484, 175.11634826660156]","[83.07865142822266, 163.92161560058594]","[119.23693084716797, 170.64515686035156]","[122.45394134521484, 173.79901123046875]","[182.50160217285156, 213.93150329589844]","[178.51002502441406, 204.87893676757812]","[242.43658447265625, 183.9640350341797]","[234.0653533935547, 181.934326171875]","[199.15020751953125, 177.3046112060547]","[209.39649963378906, 172.10826110839844]","[272.404052734375, 153.9965362548828]","[276.4765319824219, 98.10140991210938]","[345.65789794921875, 187.2937774658203]","[322.58349609375, 150.3458709716797]"
"[103.00330352783203, 133.021240234375]","[96.708740234375, 135.09246826171875]","[93.29489135742188, 137.77525329589844]","[89.42335510253906, 174.8552703857422]","[93.23118591308594, 156.35708618164062]","[128.08786010742188, 171.7568817138672]","[128.33447265625, 178.2418670654297]","[190.7488555908203, 204.1582794189453]","[188.70985412597656, 210.09474182128906]","[237.1970672607422, 182.61509704589844]","[243.91522216796875, 198.31312561035156]","[226.87794494628906, 154.73788452148438]","[237.2694549560547, 168.19764709472656]","[256.67266845703125, 88.17674255371094]","[262.3725280761719, 87.83833312988281]","[308.10662841796875, 142.8252716064453]","[310.89044189453125, 136.3856658935547]"
"[101.44190979003906, 137.76266479492188]","[94.56379699707031, 137.76266479492188]","[94.56379699707031, 144.64076232910156]","[297.46807861328125, 134.3236083984375]","[101.44190979003906, 172.15321350097656]","[146.14964294433594, 151.51889038085938]","[142.71058654785156, 182.4703826904297]","[194.29640197753906, 154.9579315185547]","[190.8573760986328, 213.42189025878906]","[245.8822479248047, 158.39698791503906]","[245.8822479248047, 209.9828338623047]","[232.1260223388672, 151.51889038085938]","[235.56507873535156, 165.2751007080078]","[290.5899658203125, 175.59226989746094]","[245.8822479248047, 82.73776245117188]","[355.93206787109375, 206.5437774658203]","[300.90716552734375, 124.00643920898438]"
"[113.56999969482422, 142.72935485839844]","[101.5281982421875, 139.71890258789062]","[104.53865051269531, 145.73980712890625]","[110.5595474243164, 181.86520385742188]","[110.5595474243164, 163.802490234375]","[146.68495178222656, 154.77114868164062]","[158.7267608642578, 187.8861083984375]","[182.8103790283203, 145.73980712890625]","[194.85215759277344, 217.9906005859375]","[182.8103790283203, 109.61439514160156]","[252.0507354736328, 214.98013305664062]","[227.9671173095703, 148.750244140625]","[243.01939392089844, 166.81292724609375]","[300.21795654296875, 181.86520385742188]","[243.01939392089844, 85.53079223632812]","[360.4269714355469, 208.95925903320312]","[303.2284240722656, 124.66665649414062]"
