±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[403.4942321777344, 49.6539192199707]","[400.5097351074219, 34.73149490356445]","[406.47869873046875, 43.684940338134766]","[394.540771484375, 46.669437408447266]","[385.58734130859375, 31.747013092041016]","[376.6338806152344, 49.6539192199707]","[343.8045654296875, 67.56080627441406]","[436.32354736328125, 73.52976989746094]","[355.74249267578125, 109.34356689453125]","[394.540771484375, 46.669437408447266]","[385.58734130859375, 97.4056396484375]","[400.5097351074219, 142.17286682128906]","[391.5562744140625, 186.94009399414062]","[484.07525634765625, 85.46769714355469]","[498.9976806640625, 133.21942138671875]","[543.764892578125, 177.98666381835938]","[552.7183837890625, 207.83148193359375]"
"[418.49444580078125, 59.161197662353516]","[427.4468994140625, 44.240421295166016]","[418.49444580078125, 47.22458267211914]","[421.47857666015625, 44.240421295166016]","[418.49444580078125, 41.25627517700195]","[382.6845703125, 50.208744049072266]","[364.7796630859375, 77.06611633300781]","[457.2884521484375, 80.05026245117188]","[457.2884521484375, 83.034423828125]","[409.5419921875, 47.22458267211914]","[418.49444580078125, 53.19289016723633]","[394.6212158203125, 133.76502990722656]","[394.6212158203125, 190.46395874023438]","[487.12994384765625, 86.01856994628906]","[502.05072021484375, 133.76502990722656]","[543.828857421875, 175.54318237304688]","[552.7813720703125, 211.35302734375]"
"[418.529052734375, 53.45015335083008]","[415.5480041503906, 50.469120025634766]","[418.529052734375, 44.50703811645508]","[421.51007080078125, 41.52602005004883]","[418.529052734375, 38.544986724853516]","[379.77557373046875, 50.469120025634766]","[361.8893737792969, 80.27946472167969]","[457.282470703125, 80.27946472167969]","[457.282470703125, 86.24153137207031]","[409.5859375, 47.48808670043945]","[418.529052734375, 53.45015335083008]","[397.66180419921875, 130.95706176757812]","[394.6807556152344, 190.57774353027344]","[487.09283447265625, 86.24153137207031]","[501.99798583984375, 130.95706176757812]","[540.75146484375, 172.69154357910156]","[552.6755981445312, 211.4449920654297]"
"[487.94354248046875, 86.63385009765625]","[453.5041809082031, 46.896121978759766]","[466.7500915527344, 46.896121978759766]","[453.5041809082031, 46.896121978759766]","[445.556640625, 46.896121978759766]","[397.871337890625, 65.44039916992188]","[395.22216796875, 94.58140563964844]","[490.59271240234375, 97.2305908203125]","[485.29437255859375, 99.8797607421875]","[442.9074401855469, 54.84367752075195]","[442.9074401855469, 57.492862701416016]","[363.4319763183594, 174.05685424804688]","[392.572998046875, 189.95196533203125]","[485.29437255859375, 118.42404174804688]","[506.4878234863281, 131.66995239257812]","[543.5763549804688, 184.65359497070312]","[556.8223266601562, 211.14541625976562]"
"[487.9818115234375, 86.68096923828125]","[453.5448913574219, 46.94609451293945]","[466.78985595703125, 46.94609451293945]","[453.5448913574219, 46.94609451293945]","[445.597900390625, 46.94609451293945]","[397.91607666015625, 65.48902893066406]","[395.26708984375, 94.62794494628906]","[490.63079833984375, 97.27693176269531]","[485.3327941894531, 99.92591857910156]","[442.94891357421875, 54.893070220947266]","[442.94891357421875, 57.542057037353516]","[363.47918701171875, 174.0977020263672]","[392.61810302734375, 189.9916229248047]","[485.3327941894531, 118.4688720703125]","[506.52471923828125, 131.7138214111328]","[543.6106567382812, 184.6936492919922]","[556.8555908203125, 211.18357849121094]"
"[419.8543701171875, 56.550846099853516]","[447.2406005859375, 64.01982116699219]","[559.2753295898438, 203.44076538085938]","[454.7095947265625, 59.04050064086914]","[407.40606689453125, 49.08186721801758]","[372.55084228515625, 91.40608215332031]","[399.93707275390625, 106.34403991699219]","[494.5441589355469, 98.87506103515625]","[492.05450439453125, 111.32334899902344]","[457.19927978515625, 51.5715217590332]","[449.73028564453125, 61.53017044067383]","[367.5715026855469, 176.0545196533203]","[397.4474182128906, 188.5028076171875]","[482.0958557128906, 121.28199768066406]","[509.48211669921875, 128.7509765625]","[541.8477172851562, 186.01315307617188]","[559.2753295898438, 208.42010498046875]"
"[414.8258972167969, 51.68027877807617]","[453.08135986328125, 54.23062515258789]","[440.32952880859375, 51.68027877807617]","[450.531005859375, 59.331363677978516]","[445.4302673339844, 54.23062515258789]","[396.9733581542969, 72.08317565917969]","[374.02008056640625, 105.23789978027344]","[483.68572998046875, 105.23789978027344]","[483.68572998046875, 107.78826904296875]","[450.531005859375, 61.88173294067383]","[445.4302673339844, 61.88173294067383]","[363.818603515625, 176.64810180664062]","[399.5237121582031, 186.84954833984375]","[496.43756103515625, 79.73426818847656]","[509.1893310546875, 128.19117736816406]","[544.8944702148438, 181.74884033203125]","[560.1965942382812, 209.80279541015625]"
"[431.61773681640625, 52.24624252319336]","[431.61773681640625, 46.95975875854492]","[426.3312683105469, 44.31650924682617]","[436.90423583984375, 46.95975875854492]","[434.260986328125, 44.31650924682617]","[397.255615234375, 68.1056900024414]","[360.250244140625, 102.46781158447266]","[473.90960693359375, 94.53809356689453]","[476.5528564453125, 99.82457733154297]","[431.61773681640625, 54.88947677612305]","[434.260986328125, 57.5327262878418]","[415.75830078125, 139.4731903076172]","[405.18536376953125, 184.4082794189453]","[495.0555419921875, 81.32189178466797]","[508.2717590332031, 128.9002227783203]","[542.6338500976562, 176.4785919189453]","[555.8500366210938, 208.1974639892578]"
"[415.259033203125, 60.161746978759766]","[384.2685852050781, 35.36940383911133]","[405.9618835449219, 47.765567779541016]","[390.4666748046875, 44.66653823852539]","[381.1695556640625, 47.765567779541016]","[368.77337646484375, 78.75599670410156]","[337.782958984375, 81.85504150390625]","[427.65521240234375, 78.75599670410156]","[319.1886901855469, 115.94451904296875]","[390.4666748046875, 50.864627838134766]","[390.4666748046875, 47.765567779541016]","[409.0609436035156, 140.73687744140625]","[399.7637939453125, 187.22250366210938]","[489.63604736328125, 78.75599670410156]","[508.2303161621094, 131.43972778320312]","[548.5178833007812, 168.62826538085938]","[554.7159423828125, 208.91580200195312]"
"[405.1553039550781, 56.8216438293457]","[353.8822937011719, 27.98056411743164]","[395.5416259765625, 50.41250991821289]","[357.08685302734375, 40.7988166809082]","[376.3142395019531, 50.41250991821289]","[344.26861572265625, 69.639892578125]","[318.632080078125, 79.25358581542969]","[379.518798828125, 72.84445190429688]","[328.24578857421875, 111.29922485351562]","[350.677734375, 31.185123443603516]","[347.4731750488281, 37.59425735473633]","[408.35986328125, 143.3448486328125]","[398.7461853027344, 188.208740234375]","[491.67852783203125, 76.04901123046875]","[507.7013244628906, 130.52658081054688]","[546.1560668945312, 172.1859130859375]","[552.5652465820312, 207.43612670898438]"
