鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[754.7055053710938, 266.40777587890625]","[754.7055053710938, 244.6003875732422]","[749.253662109375, 255.5040740966797]","[787.4166259765625, 233.69667053222656]","[809.2239990234375, 239.1485137939453]","[809.2239990234375, 304.57073974609375]","[841.9351196289062, 299.118896484375]","[803.7721557617188, 413.6076965332031]","[885.5499267578125, 402.7040100097656]","[716.5426025390625, 386.34844970703125]","[852.8388061523438, 484.48175048828125]","[809.2239990234375, 500.8373107910156]","[836.4832763671875, 500.8373107910156]","[721.9944458007812, 609.874267578125]","[716.5426025390625, 598.9706420898438]","[787.4166259765625, 789.7853393554688]","[787.4166259765625, 735.266845703125]"
"[750.8801879882812, 264.7486877441406]","[756.0924072265625, 243.89988708496094]","[750.8801879882812, 254.3242645263672]","[792.5778198242188, 233.4755096435547]","[808.21435546875, 228.2633056640625]","[818.6387329101562, 301.2340393066406]","[834.2753295898438, 296.0218505859375]","[823.8509521484375, 410.69012451171875]","[839.4874877929688, 415.9023132324219]","[735.2435913085938, 426.3266906738281]","[745.6680297851562, 421.1145324707031]","[813.4265747070312, 494.0852355957031]","[839.4874877929688, 494.0852355957031]","[703.970458984375, 624.39013671875]","[750.8801879882812, 624.39013671875]","[776.9412231445312, 765.119384765625]","[803.0021362304688, 759.9071655273438]"
"[751.3958129882812, 257.3868103027344]","[756.6419067382812, 241.6486053466797]","[746.1498413085938, 246.89466857910156]","[788.1182250976562, 231.15650939941406]","[803.8563842773438, 231.15650939941406]","[819.5945434570312, 299.3552551269531]","[830.0867309570312, 294.10919189453125]","[845.8248901367188, 414.7684631347656]","[835.3327026367188, 425.2605895996094]","[761.8880004882812, 461.98297119140625]","[772.3800659179688, 461.98297119140625]","[809.1024780273438, 498.7053527832031]","[830.0867309570312, 498.7053527832031]","[677.9511108398438, 593.1343383789062]","[772.3800659179688, 645.5948486328125]","[767.134033203125, 719.0396118164062]","[824.8406372070312, 797.7304077148438]"
"[748.0309448242188, 271.7138671875]","[753.6052856445312, 254.99072265625]","[742.4564819335938, 260.56512451171875]","[787.051513671875, 243.84197998046875]","[764.7540283203125, 678.6431884765625]","[820.4977416992188, 316.3088684082031]","[809.3490600585938, 316.3088684082031]","[865.0927734375, 422.22198486328125]","[814.9234008789062, 433.3707275390625]","[803.7745971679688, 494.6888427734375]","[736.8821411132812, 450.0938720703125]","[809.3490600585938, 505.83758544921875]","[809.3490600585938, 511.41192626953125]","[653.2665405273438, 567.1557006835938]","[798.2002563476562, 673.06884765625]","[759.1796264648438, 678.6431884765625]","[842.7952270507812, 812.4281005859375]"
"[747.9957885742188, 286.25445556640625]","[753.4559936523438, 269.8739929199219]","[742.53564453125, 269.8739929199219]","[786.2169189453125, 258.95367431640625]","[797.1372680664062, 242.5731658935547]","[813.5177612304688, 319.01544189453125]","[808.0575561523438, 324.4755859375]","[879.0396118164062, 417.2983093261719]","[797.1372680664062, 444.59912109375]","[835.3583374023438, 510.12103271484375]","[715.2348022460938, 422.75848388671875]","[802.597412109375, 515.5812377929688]","[797.1372680664062, 510.12103271484375]","[818.9778442382812, 673.9258422851562]","[644.2527465820312, 531.9617309570312]","[862.6591186523438, 832.2704467773438]","[851.7388305664062, 815.8899536132812]"
"[744.3969116210938, 293.8367614746094]","[749.7952270507812, 277.6417541503906]","[749.7952270507812, 277.6417541503906]","[782.1852416992188, 266.8450622558594]","[803.7786254882812, 266.8450622558594]","[814.5752563476562, 326.226806640625]","[798.3803100585938, 337.02349853515625]","[884.7537231445312, 417.99859619140625]","[771.3886108398438, 444.99029541015625]","[852.3636474609375, 515.168701171875]","[712.0068359375, 396.4052429199219]","[792.98193359375, 520.5670166015625]","[798.3803100585938, 515.168701171875]","[641.8284301757812, 520.5670166015625]","[825.3719482421875, 682.5172119140625]","[733.6001586914062, 633.93212890625]","[857.7620239257812, 822.8740234375]"
"[741.4487915039062, 281.9801025390625]","[746.8119506835938, 265.890625]","[741.4487915039062, 271.2537841796875]","[778.9909057617188, 255.164306640625]","[800.4435424804688, 255.164306640625]","[811.1698608398438, 319.522216796875]","[795.0803833007812, 330.2485656738281]","[886.2540893554688, 405.332763671875]","[768.2645874023438, 432.1485595703125]","[859.4382934570312, 507.2327880859375]","[719.9961547851562, 378.5169677734375]","[795.0803833007812, 512.595947265625]","[805.8067016601562, 512.595947265625]","[639.548828125, 512.595947265625]","[816.5330200195312, 668.1275634765625]","[730.7224731445312, 630.58544921875]","[854.0751342773438, 812.9328002929688]"
"[740.7423706054688, 264.7960205078125]","[746.2338256835938, 253.8130645751953]","[735.2509155273438, 253.8130645751953]","[779.1826171875, 237.3386688232422]","[801.1484985351562, 237.3386688232422]","[812.1314086914062, 303.236328125]","[795.6570434570312, 314.21923828125]","[878.029052734375, 391.0998229980469]","[790.1655883789062, 418.5571594238281]","[850.5717163085938, 489.9462585449219]","[724.2678833007812, 380.11688232421875]","[801.1484985351562, 500.9291687011719]","[795.6570434570312, 500.9291687011719]","[647.3873901367188, 528.3865356445312]","[801.1484985351562, 649.1988525390625]","[729.7593994140625, 649.1988525390625]","[845.0802612304688, 797.468505859375]"
"[742.9476928710938, 249.46202087402344]","[742.9476928710938, 232.83523559570312]","[737.4054565429688, 238.37750244140625]","[776.2012329101562, 221.75071716308594]","[798.3703002929688, 221.75071716308594]","[809.4547729492188, 288.25787353515625]","[798.3703002929688, 293.80010986328125]","[870.4197387695312, 382.4762878417969]","[809.4547729492188, 404.64532470703125]","[831.6238403320312, 482.23699951171875]","[737.4054565429688, 393.5608215332031]","[798.3703002929688, 482.23699951171875]","[820.5393676757812, 487.77923583984375]","[659.8137817382812, 554.2864379882812]","[776.2012329101562, 626.3357543945312]","[742.9476928710938, 687.3006591796875]","[826.0816040039062, 781.51904296875]"
"[747.1707153320312, 239.09544372558594]","[747.1707153320312, 223.02638244628906]","[736.4579467773438, 223.02638244628906]","[779.3087768554688, 212.31370544433594]","[806.0905151367188, 201.6009979248047]","[811.4468994140625, 281.9462890625]","[811.4468994140625, 281.9462890625]","[854.2976684570312, 389.0733337402344]","[816.8032836914062, 399.7860412597656]","[795.3778686523438, 464.0622863769531]","[752.5270385742188, 415.8551025390625]","[827.5159301757812, 464.0622863769531]","[843.5850219726562, 469.41864013671875]","[682.8944091796875, 581.9020385742188]","[757.8833618164062, 603.3275146484375]","[752.5270385742188, 726.5236206054688]","[811.4468994140625, 753.3053588867188]"
"[736.2095336914062, 227.04469299316406]","[741.8392333984375, 215.78526306152344]","[730.5797729492188, 215.78526306152344]","[775.6174926757812, 204.5258331298828]","[792.5066528320312, 198.89610290527344]","[803.7660522460938, 272.0824279785156]","[820.6552124023438, 272.0824279785156]","[826.2849731445312, 384.67669677734375]","[815.0255126953125, 395.9361267089844]","[747.4689331054688, 452.2332763671875]","[741.8392333984375, 446.60357666015625]","[809.3958129882812, 463.4927062988281]","[820.6552124023438, 463.4927062988281]","[702.4312133789062, 604.2355346679688]","[719.3203735351562, 592.97607421875]","[758.7283325195312, 761.8674926757812]","[786.8768920898438, 716.829833984375]"
"[731.9976806640625, 228.25196838378906]","[737.6727294921875, 211.22682189941406]","[731.9976806640625, 216.90187072753906]","[766.0480346679688, 205.55174255371094]","[794.4232788085938, 205.55174255371094]","[794.4232788085938, 273.6524353027344]","[822.798583984375, 267.9773864746094]","[794.4232788085938, 392.8286437988281]","[868.1990356445312, 381.4785461425781]","[703.6223754882812, 426.8789978027344]","[766.0480346679688, 432.5540771484375]","[805.7733764648438, 460.9293212890625]","[817.12353515625, 460.9293212890625]","[680.9221801757812, 557.4052734375]","[703.6223754882812, 580.1055297851562]","[777.3981323242188, 784.4075317382812]","[771.7230834960938, 687.931640625]"
"[732.1389770507812, 236.11465454101562]","[732.1389770507812, 218.60183715820312]","[726.3013916015625, 224.43942260742188]","[773.0022583007812, 206.92660522460938]","[749.6517944335938, 650.5847778320312]","[790.5150756835938, 282.8155517578125]","[819.703125, 276.9779357910156]","[773.0022583007812, 399.56768798828125]","[872.2416381835938, 393.7301025390625]","[673.7628784179688, 399.56768798828125]","[843.0535278320312, 475.45660400390625]","[796.3527221679688, 463.7813720703125]","[802.1902465820312, 463.7813720703125]","[755.4894409179688, 644.7471923828125]","[656.2500610351562, 533.8326416015625]","[796.3527221679688, 808.2001953125]","[749.6517944335938, 644.7471923828125]"
"[726.1344604492188, 238.16954040527344]","[732.134033203125, 226.17034912109375]","[726.1344604492188, 232.16993713378906]","[768.131591796875, 220.17074584960938]","[756.1323852539062, 220.17074584960938]","[786.13037109375, 304.1650390625]","[816.1282958984375, 286.166259765625]","[732.134033203125, 406.1580810546875]","[882.123779296875, 388.1593017578125]","[654.1393432617188, 358.161376953125]","[876.1242065429688, 478.1531982421875]","[792.1299438476562, 484.1527404785156]","[768.131591796875, 478.1531982421875]","[774.1311645507812, 652.1412963867188]","[648.1397705078125, 508.151123046875]","[810.1287231445312, 820.1297607421875]","[732.134033203125, 616.1437377929688]"
"[729.3958740234375, 246.6335906982422]","[734.9474487304688, 229.9789581298828]","[729.3958740234375, 241.08204650878906]","[768.2566528320312, 229.9789581298828]","[796.0143432617188, 224.4274444580078]","[784.9113159179688, 302.1490478515625]","[818.2205200195312, 302.1490478515625]","[712.7412719726562, 402.0767517089844]","[884.8389892578125, 385.4221496582031]","[651.6742553710938, 329.90673828125]","[890.3905639648438, 479.79833984375]","[784.9113159179688, 507.5560607910156]","[801.5658569335938, 507.5560607910156]","[773.8081665039062, 662.9991455078125]","[640.5712280273438, 490.90142822265625]","[807.117431640625, 818.4422607421875]","[723.8442993164062, 601.9322509765625]"
"[726.4961547851562, 241.1268310546875]","[737.8209228515625, 224.13967895507812]","[732.1585083007812, 229.80206298828125]","[766.1328735351562, 224.13967895507812]","[737.8209228515625, 241.1268310546875]","[783.1199951171875, 303.4130859375]","[817.0942993164062, 297.7507019042969]","[703.8466186523438, 388.34881591796875]","[885.0429077148438, 382.68646240234375]","[652.8851928710938, 309.075439453125]","[896.3676147460938, 473.28460693359375]","[788.7824096679688, 507.2589111328125]","[771.7952270507812, 490.271728515625]","[771.7952270507812, 660.1432495117188]","[641.5603637695312, 495.93414306640625]","[805.76953125, 813.027587890625]","[726.4961547851562, 614.8441772460938]"
"[723.0309448242188, 233.29202270507812]","[728.7301025390625, 216.1946258544922]","[717.3318481445312, 221.89376831054688]","[768.6239624023438, 210.49551391601562]","[751.526611328125, 221.89376831054688]","[780.0222778320312, 290.2833251953125]","[814.2169799804688, 284.5841979980469]","[705.9335327148438, 381.4693603515625]","[876.9074096679688, 375.77020263671875]","[654.6414184570312, 307.3807067871094]","[871.2083129882812, 461.25714111328125]","[780.0222778320312, 489.7528076171875]","[745.8274536132812, 472.65545654296875]","[745.8274536132812, 632.2310180664062]","[631.8449096679688, 501.15106201171875]","[780.0222778320312, 786.107421875]","[711.6327514648438, 615.1336059570312]"
"[712.7276000976562, 202.1534881591797]","[718.6547241210938, 190.29910278320312]","[712.7276000976562, 196.22628784179688]","[760.1450805664062, 190.29910278320312]","[766.072265625, 184.3719024658203]","[771.9994506835938, 261.4254150390625]","[795.708251953125, 261.4254150390625]","[724.5819702148438, 368.1148681640625]","[849.052978515625, 356.260498046875]","[659.3828735351562, 308.84295654296875]","[843.1257934570312, 457.02276611328125]","[777.9266967773438, 468.87713623046875]","[754.2178955078125, 462.949951171875]","[724.5819702148438, 617.0569458007812]","[641.6012573242188, 528.1489868164062]","[766.072265625, 777.0911254882812]","[718.6547241210938, 664.4744873046875]"
"[709.683837890625, 185.03746032714844]","[721.5909423828125, 167.17684936523438]","[709.683837890625, 173.13038635253906]","[757.3121948242188, 167.17684936523438]","[763.2656860351562, 155.269775390625]","[769.21923828125, 244.57286071777344]","[793.0333862304688, 244.57286071777344]","[751.358642578125, 357.69012451171875]","[769.21923828125, 363.6436767578125]","[662.0555419921875, 327.92242431640625]","[685.8696899414062, 345.7830505371094]","[763.2656860351562, 452.9467468261719]","[787.0798950195312, 452.9467468261719]","[673.9625854492188, 566.06396484375]","[668.0090942382812, 554.1569213867188]","[745.4050903320312, 750.6237182617188]","[739.4515380859375, 691.08837890625]"
"[712.7160034179688, 174.1195526123047]","[718.3606567382812, 157.1856231689453]","[712.7160034179688, 162.8302764892578]","[757.8731079101562, 157.1856231689453]","[774.8070678710938, 168.47491455078125]","[769.1624145507812, 230.5660400390625]","[786.0963745117188, 230.5660400390625]","[769.1624145507812, 349.1036071777344]","[774.8070678710938, 343.458984375]","[678.8480834960938, 360.3929138183594]","[695.7820434570312, 349.1036071777344]","[763.5177612304688, 439.4179382324219]","[786.0963745117188, 433.7733154296875]","[656.26953125, 569.2448120117188]","[701.4266967773438, 563.6001586914062]","[729.6499633789062, 716.005615234375]","[757.8731079101562, 704.71630859375]"
"[715.6303100585938, 173.0094451904297]","[721.4266967773438, 155.62054443359375]","[721.4266967773438, 167.21315002441406]","[762.0007934570312, 161.41683959960938]","[785.1859741210938, 149.82423400878906]","[779.3897094726562, 236.768798828125]","[785.1859741210938, 230.9724884033203]","[796.778564453125, 352.6948547363281]","[779.3897094726562, 358.4911804199219]","[709.8340454101562, 404.861572265625]","[709.8340454101562, 399.0653076171875]","[756.2044677734375, 439.639404296875]","[785.1859741210938, 445.4356994628906]","[628.6858520507812, 538.1765747070312]","[727.2229614257812, 590.34326171875]","[721.4266967773438, 665.6952514648438]","[779.3897094726562, 746.8434448242188]"
"[715.3345336914062, 179.5795440673828]","[733.3826293945312, 161.53143310546875]","[715.3345336914062, 167.54747009277344]","[769.4788208007812, 167.54747009277344]","[721.3505249023438, 624.7664184570312]","[787.5269165039062, 245.7559814453125]","[769.4788208007812, 245.7559814453125]","[823.6231689453125, 366.0767822265625]","[763.4628295898438, 378.1088562011719]","[751.4307250976562, 432.253173828125]","[685.2543334960938, 396.156982421875]","[775.4949340820312, 450.30126953125]","[763.4628295898438, 444.2852783203125]","[607.0458374023438, 510.461669921875]","[757.4467163085938, 612.7343139648438]","[715.3345336914062, 624.7664184570312]","[805.5750732421875, 757.1192626953125]"
"[723.6402587890625, 188.65052795410156]","[735.5540161132812, 176.73678588867188]","[729.5971069335938, 176.73678588867188]","[771.2952270507812, 182.6936492919922]","[783.2089233398438, 188.65052795410156]","[789.1658325195312, 260.1329345703125]","[771.2952270507812, 260.1329345703125]","[848.7344360351562, 367.3565673828125]","[765.3383178710938, 379.2702941894531]","[789.1658325195312, 450.7527160644531]","[681.9421997070312, 373.31341552734375]","[765.3383178710938, 468.623291015625]","[741.5108642578125, 456.7095642089844]","[777.2520141601562, 617.5449829101562]","[604.5028686523438, 480.53704833984375]","[812.9932250976562, 772.4235229492188]","[705.7696533203125, 593.7174682617188]"
"[722.6449584960938, 200.0348358154297]","[728.1238403320312, 183.5982666015625]","[722.6449584960938, 189.07713317871094]","[766.4757690429688, 194.55596923828125]","[771.9546508789062, 205.51368713378906]","[782.912353515625, 265.7810974121094]","[760.9969482421875, 271.25994873046875]","[854.137451171875, 364.40045166015625]","[739.0814819335938, 386.3158874511719]","[815.7854614257812, 463.0198059082031]","[673.3352661132812, 353.4427795410156]","[766.4757690429688, 479.45635986328125]","[733.6026611328125, 463.0198059082031]","[782.912353515625, 632.8643188476562]","[596.63134765625, 463.0198059082031]","[821.2643432617188, 780.7932739257812]","[700.7295532226562, 583.5546264648438]"
"[723.9765014648438, 182.9439239501953]","[741.2966918945312, 171.39718627929688]","[729.7499389648438, 171.39718627929688]","[775.9369506835938, 177.17056274414062]","[781.7102661132812, 188.71730041503906]","[787.483642578125, 252.22439575195312]","[764.3901977539062, 257.997802734375]","[862.5374145507812, 350.37176513671875]","[747.0700073242188, 373.4652404785156]","[839.4440307617188, 448.51910400390625]","[683.5629272460938, 327.27825927734375]","[764.3901977539062, 448.51910400390625]","[752.8434448242188, 442.7456970214844]","[787.483642578125, 598.6267700195312]","[602.7357788085938, 460.0658264160156]","[712.4298095703125, 575.5332641601562]","[816.3505249023438, 760.2811279296875]"
