鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[818.8447875976562, 595.6972045898438]","[831.6222534179688, 582.9197387695312]","[806.0674438476562, 582.9197387695312]","[793.2899780273438, 576.5310668945312]","[761.346435546875, 582.9197387695312]","[735.7916259765625, 653.195556640625]","[754.9577026367188, 659.5842895507812]","[857.1771240234375, 608.4745483398438]","[857.1771240234375, 621.2520141601562]","[946.6190185546875, 531.81005859375]","[959.396484375, 525.4213256835938]","[901.8980712890625, 844.8568115234375]","[901.8980712890625, 844.8568115234375]","[1048.83837890625, 947.0762329101562]","[1048.83837890625, 947.0762329101562]","[1202.1673583984375, 1023.7407836914062]","[1214.94482421875, 1030.12939453125]"
"[814.626220703125, 573.1427001953125]","[814.626220703125, 566.6132202148438]","[795.0376586914062, 553.5541381835938]","[775.4490966796875, 586.2017211914062]","[755.8605346679688, 566.6132202148438]","[742.8014526367188, 638.4379272460938]","[762.3900756835938, 644.9674682617188]","[866.8623657226562, 605.790283203125]","[886.450927734375, 605.790283203125]","[951.7461547851562, 533.965576171875]","[964.80517578125, 520.9065551757812]","[912.5690307617188, 821.2644653320312]","[919.0985107421875, 827.7939453125]","[1056.2183837890625, 925.7367553710938]","[1069.2774658203125, 938.7957763671875]","[1206.3973388671875, 1023.6795654296875]","[1212.9268798828125, 1030.208984375]"
"[814.4613647460938, 540.9290161132812]","[808.0421752929688, 528.0906982421875]","[795.2037963867188, 528.0906982421875]","[1199.611572265625, 1009.528564453125]","[756.6887817382812, 540.9290161132812]","[763.1079711914062, 624.3782348632812]","[769.5271606445312, 630.7974243164062]","[865.814697265625, 624.3782348632812]","[891.4913940429688, 605.1207885742188]","[930.0064086914062, 547.3482055664062]","[962.102294921875, 515.2523803710938]","[936.4255981445312, 784.8575439453125]","[930.0064086914062, 810.5341796875]","[1058.3897705078125, 893.9834594726562]","[1071.2281494140625, 919.66015625]","[1193.1923828125, 1009.528564453125]","[1212.449951171875, 1028.7860107421875]"
"[814.0607299804688, 521.1317749023438]","[814.0607299804688, 508.5887756347656]","[801.5177612304688, 508.5887756347656]","[745.0742797851562, 521.1317749023438]","[763.8887329101562, 527.4032592773438]","[763.8887329101562, 615.2042846679688]","[782.7032470703125, 615.2042846679688]","[876.7758178710938, 615.2042846679688]","[908.13330078125, 608.9328002929688]","[939.4907836914062, 539.9462890625]","[970.8482666015625, 514.8602905273438]","[952.0337524414062, 778.2633666992188]","[952.0337524414062, 784.5348510742188]","[1083.7352294921875, 897.421875]","[1090.0067138671875, 909.96484375]","[1209.165283203125, 1016.580322265625]","[1221.708251953125, 1029.123291015625]"
"[827.5894165039062, 496.2952575683594]","[821.6289672851562, 478.41400146484375]","[809.7081909179688, 490.3348388671875]","[970.6392822265625, 538.0181274414062]","[773.9456787109375, 514.1764526367188]","[791.8269653320312, 585.701416015625]","[797.787353515625, 597.6222534179688]","[893.1539306640625, 609.5430297851562]","[905.0747680664062, 615.5034790039062]","[940.8372192382812, 549.93896484375]","[970.6392822265625, 520.1369018554688]","[970.6392822265625, 758.5534057617188]","[964.6788940429688, 770.4741821289062]","[1095.807861328125, 883.721923828125]","[1095.807861328125, 901.603271484375]","[1215.01611328125, 1014.8509521484375]","[1226.9368896484375, 1032.732177734375]"
"[835.465576171875, 481.4936828613281]","[829.758544921875, 475.7866516113281]","[824.051513671875, 470.0796203613281]","[972.4342651367188, 538.56396484375]","[789.809326171875, 492.90771484375]","[806.930419921875, 572.8060913085938]","[818.344482421875, 578.5131225585938]","[915.3639526367188, 601.3412475585938]","[915.3639526367188, 612.7553100585938]","[949.6061401367188, 544.27099609375]","[972.4342651367188, 515.73583984375]","[978.1412963867188, 749.7239990234375]","[978.1412963867188, 761.1380615234375]","[1097.98876953125, 875.278564453125]","[1103.69580078125, 886.692626953125]","[1206.42236328125, 1006.5402221679688]","[1223.54345703125, 1023.6613159179688]"
"[846.8985595703125, 458.68524169921875]","[841.1936645507812, 452.9803466796875]","[835.48876953125, 452.9803466796875]","[784.1446533203125, 470.09503173828125]","[801.2593383789062, 481.50482177734375]","[829.7838745117188, 555.6685180664062]","[835.48876953125, 567.0783081054688]","[921.0623168945312, 595.6028442382812]","[921.0623168945312, 618.4224243164062]","[972.4063720703125, 521.4391479492188]","[972.4063720703125, 521.4391479492188]","[1000.9308471679688, 743.93017578125]","[1000.9308471679688, 749.6351318359375]","[1115.02880859375, 880.8478393554688]","[1115.02880859375, 892.2576293945312]","[1217.717041015625, 1012.0604858398438]","[1223.421875, 1023.4702758789062]"
"[863.1221313476562, 445.5340576171875]","[851.90625, 434.31817626953125]","[846.2982788085938, 439.9261169433594]","[840.6903686523438, 467.96588134765625]","[818.258544921875, 473.57379150390625]","[863.1221313476562, 540.8692016601562]","[846.2982788085938, 563.3009643554688]","[936.0255126953125, 596.9486694335938]","[930.4175415039062, 608.1646118164062]","[975.2811279296875, 524.0453491210938]","[975.2811279296875, 518.4374389648438]","[1014.5368041992188, 737.1473999023438]","[1008.9288330078125, 748.3633422851562]","[1121.0877685546875, 871.7382202148438]","[1121.0877685546875, 888.5620727539062]","[1210.81494140625, 1006.3289184570312]","[1227.6387939453125, 1023.1527709960938]"
"[877.7808227539062, 428.4757385253906]","[861.3848876953125, 417.5450744628906]","[861.3848876953125, 428.4757385253906]","[839.5236206054688, 472.1982421875]","[834.0582885742188, 461.2676086425781]","[883.2461547851562, 532.3167114257812]","[861.3848876953125, 548.7127075195312]","[948.8299560546875, 592.4352416992188]","[926.9686889648438, 619.7617797851562]","[976.1565551757812, 515.9207763671875]","[976.1565551757812, 526.8514404296875]","[1019.8790893554688, 723.602783203125]","[1019.8790893554688, 739.9987182617188]","[1123.719970703125, 860.2356567382812]","[1123.719970703125, 876.6316528320312]","[1222.095703125, 1013.2645874023438]","[1227.56103515625, 1024.195068359375]"
"[891.8636474609375, 422.091064453125]","[875.9535522460938, 411.48431396484375]","[870.650146484375, 416.7876892089844]","[844.1332397460938, 459.2146911621094]","[844.1332397460938, 448.60797119140625]","[891.8636474609375, 528.1586303710938]","[870.650146484375, 538.7653198242188]","[944.8973999023438, 581.1923828125]","[923.6838989257812, 623.6194458007812]","[982.0210571289062, 512.2484741210938]","[976.7177124023438, 522.855224609375]","[1040.358154296875, 713.7767944335938]","[1029.75146484375, 729.6869506835938]","[1130.515625, 846.3612060546875]","[1119.9088134765625, 872.8781127929688]","[1215.36962890625, 1000.1591186523438]","[1231.27978515625, 1026.676025390625]"
"[900.1539916992188, 414.0435485839844]","[884.6795043945312, 414.0435485839844]","[879.5213012695312, 408.8853759765625]","[853.7304077148438, 455.30902099609375]","[853.7304077148438, 439.83447265625]","[905.3121948242188, 512.0490112304688]","[879.5213012695312, 532.6817016601562]","[956.89404296875, 532.6817016601562]","[925.9449462890625, 625.5289916992188]","[987.8430786132812, 512.0490112304688]","[977.5267333984375, 527.5234985351562]","[1039.4248046875, 702.9016723632812]","[1034.2666015625, 718.3762817382812]","[1127.114013671875, 842.172607421875]","[1127.114013671875, 873.1217041015625]","[1225.119384765625, 1012.3924560546875]","[1230.277587890625, 1022.7088623046875]"
"[911.5712890625, 408.52325439453125]","[906.498046875, 398.3767395019531]","[891.2782592773438, 403.45001220703125]","[860.8387451171875, 433.8895263671875]","[865.9119873046875, 438.9627685546875]","[906.498046875, 509.98834228515625]","[891.2782592773438, 525.2080688476562]","[952.1572875976562, 555.6476440429688]","[931.8643188476562, 621.5999145507812]","[992.7433471679688, 509.98834228515625]","[977.5235595703125, 520.1348266601562]","[1058.695556640625, 697.6986694335938]","[1043.475830078125, 717.99169921875]","[1134.79443359375, 844.8230590820312]","[1139.86767578125, 875.2625732421875]","[1215.9664306640625, 1007.1671142578125]","[1226.1129150390625, 1017.3135986328125]"
"[923.7454833984375, 406.7291259765625]","[913.5718383789062, 396.55548095703125]","[903.3981323242188, 401.6423034667969]","[862.7034301757812, 432.163330078125]","[877.9639282226562, 437.2501525878906]","[913.5718383789062, 503.3790283203125]","[898.311279296875, 518.6395263671875]","[969.5269775390625, 538.9868774414062]","[928.8323364257812, 620.376220703125]","[1005.1348266601562, 508.4658508300781]","[979.7006225585938, 523.7263793945312]","[1066.1767578125, 701.7655639648438]","[1050.916259765625, 717.0260620117188]","[1137.3924560546875, 849.2837524414062]","[1142.479248046875, 874.7179565429688]","[1218.7818603515625, 1006.9755859375]","[1228.95556640625, 1022.236083984375]"
"[926.5083618164062, 402.19720458984375]","[916.1879272460938, 386.7165832519531]","[905.8674926757812, 397.0369873046875]","[864.5858764648438, 422.8380126953125]","[880.0664672851562, 427.99822998046875]","[916.1879272460938, 500.2410888671875]","[900.7073364257812, 510.5614929199219]","[957.4695434570312, 582.8043823242188]","[921.34814453125, 613.7655639648438]","[1003.9114379882812, 510.5614929199219]","[983.2705688476562, 520.8818969726562]","[1065.833740234375, 691.1686401367188]","[1050.3531494140625, 711.8095092773438]","[1138.07666015625, 840.8145141601562]","[1143.23681640625, 866.6155395507812]","[1189.6787109375, 954.3390502929688]","[1230.9603271484375, 1021.4216918945312]"
"[931.9400634765625, 402.7420654296875]","[931.9400634765625, 392.42999267578125]","[916.471923828125, 392.42999267578125]","[870.0674438476562, 428.5223388671875]","[890.691650390625, 423.36627197265625]","[926.7839965820312, 495.55096435546875]","[906.1598510742188, 511.01910400390625]","[957.7202758789062, 583.2037963867188]","[921.6279907226562, 614.1400756835938]","[1014.4368286132812, 516.1751098632812]","[983.5005493164062, 521.3312377929688]","[1071.1533203125, 691.4807739257812]","[1055.6851806640625, 712.10498046875]","[1138.181884765625, 835.8501586914062]","[1148.494140625, 866.7864379882812]","[1210.36669921875, 1000.8436889648438]","[1230.9908447265625, 1021.4678344726562]"
"[933.098876953125, 402.548583984375]","[933.098876953125, 392.2335205078125]","[912.4688110351562, 392.2335205078125]","[871.2085571289062, 428.336181640625]","[891.8386840820312, 428.336181640625]","[922.7838134765625, 495.384033203125]","[907.311279296875, 510.8565673828125]","[958.8865356445312, 588.2194213867188]","[917.6262817382812, 614.007080078125]","[1010.4617309570312, 526.3291625976562]","[984.6741333007812, 521.171630859375]","[1072.3519287109375, 691.3699340820312]","[1056.87939453125, 712.0000610351562]","[1139.3997802734375, 835.7806396484375]","[1149.71484375, 871.88330078125]","[1190.9749755859375, 954.4036865234375]","[1232.2352294921875, 1021.4514770507812]"
"[933.2435302734375, 402.2867431640625]","[933.2435302734375, 391.96771240234375]","[917.7649536132812, 391.96771240234375]","[871.3292846679688, 428.0843505859375]","[891.9673461914062, 428.0843505859375]","[922.9244995117188, 495.15814208984375]","[907.4459228515625, 510.63671875]","[959.0411376953125, 582.8699951171875]","[917.7649536132812, 613.8271484375]","[1010.6363525390625, 526.1152954101562]","[984.8387451171875, 520.9557495117188]","[1072.550537109375, 691.2199096679688]","[1057.072021484375, 711.8580322265625]","[1134.46484375, 835.6865234375]","[1144.7838134765625, 866.6436767578125]","[1191.219482421875, 954.3555297851562]","[1232.4957275390625, 1021.4293212890625]"
"[934.3753051757812, 399.1326904296875]","[934.3753051757812, 388.843994140625]","[918.9423217773438, 393.98834228515625]","[872.6432495117188, 429.99871826171875]","[893.2205810546875, 424.8544006347656]","[924.0866088867188, 496.8751525878906]","[908.6536254882812, 512.3081665039062]","[960.0969848632812, 589.4732666015625]","[924.0866088867188, 615.1950073242188]","[1016.6847534179688, 527.7411499023438]","[985.8187255859375, 517.4525146484375]","[1078.416748046875, 692.3600463867188]","[1062.9837646484375, 712.9374389648438]","[1140.14892578125, 836.401611328125]","[1145.293212890625, 867.2676391601562]","[1196.736572265625, 959.86572265625]","[1227.6026611328125, 1016.4534301757812]"
"[934.9282836914062, 403.14837646484375]","[934.9282836914062, 387.6895446777344]","[919.4694213867188, 392.8424987792969]","[873.0928344726562, 428.91314697265625]","[888.5516967773438, 423.76019287109375]","[924.6223754882812, 495.9014892578125]","[914.3164672851562, 511.3603515625]","[945.2341918945312, 593.8074951171875]","[924.6223754882812, 614.4193115234375]","[1017.3754272460938, 521.6661987304688]","[986.4577026367188, 516.5132446289062]","[1074.057861328125, 691.7135620117188]","[1058.5989990234375, 712.3253173828125]","[1141.046142578125, 835.99609375]","[1146.1990966796875, 866.913818359375]","[1197.728515625, 959.6668701171875]","[1228.646240234375, 1021.502197265625]"
"[938.4263305664062, 402.3381652832031]","[933.2671508789062, 392.0198974609375]","[917.789794921875, 397.17901611328125]","[871.3576049804688, 428.1338195800781]","[891.994140625, 428.1338195800781]","[928.1080322265625, 495.2025146484375]","[907.4715576171875, 510.67987060546875]","[959.0628051757812, 588.0668334960938]","[922.9489135742188, 613.8624877929688]","[1010.6541137695312, 515.8389892578125]","[984.8584594726562, 520.9981079101562]","[1067.404541015625, 691.2494506835938]","[1057.086181640625, 706.726806640625]","[1134.47314453125, 835.7050170898438]","[1149.9505615234375, 866.6598510742188]","[1196.3826904296875, 959.5241088867188]","[1232.49658203125, 1021.4336547851562]"
