鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[3123.710693359375, 631.5554809570312]","[3136.0166015625, 594.6381225585938]","[3111.405029296875, 594.6381225585938]","[3209.85107421875, 582.3323364257812]","[3259.07421875, 557.7208862304688]","[3295.991455078125, 717.69580078125]","[3259.07421875, 742.3072509765625]","[3000.6533203125, 693.0842895507812]","[3025.2646484375, 705.3900146484375]","[2963.736083984375, 471.58056640625]","[2963.736083984375, 520.8035888671875]","[3492.883544921875, 1234.53759765625]","[3443.66064453125, 1234.53759765625]","[3382.1318359375, 1616.01611328125]","[3382.1318359375, 1616.01611328125]","[3443.66064453125, 2046.717529296875]","[3431.354736328125, 2022.10595703125]"
"[3104.38134765625, 673.0601196289062]","[3127.7587890625, 637.9938354492188]","[3092.692626953125, 637.9938354492188]","[3209.580078125, 637.9938354492188]","[3151.136474609375, 649.6825561523438]","[3279.712646484375, 766.5701293945312]","[3232.95751953125, 801.6364135742188]","[2999.1826171875, 789.9475708007812]","[2975.80517578125, 801.6364135742188]","[2858.917724609375, 614.6163330078125]","[2858.917724609375, 637.9938354492188]","[3525.17626953125, 1257.4974365234375]","[3478.42138671875, 1257.4974365234375]","[3396.60009765625, 1631.5374755859375]","[3384.911376953125, 1619.8486328125]","[3455.043701171875, 2052.332275390625]","[3443.35498046875, 2028.9547119140625]"
"[3105.347412109375, 674.562255859375]","[3117.0244140625, 639.5314331054688]","[3093.670654296875, 639.5314331054688]","[3210.43994140625, 639.5314331054688]","[3152.05517578125, 651.2083740234375]","[3280.50146484375, 767.9777221679688]","[3233.793701171875, 791.3316040039062]","[3000.255126953125, 791.3316040039062]","[2976.9013671875, 803.0084838867188]","[2860.132080078125, 616.1775512695312]","[2860.132080078125, 639.5314331054688]","[3525.717041015625, 1258.40869140625]","[3490.686279296875, 1258.40869140625]","[3397.270751953125, 1620.3935546875]","[3385.59375, 1620.3935546875]","[3455.655517578125, 2064.11669921875]","[3432.301513671875, 2029.086181640625]"
"[3071.10498046875, 746.0335693359375]","[3082.1328125, 701.9221801757812]","[3060.0771484375, 712.9500122070312]","[3170.355712890625, 701.9221801757812]","[3236.522705078125, 690.8943481445312]","[3258.578369140625, 845.2841186523438]","[3280.634033203125, 856.3119506835938]","[3071.10498046875, 944.5347290039062]","[3082.1328125, 944.5347290039062]","[2861.575927734375, 900.42333984375]","[2938.77099609375, 911.451171875]","[3556.330078125, 1275.369873046875]","[3556.330078125, 1286.397705078125]","[3390.912353515625, 1628.2607421875]","[3390.912353515625, 1617.23291015625]","[3457.079345703125, 2058.346435546875]","[3446.051513671875, 2047.318603515625]"
"[3046.77587890625, 816.2550659179688]","[3057.5068359375, 784.0621337890625]","[3046.77587890625, 784.0621337890625]","[3132.623779296875, 784.0621337890625]","[3089.69970703125, 773.3311157226562]","[3250.664306640625, 902.1028442382812]","[3207.740478515625, 923.5647583007812]","[3089.69970703125, 1052.33642578125]","[3057.5068359375, 1063.0673828125]","[2842.887451171875, 1095.2603759765625]","[2875.080322265625, 1095.2603759765625]","[3594.0556640625, 1309.8798828125]","[3583.32470703125, 1320.61083984375]","[3390.1669921875, 1642.5401611328125]","[3379.43603515625, 1621.078125]","[3465.283935546875, 2061.0478515625]","[3433.091064453125, 2039.5860595703125]"
"[3011.497314453125, 905.5685424804688]","[3021.514404296875, 865.5004272460938]","[3021.514404296875, 885.5344848632812]","[3111.667724609375, 855.4833374023438]","[3171.769775390625, 865.5004272460938]","[3231.8720703125, 975.6878662109375]","[3201.821044921875, 995.721923828125]","[3081.616455078125, 1186.0455322265625]","[3071.599609375, 1216.0966796875]","[2911.326904296875, 1346.318115234375]","[2901.309814453125, 1356.335205078125]","[3622.53662109375, 1326.2841796875]","[3582.468505859375, 1336.3011474609375]","[3382.127685546875, 1636.812255859375]","[3372.110595703125, 1616.7781982421875]","[3462.263916015625, 2067.544921875]","[3452.246826171875, 2037.49365234375]"
"[3004.811767578125, 977.5409545898438]","[3014.1787109375, 940.0735473632812]","[3004.811767578125, 958.8072509765625]","[3089.113525390625, 940.0735473632812]","[3145.314453125, 911.9730834960938]","[3192.148681640625, 1071.2093505859375]","[3229.6162109375, 1043.10888671875]","[3145.314453125, 1352.2147216796875]","[3173.4150390625, 1342.847900390625]","[3051.646240234375, 1586.3857421875]","[3107.84716796875, 1520.81787109375]","[3632.390380859375, 1370.9483642578125]","[3585.55615234375, 1361.58154296875]","[3370.118896484375, 1661.320556640625]","[3360.751953125, 1623.8531494140625]","[3473.154052734375, 2064.0947265625]","[3445.053466796875, 2035.9942626953125]"
"[2976.190673828125, 1058.215576171875]","[2984.987548828125, 1023.0282592773438]","[2967.393798828125, 1040.621826171875]","[3046.5654296875, 1014.2313842773438]","[3116.940185546875, 987.8408813476562]","[3187.31494140625, 1128.5902099609375]","[3187.31494140625, 1119.79345703125]","[3248.892822265625, 1392.495361328125]","[3257.689453125, 1383.698486328125]","[3284.080078125, 1621.213134765625]","[3292.876953125, 1586.02587890625]","[3635.95361328125, 1392.495361328125]","[3600.766357421875, 1383.698486328125]","[3363.251708984375, 1665.1973876953125]","[3354.454833984375, 1665.1973876953125]","[3468.813720703125, 2069.851806640625]","[3451.219970703125, 2043.46142578125]"
"[2983.619873046875, 1057.439208984375]","[2983.619873046875, 1031.030029296875]","[2974.816650390625, 1039.8330078125]","[3054.044189453125, 1013.4239501953125]","[3124.468505859375, 987.0148315429688]","[3186.08984375, 1127.863525390625]","[3186.08984375, 1110.25732421875]","[3247.711181640625, 1391.954833984375]","[3256.51416015625, 1383.1517333984375]","[3282.92333984375, 1620.833984375]","[3300.529541015625, 1594.4248046875]","[3635.045166015625, 1391.954833984375]","[3608.635986328125, 1383.1517333984375]","[3362.150634765625, 1664.8492431640625]","[3353.34765625, 1664.8492431640625]","[3467.787353515625, 2069.789306640625]","[3450.18115234375, 2043.3800048828125]"
"[2951.353759765625, 1152.0899658203125]","[2959.96044921875, 1117.663330078125]","[2942.7470703125, 1117.663330078125]","[3028.813720703125, 1100.449951171875]","[3484.966552734375, 1539.389404296875]","[3166.520263671875, 1203.72998046875]","[3183.7333984375, 1169.30322265625]","[3338.6533203125, 1375.863037109375]","[3364.473388671875, 1358.649658203125]","[3510.786376953125, 1539.389404296875]","[3398.89990234375, 1530.78271484375]","[3622.6728515625, 1401.6829833984375]","[3622.6728515625, 1384.4697265625]","[3330.046630859375, 1685.70263671875]","[3312.833251953125, 1634.0626220703125]","[3467.753173828125, 2073.001953125]","[3424.719970703125, 2012.75537109375]"
