±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[410.362548828125, 451.0421447753906]","[427.14703369140625, 439.85247802734375]","[399.17291259765625, 439.85247802734375]","[449.5263671875, 456.636962890625]","[376.79364013671875, 456.636962890625]","[477.50048828125, 546.1542358398438]","[337.62982177734375, 540.5593872070312]","[522.2590942382812, 635.6714477539062]","[281.68157958984375, 624.4817504882812]","[594.9918823242188, 641.2662963867188]","[192.164306640625, 624.4817504882812]","[449.5263671875, 741.97314453125]","[360.0091552734375, 741.97314453125]","[427.14703369140625, 881.8438110351562]","[371.19879150390625, 881.8438110351562]","[432.74188232421875, 1032.904052734375]","[382.388427734375, 1032.904052734375]"
"[408.9272155761719, 472.5865478515625]","[424.92431640625, 461.92181396484375]","[398.2624816894531, 461.92181396484375]","[446.2537841796875, 477.9189147949219]","[376.9330139160156, 472.5865478515625]","[483.5803527832031, 568.5691528320312]","[334.2740783691406, 563.2367553710938]","[520.9069213867188, 659.2194213867188]","[280.9504089355469, 648.5546264648438]","[600.8924560546875, 653.8870239257812]","[195.6325225830078, 637.8899536132812]","[451.5861511230469, 765.8667602539062]","[360.9359130859375, 760.5343627929688]","[430.2566833496094, 899.1758422851562]","[371.60064697265625, 899.1758422851562]","[435.58905029296875, 1043.149658203125]","[382.265380859375, 1043.149658203125]"
"[410.1171875, 481.1015319824219]","[425.78125, 470.6587829589844]","[399.6744384765625, 470.6587829589844]","[446.666748046875, 491.54425048828125]","[378.7889404296875, 491.54425048828125]","[483.21630859375, 585.5288696289062]","[331.796630859375, 580.3075561523438]","[524.9872436523438, 669.0707397460938]","[279.5829772949219, 663.8494262695312]","[598.08642578125, 669.0707397460938]","[196.0410614013672, 648.185302734375]","[451.8880920410156, 773.4981079101562]","[363.1248779296875, 773.4981079101562]","[431.0026550292969, 909.253662109375]","[373.5675964355469, 909.253662109375]","[431.0026550292969, 1039.787841796875]","[378.7889404296875, 1039.787841796875]"
"[408.7295227050781, 482.50341796875]","[424.4640808105469, 477.258544921875]","[392.9949951171875, 477.258544921875]","[445.4434814453125, 492.99310302734375]","[377.26043701171875, 492.99310302734375]","[482.15740966796875, 587.4003295898438]","[330.05682373046875, 587.4003295898438]","[524.1161499023438, 676.5628051757812]","[282.85321044921875, 666.0730590820312]","[597.5440063476562, 676.5628051757812]","[198.9356231689453, 655.5833740234375]","[450.6883239746094, 776.2149047851562]","[361.5259094238281, 776.2149047851562]","[434.9537658691406, 907.3359985351562]","[372.015625, 907.3359985351562]","[429.70892333984375, 1043.701904296875]","[382.5052795410156, 1043.701904296875]"
"[407.8725891113281, 477.70709228515625]","[423.7352600097656, 467.13201904296875]","[397.2975158691406, 467.13201904296875]","[444.8854675292969, 488.2822265625]","[376.14727783203125, 488.2822265625]","[481.8983154296875, 583.4581298828125]","[328.559326171875, 578.1705932617188]","[518.9111938476562, 668.0589599609375]","[280.97137451171875, 662.7714233398438]","[592.9368286132812, 673.3464965820312]","[196.3705291748047, 662.7714233398438]","[450.1730041503906, 779.0975341796875]","[360.2846374511719, 773.8099975585938]","[434.3103332519531, 905.9987182617188]","[376.14727783203125, 900.7112426757812]","[429.0227966308594, 1038.1875]","[376.14727783203125, 1043.4749755859375]"
"[412.1680908203125, 465.570556640625]","[423.046142578125, 454.6925048828125]","[395.85101318359375, 454.6925048828125]","[444.80224609375, 471.00958251953125]","[374.0948486328125, 471.00958251953125]","[477.4364013671875, 568.912109375]","[336.02166748046875, 558.0339965820312]","[515.5095825195312, 655.9365844726562]","[281.6313781738281, 645.0585327148438]","[597.0950927734375, 666.8146362304688]","[194.60690307617188, 650.4974975585938]","[450.24127197265625, 759.278076171875]","[357.77777099609375, 753.8390502929688]","[433.9241943359375, 895.2537841796875]","[374.0948486328125, 889.8148193359375]","[428.48516845703125, 1036.66845703125]","[379.53387451171875, 1036.66845703125]"
"[408.2715759277344, 443.6640930175781]","[425.16363525390625, 432.4027099609375]","[397.01019287109375, 432.4027099609375]","[447.6864013671875, 449.2947692871094]","[374.4874267578125, 449.2947692871094]","[481.4705810546875, 550.6472778320312]","[335.07257080078125, 539.3858642578125]","[520.8854370117188, 635.1076049804688]","[284.3963317871094, 623.8462524414062]","[599.7151489257812, 651.9996948242188]","[194.3052215576172, 640.7383422851562]","[447.6864013671875, 742.0907592773438]","[363.2260437011719, 742.0907592773438]","[436.425048828125, 882.858154296875]","[374.4874267578125, 877.2274169921875]","[430.7943115234375, 1029.256103515625]","[380.11810302734375, 1034.88671875]"
"[407.8004455566406, 426.4150390625]","[425.661865234375, 414.5074157714844]","[395.8928527832031, 414.5074157714844]","[443.5232849121094, 432.36883544921875]","[378.03143310546875, 432.36883544921875]","[473.2923278808594, 527.6298217773438]","[330.40093994140625, 521.6759643554688]","[514.968994140625, 616.9368896484375]","[282.7704772949219, 605.0292358398438]","[598.3222045898438, 640.7521362304688]","[187.50953674316406, 628.8445434570312]","[449.47711181640625, 712.1978149414062]","[360.16998291015625, 712.1978149414062]","[431.61566162109375, 861.04296875]","[372.0776062011719, 855.0891723632812]","[425.661865234375, 1021.7957763671875]","[378.03143310546875, 1021.7957763671875]"
"[408.9598083496094, 412.99029541015625]","[426.58367919921875, 401.2410583496094]","[397.2105712890625, 401.2410583496094]","[444.2075500488281, 418.86492919921875]","[379.5867004394531, 412.99029541015625]","[473.5806579589844, 506.9842834472656]","[332.5897216796875, 501.10968017578125]","[514.7030639648438, 595.1036376953125]","[279.71807861328125, 583.3544311523438]","[602.8224487304688, 624.4767456054688]","[185.72409057617188, 618.6021118164062]","[444.2075500488281, 694.9722290039062]","[356.08819580078125, 694.9722290039062]","[432.4582824707031, 847.7124633789062]","[367.8374328613281, 841.8378295898438]","[420.7090759277344, 1006.3273315429688]","[373.7120666503906, 1000.4526977539062]"
"[410.77166748046875, 401.78662109375]","[422.07354736328125, 390.4847412109375]","[399.46978759765625, 390.4847412109375]","[444.67724609375, 413.0884704589844]","[376.8660888671875, 407.43756103515625]","[472.93194580078125, 497.85247802734375]","[331.6585693359375, 492.2015686035156]","[518.139404296875, 588.2674560546875]","[280.8001708984375, 576.965576171875]","[597.2525024414062, 616.5221557617188]","[190.38519287109375, 610.8711547851562]","[450.3282470703125, 689.9843139648438]","[359.91326904296875, 689.9843139648438]","[433.3753662109375, 836.9086303710938]","[371.215087890625, 831.2576293945312]","[422.07354736328125, 989.4837036132812]","[376.8660888671875, 983.8328247070312]"
