鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1391.7379150390625, 919.8012084960938]","[1363.929931640625, 891.9931030273438]","[1336.121826171875, 905.8971557617188]","[1878.37890625, 1072.745361328125]","[1238.793701171875, 1017.1293334960938]","[1405.6419677734375, 1197.8817138671875]","[1377.833984375, 1267.40185546875]","[1642.010498046875, 1253.497802734375]","[1711.530517578125, 1434.2501220703125]","[1753.24267578125, 1086.6494140625]","[1808.8587646484375, 1114.45751953125]","[2031.3232421875, 1628.9066162109375]","[2003.51513671875, 1781.850830078125]","[2378.924072265625, 2087.739501953125]","[2365.02001953125, 2087.739501953125]","[1697.6265869140625, 1058.8414306640625]","[1767.146728515625, 1114.45751953125]"
"[1404.5858154296875, 904.3866577148438]","[1404.5858154296875, 891.2621459960938]","[1352.087646484375, 878.1376342773438]","[1220.842529296875, 996.25830078125]","[1260.216064453125, 996.25830078125]","[1417.7103271484375, 1193.1260986328125]","[1417.7103271484375, 1258.748779296875]","[1667.076171875, 1245.624267578125]","[1719.5743408203125, 1429.367431640625]","[1758.947998046875, 1075.00537109375]","[1824.570556640625, 1101.25439453125]","[2047.6873779296875, 1599.986328125]","[1995.1893310546875, 1731.2314453125]","[2375.800537109375, 2085.593505859375]","[2336.427001953125, 2085.593505859375]","[2428.298583984375, 2138.091552734375]","[2402.049560546875, 2151.216064453125]"
"[1434.5716552734375, 900.5902099609375]","[1393.31884765625, 859.33740234375]","[1379.56787109375, 873.0883178710938]","[1310.813232421875, 996.8467407226562]","[1269.560302734375, 983.0958251953125]","[1420.8206787109375, 1175.60888671875]","[1420.8206787109375, 1244.363525390625]","[1654.586669921875, 1216.861572265625]","[1737.09228515625, 1423.125732421875]","[1764.5941162109375, 1065.601318359375]","[1819.597900390625, 1106.854248046875]","[1984.609130859375, 1670.6427001953125]","[1998.360107421875, 1711.8953857421875]","[2328.382568359375, 2028.1668701171875]","[2328.382568359375, 2055.668701171875]","[2438.39013671875, 2096.921630859375]","[2452.140869140625, 2165.676513671875]"
"[1435.9283447265625, 901.8153076171875]","[1394.7445068359375, 860.6314697265625]","[1381.0164794921875, 874.3594360351562]","[1312.376708984375, 997.9109497070312]","[1271.19287109375, 984.1829833984375]","[1422.200439453125, 1176.374267578125]","[1422.200439453125, 1245.013916015625]","[1655.575439453125, 1217.55810546875]","[1737.943115234375, 1423.477294921875]","[1765.399169921875, 1066.550537109375]","[1820.310791015625, 1107.7344970703125]","[1985.046142578125, 1670.580322265625]","[1998.774169921875, 1711.76416015625]","[2328.244873046875, 2027.5068359375]","[2328.244873046875, 2054.962646484375]","[2438.068603515625, 2096.146728515625]","[2451.796630859375, 2164.786376953125]"
"[1455.5830078125, 875.1626586914062]","[1426.74462890625, 831.9050903320312]","[1397.90625, 860.7434692382812]","[1340.2294921875, 932.8394165039062]","[1296.971923828125, 961.6777954101562]","[1441.163818359375, 1163.5462646484375]","[1455.5830078125, 1221.2230224609375]","[1671.870849609375, 1206.8038330078125]","[1743.966796875, 1423.0916748046875]","[1787.224365234375, 1062.612060546875]","[1830.48193359375, 1091.450439453125]","[2017.9312744140625, 1624.960205078125]","[2003.5120849609375, 1697.0562744140625]","[2363.99169921875, 2057.535888671875]","[2335.153564453125, 2071.954833984375]","[1354.648681640625, 1149.127197265625]","[1455.5830078125, 1206.8038330078125]"
"[1459.434326171875, 868.5281372070312]","[1430.531005859375, 839.6249389648438]","[1401.6278076171875, 854.0765380859375]","[1343.8214111328125, 926.3345947265625]","[1300.466552734375, 955.23779296875]","[1444.982666015625, 1157.560302734375]","[1459.434326171875, 1229.818359375]","[1676.20849609375, 1215.36669921875]","[1734.014892578125, 1432.140869140625]","[1777.3697509765625, 1070.8505859375]","[1835.17626953125, 1099.7537841796875]","[2037.498779296875, 1634.4635009765625]","[2023.047119140625, 1706.721435546875]","[2369.8857421875, 2053.56005859375]","[2340.982421875, 2068.011474609375]","[1358.27294921875, 882.979736328125]","[1473.885986328125, 1215.36669921875]"
"[1469.4346923828125, 874.3547973632812]","[1440.103271484375, 830.3576049804688]","[1410.7718505859375, 859.6890258789062]","[1337.443359375, 947.6832885742188]","[1308.11181640625, 947.6832885742188]","[1454.76904296875, 1138.3375244140625]","[1469.4346923828125, 1226.331787109375]","[1689.42041015625, 1226.331787109375]","[1748.083251953125, 1416.9859619140625]","[1792.080322265625, 1079.674560546875]","[1821.41162109375, 1109.0059814453125]","[2041.3974609375, 1636.9715576171875]","[2026.731689453125, 1695.6343994140625]","[2422.705810546875, 2091.6083984375]","[2349.377197265625, 2076.94287109375]","[1410.7718505859375, 859.6890258789062]","[1469.4346923828125, 1197.000244140625]"
"[1475.1357421875, 881.0735473632812]","[1431.4130859375, 822.7766723632812]","[1416.8388671875, 851.9251098632812]","[1343.9677734375, 953.9446411132812]","[1314.8193359375, 953.9446411132812]","[1445.9873046875, 1157.983642578125]","[1460.5615234375, 1230.8548583984375]","[1679.1748046875, 1216.2806396484375]","[1737.4716796875, 1420.3197021484375]","[1781.1943359375, 1070.538330078125]","[1824.9169921875, 1099.686767578125]","[2043.5303955078125, 1638.9329833984375]","[2028.9561767578125, 1697.2298583984375]","[2422.460205078125, 2090.733642578125]","[2349.589111328125, 2061.585205078125]","[1402.2646484375, 866.4993286132812]","[1460.5615234375, 1201.7064208984375]"
"[1470.12646484375, 881.4498291015625]","[1426.164794921875, 822.8342895507812]","[1411.510986328125, 866.7959594726562]","[1338.241455078125, 954.7193603515625]","[1308.93359375, 954.7193603515625]","[1440.8187255859375, 1159.873779296875]","[1455.47265625, 1233.143310546875]","[1675.2811279296875, 1203.835693359375]","[1733.896728515625, 1423.64404296875]","[1777.8583984375, 1071.950439453125]","[1836.4739990234375, 1101.25830078125]","[2041.628662109375, 1643.45263671875]","[2026.974853515625, 1716.721923828125]","[2422.630126953125, 2097.723388671875]","[2349.360595703125, 2083.069580078125]","[1396.85693359375, 866.7959594726562]","[1455.47265625, 1203.835693359375]"
"[1457.7933349609375, 881.569091796875]","[1429.443115234375, 839.0439453125]","[1401.0931396484375, 867.39404296875]","[1344.3929443359375, 952.4443359375]","[1301.8677978515625, 966.6193237304688]","[1443.6182861328125, 1165.0699462890625]","[1457.7933349609375, 1235.945068359375]","[1684.593994140625, 1221.77001953125]","[1741.294189453125, 1420.220703125]","[1769.644287109375, 1080.0196533203125]","[1826.344482421875, 1094.194580078125]","[1996.445068359375, 1675.37158203125]","[2010.6201171875, 1717.896728515625]","[2393.346435546875, 2100.622802734375]","[2364.996337890625, 2100.622802734375]","[1401.0931396484375, 881.569091796875]","[2478.396728515625, 2171.498046875]"
"[1450.3248291015625, 897.2955322265625]","[1407.814453125, 840.6150512695312]","[1393.644287109375, 883.1253662109375]","[1336.9638671875, 968.1461181640625]","[1294.4534912109375, 968.1461181640625]","[1436.1546630859375, 1166.5277099609375]","[1436.1546630859375, 1237.37841796875]","[1677.046630859375, 1237.37841796875]","[1733.7271728515625, 1421.58984375]","[1762.0673828125, 1081.507080078125]","[1832.91796875, 1109.84716796875]","[2002.95947265625, 1662.48193359375]","[2031.2998046875, 1733.33251953125]","[2385.552734375, 2101.755615234375]","[2357.21240234375, 2101.755615234375]","[1393.644287109375, 897.2955322265625]","[2470.573486328125, 2172.606201171875]"
