,0_x,0_y,date
0,344.46,192.36,0
1,344.48,197.16,1
2,344.42,201.36,2
3,351.87,219.13,3
4,351.66,233.51,4
5,351.3,253.05,5
6,351.23,255.68,6
7,343.86,240.08,7
8,344.73,229.18,8
9,330.38,213.11,9
10,329.61,201.04,10
11,328.48,201.21,11
12,322.11,202.58,12
13,323.18,209.19,13
14,323.49,226.74,14
15,324.01,236.08,15
16,323.41,247.71,16
17,323.55,255.64,17
18,325.81,247.81,18
19,325.15,221.02,19
20,329.67,213.28,20
21,333.84,204.74,21
22,330.32,209.4,22
23,327.97,212.98,23
24,338.61,223.19,24
25,339.05,235.7,25
26,345.26,247.42,26
27,345.41,256.63,27
28,351.87,258.7,28
29,345.29,245.12,29
30,345.05,237.52,30
31,338.11,227.56,31
32,329.83,218.71,32
33,329.93,216.46,33
34,337.92,221.62,34
35,331.61,229.91,35
36,331.07,237.9,36
37,332,254.14,37
38,332.21,260.04,38
39,331.4,264.5,39
40,337.88,252.65,40
41,338.26,230.33,41
42,345.03,219.26,42
43,344.72,206.49,43
44,347.24,204.5,44
45,344.88,214.1,45
46,345.25,219.41,46
47,351.93,237.34,47
48,351.78,256.22,48
49,358.53,270.35,49
50,358.54,271.5,50
51,358.53,265.51,51
52,358.53,248.48,52
53,351.79,233.2,53
54,344.88,227.01,54
55,344.89,219.41,55
56,344.74,224.54,56
57,344.94,231.29,57
58,345.23,247.11,58
59,345.06,257.88,59
60,345.25,277.73,60
61,345.39,286.94,61
62,338.2,281.18,62
63,339.77,270.33,63
64,334.46,253.61,64
65,326.51,234.78,65
66,320.38,231.21,66
67,322.64,232.44,67
68,315.57,239.73,68
69,310.54,243.83,69
70,310.21,258.62,70
71,307.61,276.04,71
72,310.19,284.83,72
73,307.23,279.29,73
74,313.63,269.57,74
75,317.46,253.92,75
76,325.05,240.04,76
77,328.82,234.53,77
78,334.85,237.65,78
79,339.18,237.46,79
80,344.78,252.56,80
81,352.03,265.59,81
82,352.13,277.76,82
83,358.56,283.1,83
84,358.57,285.17,84
85,358.55,273.55,85
86,351.78,262.53,86
87,352.18,244.07,87
88,345.39,237.84,88
89,344.17,226.06,89
90,343.26,226,90
91,339.32,240.66,91
92,338.5,254.71,92
93,338.97,266.05,93
94,339.3,282.42,94
95,338.81,295.63,95
96,338.9,295.33,96
97,332.06,281.84,97
98,324.01,265.17,98
99,321.71,251.23,99
100,316.38,242.56,100
101,312.68,238.35,101
102,312.93,242.09,102
103,310.23,249.93,103
104,310.48,263.15,104
105,311.9,282.21,105
106,313.05,296.75,106
107,314.17,296.38,107
108,319.77,297.92,108
109,324.74,278.66,109
110,330.6,258.44,110
111,329.45,248.88,111
112,336.41,242.12,112
113,338.82,243.28,113
114,344.26,249.73,114
115,358.52,262.14,115
116,365.36,274.8,116
117,365.25,284.58,117
118,371.63,293.54,118
119,371.48,284.74,119
120,372.11,277.16,120
121,365.44,256.4,121
122,365.45,240.42,122
123,358.5,227.69,123
124,352.15,225.13,124
125,351.43,222.36,125
126,351.75,229.59,126
127,351.66,245.7,127
128,351.76,265.28,128
129,351.94,271.92,129
130,352,285.68,130
131,345.33,275.6,131
132,338.43,272.94,132
133,337.37,254.11,133
134,329.58,245.99,134
135,321.36,235.32,135
136,312.19,238.85,136
137,315.28,246.44,137
138,315.23,261.25,138
139,317.49,267.18,139
140,318.27,270.09,140
141,316.02,265.39,141
142,322.58,252.38,142
143,321.3,243.24,143
144,330.58,231.37,144
145,329.24,229.03,145
146,331.76,236.41,146
147,344.05,248.38,147
148,344.65,266.74,148
149,351.74,280.04,149
150,358.54,292.78,150
151,358.54,289.64,151
152,365.36,278.33,152
153,358.5,259.91,153
154,358.47,240.51,154
155,358.44,241.16,155
156,359.01,232.41,156
157,356.14,238.29,157
158,358.49,252.68,158
159,358.52,262.7,159
160,358.52,280.13,160
161,358.53,295.47,161
162,358.54,293,162
163,358.53,288.71,163
164,365.39,275.88,164
165,365.47,266.42,165
166,379.4,259.77,166
167,379.15,261.57,167
168,379.47,260.33,168
169,391.96,275.36,169
170,391.46,296.37,170
171,396.8,306.05,171
172,396.81,314.3,172
173,396.6,311.43,173
174,391.14,304.21,174
175,392.24,284.62,175
176,392.71,272.51,176
177,386.28,264.34,177
178,386.29,264.66,178
179,386.25,264.35,179
180,392.54,277.42,180
181,391.92,292.83,181
182,397.2,302.19,182
183,398.89,315.99,183
184,399.45,321.88,184
185,397.87,318.55,185
186,397.34,302.13,186
187,385.65,291.47,187
188,385.92,283.06,188
189,378.74,276.4,189
190,376.17,281.82,190
191,372.1,293.34,191
192,365.11,307.05,192
193,358.55,319.42,193
194,352.15,326.78,194
195,352.06,337.18,195
196,339.42,324.8,196
197,345.72,316.48,197
198,345.38,298.57,198
199,345.08,289.02,199
