±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[360.1476745605469, 409.81768798828125]","[373.3026123046875, 396.6627502441406]","[346.9927673339844, 396.6627502441406]","[393.0350036621094, 422.97259521484375]","[314.10546875, 416.3951416015625]","[425.9222412109375, 515.0570068359375]","[274.6407165527344, 521.6344604492188]","[471.9645080566406, 607.1414794921875]","[235.1759490966797, 607.1414794921875]","[524.5841064453125, 646.606201171875]","[202.2886199951172, 640.0287475585938]","[406.18988037109375, 738.690673828125]","[314.10546875, 738.690673828125]","[406.18988037109375, 929.4369506835938]","[314.10546875, 929.4369506835938]","[393.0350036621094, 1107.0281982421875]","[327.2603759765625, 1107.0281982421875]"
"[362.8634033203125, 411.23162841796875]","[376.09710693359375, 397.9979553222656]","[343.01287841796875, 397.9979553222656]","[395.9476318359375, 417.8484802246094]","[316.5455017089844, 417.8484802246094]","[429.0318603515625, 517.1011352539062]","[276.84442138671875, 517.1011352539062]","[468.7329406738281, 609.7369995117188]","[243.7601776123047, 616.3538208007812]","[528.2846069335938, 669.2886352539062]","[197.44227600097656, 662.6717529296875]","[409.18133544921875, 742.0739135742188]","[309.92864990234375, 742.0739135742188]","[402.5644836425781, 933.96240234375]","[309.92864990234375, 927.3455200195312]","[395.9476318359375, 1099.38330078125]","[323.1623229980469, 1106.000244140625]"
"[358.6540832519531, 412.62994384765625]","[371.76641845703125, 399.5176086425781]","[345.541748046875, 399.5176086425781]","[391.4349365234375, 419.18609619140625]","[319.3170471191406, 419.18609619140625]","[430.7719421386719, 517.5286865234375]","[279.98004150390625, 517.5286865234375]","[476.6651306152344, 622.4273681640625]","[240.6429901123047, 622.4273681640625]","[535.6707153320312, 687.9890747070312]","[188.1936492919922, 681.4329223632812]","[404.5472717285156, 740.4384765625]","[312.7608947753906, 740.4384765625]","[404.5472717285156, 930.5674438476562]","[312.7608947753906, 924.01123046875]","[397.9910888671875, 1101.0277099609375]","[325.87322998046875, 1101.0277099609375]"
"[367.53076171875, 409.9138488769531]","[380.58544921875, 396.85919189453125]","[347.9488525390625, 396.85919189453125]","[393.64007568359375, 416.441162109375]","[315.312255859375, 422.968505859375]","[426.27667236328125, 520.8782958984375]","[282.6756591796875, 514.3510131835938]","[471.9678955078125, 618.7880859375]","[243.51171875, 625.3154296875]","[537.2410888671875, 697.1159057617188]","[178.23854064941406, 697.1159057617188]","[406.6947021484375, 742.80712890625]","[308.784912109375, 736.2798461914062]","[406.6947021484375, 932.0994262695312]","[315.312255859375, 925.5720825195312]","[400.16741943359375, 1101.8095703125]","[328.36688232421875, 1101.8095703125]"
"[363.0088195800781, 406.95703125]","[376.2070617675781, 393.7588195800781]","[343.2114562988281, 393.7588195800781]","[396.0043640136719, 413.55615234375]","[316.81500244140625, 413.55615234375]","[428.9999694824219, 519.1420288085938]","[277.2203369140625, 519.1420288085938]","[475.1937561035156, 624.7278442382812]","[244.22474670410156, 631.3269653320312]","[541.1848754882812, 703.9171752929688]","[171.6344757080078, 697.3180541992188]","[409.2026062011719, 743.5119018554688]","[310.21588134765625, 736.9127807617188]","[402.6034851074219, 928.2870483398438]","[316.81500244140625, 928.2870483398438]","[396.0043640136719, 1099.864013671875]","[323.41412353515625, 1099.864013671875]"
"[366.59014892578125, 405.0373229980469]","[379.81744384765625, 391.8100280761719]","[346.74920654296875, 391.8100280761719]","[399.65838623046875, 418.2646179199219]","[320.29461669921875, 418.2646179199219]","[432.72662353515625, 517.4692993164062]","[280.61273193359375, 517.4692993164062]","[472.408447265625, 623.2876586914062]","[247.54449462890625, 623.2876586914062]","[538.544921875, 696.0377807617188]","[174.79440307617188, 689.4241333007812]","[412.88568115234375, 735.7196044921875]","[313.68096923828125, 735.7196044921875]","[406.27203369140625, 927.515380859375]","[313.68096923828125, 927.515380859375]","[399.65838623046875, 1099.469970703125]","[326.90826416015625, 1099.469970703125]"
"[367.3146667480469, 408.74298095703125]","[380.48583984375, 395.57177734375]","[347.557861328125, 395.57177734375]","[400.2426452636719, 415.32855224609375]","[321.2154846191406, 415.32855224609375]","[433.1706237792969, 514.1124877929688]","[281.7019348144531, 514.1124877929688]","[479.26971435546875, 619.4819946289062]","[255.3595428466797, 619.4819946289062]","[551.7113037109375, 691.9235229492188]","[176.33241271972656, 672.166748046875]","[413.413818359375, 738.0226440429688]","[314.6298828125, 738.0226440429688]","[406.8282470703125, 929.0049438476562]","[314.6298828125, 922.4193115234375]","[400.2426452636719, 1100.230224609375]","[321.2154846191406, 1106.81591796875]"
"[369.37060546875, 406.0256652832031]","[382.48370361328125, 392.91259765625]","[349.7010498046875, 392.91259765625]","[395.59674072265625, 412.5821838378906]","[323.47491455078125, 412.5821838378906]","[428.37939453125, 510.93017578125]","[284.1357421875, 510.93017578125]","[474.275146484375, 609.2781372070312]","[251.35304260253906, 615.8346557617188]","[552.9535522460938, 668.2869262695312]","[172.6746826171875, 655.1738891601562]","[408.7098388671875, 733.8522338867188]","[310.3618469238281, 733.8522338867188]","[408.7098388671875, 930.5481567382812]","[310.3618469238281, 923.99169921875]","[402.1532897949219, 1101.017822265625]","[323.47491455078125, 1107.574462890625]"
"[365.090087890625, 408.3576354980469]","[378.1680908203125, 395.27960205078125]","[352.0120849609375, 395.27960205078125]","[397.78515625, 414.8966369628906]","[319.3170166015625, 414.8966369628906]","[430.480224609375, 506.44281005859375]","[286.6219482421875, 506.44281005859375]","[482.79229736328125, 604.5279541015625]","[247.3878936767578, 604.5279541015625]","[561.2603149414062, 643.7620239257812]","[175.45875549316406, 630.6840209960938]","[404.32415771484375, 735.3081665039062]","[312.77801513671875, 728.7692260742188]","[404.32415771484375, 924.9395141601562]","[312.77801513671875, 924.9395141601562]","[397.78515625, 1101.49267578125]","[325.85601806640625, 1108.0316162109375]"
"[366.06097412109375, 403.1780700683594]","[379.1186828613281, 390.1203308105469]","[353.0032043457031, 390.1203308105469]","[398.7052917480469, 409.70697021484375]","[320.3588562011719, 409.70697021484375]","[431.3497009277344, 507.64007568359375]","[287.7144775390625, 507.64007568359375]","[496.6383972167969, 599.0443115234375]","[248.5412139892578, 599.0443115234375]","[574.9849243164062, 631.6886596679688]","[170.1947479248047, 605.5731811523438]","[405.2342224121094, 736.150634765625]","[313.8299560546875, 729.6217651367188]","[405.2342224121094, 925.4879760742188]","[313.8299560546875, 925.4879760742188]","[398.7052917480469, 1101.767333984375]","[326.8877258300781, 1108.29638671875]"
