±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[393.98492431640625, 369.8665771484375]","[407.48291015625, 363.11761474609375]","[380.4869384765625, 363.11761474609375]","[427.72979736328125, 383.36456298828125]","[346.74200439453125, 383.36456298828125]","[468.2237548828125, 484.5993957519531]","[312.9970703125, 477.85040283203125]","[508.7176513671875, 599.3322143554688]","[272.50311279296875, 585.8341674804688]","[562.7095336914062, 680.3200073242188]","[198.2642822265625, 646.5750122070312]","[447.976806640625, 714.06494140625]","[346.74200439453125, 714.06494140625]","[447.976806640625, 903.0365600585938]","[353.49102783203125, 889.53857421875]","[407.48291015625, 1078.510009765625]","[353.49102783203125, 1078.510009765625]"
"[392.3285217285156, 374.99981689453125]","[405.6963806152344, 368.31591796875]","[378.960693359375, 368.31591796875]","[425.7481384277344, 388.3676452636719]","[345.5411071777344, 388.3676452636719]","[465.8516540527344, 481.9425048828125]","[312.12152099609375, 481.9425048828125]","[505.9551086425781, 595.5691528320312]","[278.7019348144531, 588.8851928710938]","[566.1103515625, 675.7761840820312]","[191.8109588623047, 635.6726684570312]","[445.7998962402344, 715.8796997070312]","[345.5411071777344, 709.1957397460938]","[445.7998962402344, 903.0293579101562]","[352.2250061035156, 896.3453979492188]","[412.3802795410156, 1090.178955078125]","[352.2250061035156, 1083.4949951171875]"
"[397.0338134765625, 384.4226989746094]","[410.37127685546875, 371.0852355957031]","[377.027587890625, 371.0852355957031]","[423.708740234375, 391.0914306640625]","[350.3526611328125, 397.76019287109375]","[463.72119140625, 491.1224365234375]","[310.34027099609375, 484.4537353515625]","[510.40234375, 604.490966796875]","[270.32781982421875, 591.1535034179688]","[577.0896606445312, 677.8470458984375]","[183.63427734375, 631.1658935546875]","[443.7149658203125, 717.8594360351562]","[350.3526611328125, 711.190673828125]","[443.7149658203125, 917.9215087890625]","[350.3526611328125, 904.583984375]","[417.03997802734375, 1097.9771728515625]","[350.3526611328125, 1097.9771728515625]"
"[391.3724060058594, 398.22686767578125]","[404.5039978027344, 385.09527587890625]","[378.2408142089844, 385.09527587890625]","[424.20135498046875, 398.22686767578125]","[345.4118347167969, 411.35845947265625]","[470.1619567871094, 503.27960205078125]","[312.5828552246094, 503.27960205078125]","[516.1224975585938, 614.8981323242188]","[266.6222839355469, 601.7665405273438]","[588.3462524414062, 680.5560913085938]","[174.70115661621094, 628.0297241210938]","[443.8987731933594, 726.5166015625]","[351.9776306152344, 719.9508666992188]","[443.8987731933594, 923.4905395507812]","[345.4118347167969, 916.9246215820312]","[424.20135498046875, 1100.766845703125]","[358.54339599609375, 1113.8984375]"
"[390.9913024902344, 415.1443786621094]","[403.9673156738281, 402.1683349609375]","[378.0152893066406, 408.6563720703125]","[429.91943359375, 421.63238525390625]","[352.06317138671875, 421.63238525390625]","[468.8475646972656, 525.4407958984375]","[313.1350402832031, 518.9527587890625]","[520.7517700195312, 629.2490844726562]","[267.7189025878906, 616.2730712890625]","[605.0960083007812, 687.6412963867188]","[170.39859008789062, 629.2490844726562]","[442.89544677734375, 739.54541015625]","[345.5751647949219, 739.54541015625]","[449.38348388671875, 934.1860961914062]","[345.5751647949219, 934.1860961914062]","[429.91943359375, 1115.8505859375]","[358.55120849609375, 1135.3145751953125]"
"[393.24468994140625, 438.9809265136719]","[405.76849365234375, 426.4571533203125]","[374.45904541015625, 426.4571533203125]","[430.8160400390625, 438.9809265136719]","[349.4114990234375, 445.2427978515625]","[474.64923095703125, 545.4330444335938]","[311.84014892578125, 539.171142578125]","[531.0062255859375, 651.8850708007812]","[261.74505615234375, 633.0994262695312]","[618.672607421875, 695.7183227539062]","[167.81675720214844, 633.0994262695312]","[443.3398132324219, 770.8609619140625]","[349.4114990234375, 764.5990600585938]","[455.86358642578125, 958.7175903320312]","[349.4114990234375, 952.4556884765625]","[437.0779113769531, 1134.05029296875]","[355.67340087890625, 1146.573974609375]"
"[393.3636779785156, 456.0686950683594]","[405.54180908203125, 443.8905944824219]","[375.0965270996094, 449.9796447753906]","[429.89801025390625, 462.1577453613281]","[350.74029541015625, 468.2467956542969]","[472.5213928222656, 571.7607421875]","[314.2059631347656, 559.5826416015625]","[539.5010375976562, 669.1856079101562]","[253.3153839111328, 650.91845703125]","[630.8368530273438, 705.719970703125]","[161.9795684814453, 644.8294067382812]","[442.0761413574219, 790.9667358398438]","[344.6512451171875, 784.8776245117188]","[460.34326171875, 979.7274169921875]","[344.6512451171875, 973.6383666992188]","[429.89801025390625, 1144.1318359375]","[356.829345703125, 1150.220947265625]"
"[400.0960693359375, 474.2337341308594]","[412.1842041015625, 462.14556884765625]","[381.9638671875, 462.14556884765625]","[430.31646728515625, 474.2337341308594]","[351.74346923828125, 480.2778015136719]","[472.62493896484375, 576.9829711914062]","[315.47906494140625, 570.9389038085938]","[539.1098022460938, 673.6881713867188]","[255.03829956054688, 655.5559692382812]","[635.8150024414062, 722.040771484375]","[164.3771514892578, 661.6000366210938]","[442.40460205078125, 806.6577758789062]","[345.69940185546875, 806.6577758789062]","[466.5809326171875, 987.9800415039062]","[345.69940185546875, 994.0241088867188]","[430.31646728515625, 1145.1259765625]","[357.78759765625, 1151.169921875]"
"[399.4071044921875, 466.9375]","[411.6972351074219, 454.64739990234375]","[380.9719543457031, 454.64739990234375]","[430.1324462890625, 466.9375]","[356.3916931152344, 473.08258056640625]","[467.0028076171875, 571.403564453125]","[313.3762512207031, 565.2584838867188]","[540.7434692382812, 663.5794677734375]","[258.0707092285156, 645.144287109375]","[632.9193725585938, 725.0300903320312]","[184.32997131347656, 663.5794677734375]","[442.4225158691406, 792.625732421875]","[344.1015625, 792.625732421875]","[467.0028076171875, 976.9776000976562]","[344.1015625, 983.1226196289062]","[430.1324462890625, 1142.89404296875]","[356.3916931152344, 1149.0391845703125]"
"[391.9115905761719, 447.17669677734375]","[404.50091552734375, 434.58740234375]","[373.02764892578125, 434.58740234375]","[423.38482666015625, 447.17669677734375]","[354.1436767578125, 453.47137451171875]","[467.4473876953125, 554.185791015625]","[310.08111572265625, 547.89111328125]","[536.6885375976562, 654.9002075195312]","[266.0185852050781, 629.7215576171875]","[618.5189819335938, 717.8466796875]","[196.77740478515625, 667.489501953125]","[442.2687683105469, 780.7931518554688]","[341.55438232421875, 780.7931518554688]","[461.1527099609375, 975.9273681640625]","[347.8490295410156, 969.6326904296875]","[429.6794738769531, 1139.588134765625]","[354.1436767578125, 1152.177490234375]"
