±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[336.406494140625, 242.1245574951172]","[356.9554443359375, 228.42529296875]","[322.7072448730469, 228.42529296875]","[384.3539733886719, 248.97418212890625]","[302.1583251953125, 248.97418212890625]","[418.6021728515625, 358.56842041015625]","[267.9101257324219, 351.71881103515625]","[473.3992919921875, 481.8619384765625]","[226.81227111816406, 468.16265869140625]","[548.7453002929688, 550.3583374023438]","[151.4662628173828, 529.8093872070312]","[398.05322265625, 598.3057861328125]","[295.3086853027344, 598.3057861328125]","[411.75250244140625, 783.2460327148438]","[295.3086853027344, 783.2460327148438]","[384.3539733886719, 947.6373291015625]","[315.8575744628906, 947.6373291015625]"
"[338.8197021484375, 243.28414916992188]","[359.0796203613281, 229.7775115966797]","[325.31304931640625, 229.7775115966797]","[392.8462219238281, 250.03746032714844]","[311.8064270019531, 250.03746032714844]","[426.6127624511719, 358.09051513671875]","[271.2865295410156, 358.09051513671875]","[480.63934326171875, 479.6502685546875]","[237.5199432373047, 472.89691162109375]","[554.92578125, 553.9366455078125]","[149.72682189941406, 520.1701049804688]","[399.59954833984375, 594.4566040039062]","[298.2997741699219, 594.4566040039062]","[406.35284423828125, 783.5493774414062]","[305.0531005859375, 776.7960815429688]","[392.8462219238281, 965.888916015625]","[318.55975341796875, 932.122314453125]"
"[344.2614440917969, 249.72659301757812]","[365.6022644042969, 235.49935913085938]","[330.0341796875, 235.49935913085938]","[394.0567321777344, 256.8402404785156]","[315.80694580078125, 256.8402404785156]","[429.6247863769531, 363.54449462890625]","[273.1252746582031, 363.54449462890625]","[479.4201354980469, 484.4759216308594]","[237.5571746826172, 477.3623046875]","[557.6698608398438, 548.4984741210938]","[152.19378662109375, 520.0440063476562]","[394.0567321777344, 598.2938232421875]","[294.46612548828125, 598.2938232421875]","[401.1703796386719, 797.4749755859375]","[301.5797424316406, 783.247802734375]","[394.0567321777344, 982.428955078125]","[322.9205627441406, 918.406494140625]"
"[358.5159606933594, 262.1443786621094]","[372.1972351074219, 248.4630889892578]","[337.9940490722656, 248.4630889892578]","[399.5597229003906, 268.9849853515625]","[324.3128356933594, 262.1443786621094]","[433.7628479003906, 378.43505859375]","[283.26904296875, 371.59442138671875]","[481.6472473144531, 494.7257080078125]","[242.2252655029297, 487.88507080078125]","[570.5755004882812, 542.6101684570312]","[153.29708862304688, 515.2476196289062]","[399.5597229003906, 611.016357421875]","[296.9502868652344, 611.016357421875]","[399.5597229003906, 795.71337890625]","[290.10968017578125, 782.0321044921875]","[392.7190856933594, 980.4102783203125]","[317.47216796875, 932.52587890625]"
"[365.36151123046875, 274.8039855957031]","[379.0537109375, 261.11175537109375]","[344.82318115234375, 261.11175537109375]","[406.4381408691406, 281.65008544921875]","[324.28485107421875, 281.65008544921875]","[440.668701171875, 391.1878356933594]","[290.0543212890625, 384.34173583984375]","[488.5914306640625, 507.5716857910156]","[242.1315460205078, 493.87945556640625]","[577.5908813476562, 534.9561157226562]","[159.97825622558594, 514.4177856445312]","[399.592041015625, 630.8015747070312]","[296.9004211425781, 623.9555053710938]","[399.592041015625, 815.6465454101562]","[283.20819091796875, 801.954345703125]","[392.7459411621094, 993.6453247070312]","[310.5926513671875, 966.2608032226562]"
"[365.2513427734375, 284.5760803222656]","[385.4222717285156, 271.1287536621094]","[351.80401611328125, 271.1287536621094]","[412.31695556640625, 298.02337646484375]","[331.6330261230469, 291.29974365234375]","[445.93524169921875, 405.6019592285156]","[291.2910461425781, 398.8782653808594]","[499.72454833984375, 519.9041748046875]","[237.5017852783203, 506.45684814453125]","[587.132080078125, 533.3515014648438]","[156.81784057617188, 519.9041748046875]","[398.8695983886719, 647.6536865234375]","[298.01470947265625, 647.6536865234375]","[405.59326171875, 829.1925048828125]","[284.5673828125, 822.4688720703125]","[392.1459655761719, 1004.0076293945312]","[304.7384033203125, 990.5603637695312]"
"[371.63421630859375, 293.541015625]","[384.722900390625, 280.4523620605469]","[352.0012512207031, 280.4523620605469]","[417.44451904296875, 300.0853271484375]","[332.3682556152344, 306.6296691894531]","[450.16619873046875, 411.3389587402344]","[293.1022644042969, 398.25030517578125]","[509.0651550292969, 516.0482177734375]","[234.2032928466797, 509.50390625]","[594.1414184570312, 529.1369018554688]","[149.12698364257812, 522.5925903320312]","[404.35589599609375, 653.4791259765625]","[293.1022644042969, 653.4791259765625]","[404.35589599609375, 836.7203979492188]","[286.5579528808594, 830.176025390625]","[391.2672424316406, 1006.8729248046875]","[299.6466064453125, 1000.32861328125]"
"[371.476806640625, 284.73931884765625]","[390.8611755371094, 278.27783203125]","[358.5538635253906, 271.8163757324219]","[416.70703125, 304.1236877441406]","[332.7080078125, 297.6622314453125]","[449.01434326171875, 407.5071105957031]","[293.9392395019531, 394.5841979980469]","[513.6289672851562, 504.4290466308594]","[235.78602600097656, 497.9676208496094]","[597.6279907226562, 530.27490234375]","[151.78701782226562, 523.8134155273438]","[397.3226623535156, 646.5812377929688]","[293.9392395019531, 646.5812377929688]","[403.7840881347656, 833.9636840820312]","[281.01629638671875, 827.5022583007812]","[390.8611755371094, 1008.4231567382812]","[300.4006652832031, 995.5001831054688]"
"[372.11260986328125, 277.1568603515625]","[385.7048034667969, 263.5646667480469]","[351.7243347167969, 263.5646667480469]","[412.88916015625, 283.95294189453125]","[331.3360595703125, 283.95294189453125]","[446.86962890625, 392.6904296875]","[290.5594787597656, 379.0982360839844]","[514.8305053710938, 487.83575439453125]","[236.1907196044922, 487.83575439453125]","[596.3836669921875, 535.408447265625]","[154.6376190185547, 521.8162231445312]","[399.2969970703125, 630.5537719726562]","[297.3555908203125, 630.5537719726562]","[399.2969970703125, 820.8442993164062]","[283.7633972167969, 807.2521362304688]","[392.5008850097656, 997.5426635742188]","[304.15167236328125, 977.1543579101562]"
"[365.4359130859375, 256.39947509765625]","[386.2222900390625, 242.54188537597656]","[351.578369140625, 242.54188537597656]","[413.9373779296875, 263.3282470703125]","[330.7919921875, 263.3282470703125]","[441.65252685546875, 374.1887512207031]","[289.2193603515625, 367.25994873046875]","[510.9403076171875, 478.12042236328125]","[240.71788024902344, 478.12042236328125]","[587.1568603515625, 540.4794311523438]","[157.57252502441406, 526.6218872070312]","[400.079833984375, 609.7672119140625]","[296.14813232421875, 602.8385009765625]","[393.1510314941406, 803.7730712890625]","[296.14813232421875, 789.91552734375]","[386.2222900390625, 997.7788696289062]","[303.076904296875, 963.135009765625]"
