鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[466.6923522949219, 405.406005859375]","[440.33056640625, 379.0443115234375]","[453.5114440917969, 392.22515869140625]","[466.6923522949219, 326.32080078125]","[466.6923522949219, 365.86346435546875]","[598.5011596679688, 273.59722900390625]","[572.139404296875, 365.86346435546875]","[611.6820678710938, 471.3104248046875]","[585.3202514648438, 524.033935546875]","[585.3202514648438, 655.8428955078125]","[572.139404296875, 655.8428955078125]","[941.2040405273438, 392.22515869140625]","[928.0232543945312, 431.767822265625]","[1218.0025634765625, 510.8531494140625]","[1218.0025634765625, 510.8531494140625]","[1494.801025390625, 603.1192626953125]","[1455.2584228515625, 616.3001708984375]"
"[466.6694030761719, 405.0688171386719]","[440.3359069824219, 378.7353210449219]","[453.5026550292969, 391.9020690917969]","[466.6694030761719, 326.0683288574219]","[466.6694030761719, 365.5685729980469]","[598.3368530273438, 273.4013366699219]","[572.0033569335938, 352.4018249511719]","[611.5036010742188, 470.9025573730469]","[598.3368530273438, 523.569580078125]","[585.1701049804688, 655.237060546875]","[572.0033569335938, 655.237060546875]","[940.6723022460938, 405.0688171386719]","[927.5055541992188, 431.4023132324219]","[1217.173828125, 510.4028015136719]","[1217.173828125, 510.4028015136719]","[1493.675537109375, 602.570068359375]","[1454.17529296875, 615.73681640625]"
"[466.16314697265625, 404.8348388671875]","[439.7694091796875, 378.4410400390625]","[452.96630859375, 391.637939453125]","[466.16314697265625, 325.653564453125]","[466.16314697265625, 365.24420166015625]","[598.1320190429688, 286.06292724609375]","[571.7382202148438, 338.8504638671875]","[611.328857421875, 484.01611328125]","[598.1320190429688, 523.6068115234375]","[584.9351196289062, 655.5755615234375]","[584.9351196289062, 642.378662109375]","[941.2509155273438, 404.8348388671875]","[941.2509155273438, 418.03167724609375]","[1218.3853759765625, 510.409912109375]","[1218.3853759765625, 510.409912109375]","[1495.5198974609375, 602.7880859375]","[1455.92919921875, 615.98486328125]"
"[466.5887451171875, 405.3836669921875]","[440.230224609375, 379.02520751953125]","[453.40948486328125, 392.2044677734375]","[453.40948486328125, 326.3082275390625]","[466.5887451171875, 365.84600830078125]","[598.3812866210938, 273.5911865234375]","[572.0227661132812, 352.66668701171875]","[598.3812866210938, 471.280029296875]","[598.3812866210938, 523.9969482421875]","[585.2020263671875, 655.78955078125]","[572.0227661132812, 655.78955078125]","[941.0418090820312, 392.2044677734375]","[927.862548828125, 431.7423095703125]","[1230.9852294921875, 510.8177490234375]","[1217.8060302734375, 510.8177490234375]","[1494.5703125, 603.072509765625]","[1455.032470703125, 616.251708984375]"
"[467.21405029296875, 405.5683898925781]","[440.8826904296875, 379.2369079589844]","[454.04833984375, 392.4026794433594]","[467.21405029296875, 326.5741271972656]","[467.21405029296875, 366.0711975097656]","[598.8712158203125, 273.9112243652344]","[572.5397338867188, 366.0711975097656]","[598.8712158203125, 471.3969421386719]","[585.7054443359375, 524.0597534179688]","[585.7054443359375, 655.7167358398438]","[572.5397338867188, 655.7167358398438]","[941.1796264648438, 392.4026794433594]","[928.013916015625, 431.8998107910156]","[1217.659423828125, 510.8940124511719]","[1217.659423828125, 510.8940124511719]","[1494.139404296875, 603.0540161132812]","[1454.64208984375, 616.2196655273438]"
"[467.62310791015625, 418.2435607910156]","[441.29974365234375, 391.9201354980469]","[454.46142578125, 391.9201354980469]","[454.46142578125, 326.1116027832031]","[467.62310791015625, 365.5967712402344]","[599.2400512695312, 273.4648742675781]","[572.9166870117188, 378.7583923339844]","[599.2400512695312, 470.8902893066406]","[586.0784301757812, 549.8605346679688]","[586.0784301757812, 655.1539916992188]","[572.9166870117188, 655.1539916992188]","[941.444091796875, 405.0818176269531]","[941.444091796875, 418.2435607910156]","[1217.8397216796875, 510.3753967285156]","[1217.8397216796875, 510.3753967285156]","[1494.2352294921875, 602.5072631835938]","[1454.7501220703125, 615.6690063476562]"
"[470.48681640625, 418.8572998046875]","[444.40118408203125, 392.7716064453125]","[457.4440002441406, 392.7716064453125]","[457.4440002441406, 327.5574951171875]","[470.48681640625, 366.68597412109375]","[600.9151611328125, 275.38616943359375]","[574.8295288085938, 392.7716064453125]","[600.9151611328125, 471.0286865234375]","[587.872314453125, 549.28564453125]","[587.872314453125, 666.6710205078125]","[561.7866821289062, 666.6710205078125]","[940.0287475585938, 392.7716064453125]","[926.9859008789062, 431.900146484375]","[1226.970947265625, 523.199951171875]","[1213.927978515625, 510.1571044921875]","[1487.827392578125, 601.4569091796875]","[1461.74169921875, 601.4569091796875]"
"[469.65484619140625, 417.9327697753906]","[443.5362854003906, 391.8142395019531]","[456.5955505371094, 391.8142395019531]","[456.5955505371094, 326.5178527832031]","[469.65484619140625, 365.6956481933594]","[600.2476196289062, 274.2807312011719]","[574.1290283203125, 378.7549133300781]","[600.2476196289062, 470.1698303222656]","[600.2476196289062, 548.5254516601562]","[587.1882934570312, 666.0590209960938]","[574.1290283203125, 666.0590209960938]","[939.7886352539062, 391.8142395019531]","[939.7886352539062, 417.9327697753906]","[1227.092529296875, 522.4069213867188]","[1214.033203125, 509.3475646972656]","[1488.27783203125, 600.7626342773438]","[1462.159423828125, 600.7626342773438]"
"[470.60406494140625, 405.2769470214844]","[444.521240234375, 379.1941833496094]","[457.5626220703125, 392.2355651855469]","[457.5626220703125, 327.0284118652344]","[470.60406494140625, 366.1527404785156]","[601.0182495117188, 274.8628234863281]","[574.9354248046875, 392.2355651855469]","[601.0182495117188, 470.4841003417969]","[587.976806640625, 548.7325439453125]","[587.976806640625, 666.1053466796875]","[574.9354248046875, 666.1053466796875]","[940.0950927734375, 392.2355651855469]","[927.0536499023438, 431.3597717285156]","[1227.0062255859375, 522.6497802734375]","[1213.96484375, 509.6083679199219]","[1487.83447265625, 600.8983154296875]","[1461.751708984375, 600.8983154296875]"
"[470.3367004394531, 405.2335205078125]","[444.2333068847656, 379.13006591796875]","[457.2850036621094, 392.1817626953125]","[457.2850036621094, 326.92327880859375]","[470.3367004394531, 366.07830810546875]","[600.8538208007812, 274.7164306640625]","[574.7504272460938, 392.1817626953125]","[600.8538208007812, 470.49200439453125]","[587.8021850585938, 548.8023071289062]","[587.8021850585938, 666.2676391601562]","[574.7504272460938, 666.2676391601562]","[940.1983032226562, 392.1817626953125]","[940.1983032226562, 418.28515625]","[1227.3358154296875, 522.6987915039062]","[1214.2840576171875, 509.64715576171875]","[1488.3699951171875, 601.0090942382812]","[1462.2664794921875, 601.0090942382812]"
