±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[389.4790954589844, 369.65185546875]","[402.7503356933594, 356.380615234375]","[376.2078552246094, 356.380615234375]","[435.92840576171875, 369.65185546875]","[362.9366149902344, 382.923095703125]","[475.7420959472656, 469.1861267089844]","[336.3941345214844, 462.5505065917969]","[535.462646484375, 568.7203979492188]","[296.5804138183594, 568.7203979492188]","[615.090087890625, 628.4409790039062]","[210.31736755371094, 601.8984985351562]","[442.5640563964844, 694.7971801757812]","[349.6653747558594, 681.5259399414062]","[429.2928161621094, 867.3233032226562]","[349.6653747558594, 854.0520629882812]","[416.0215759277344, 1046.48486328125]","[356.3009948730469, 1033.213623046875]"
"[391.8575744628906, 375.0341796875]","[410.95654296875, 362.3015441894531]","[379.1249694824219, 368.6678466796875]","[442.78814697265625, 375.0341796875]","[366.3923034667969, 387.7668151855469]","[480.9860534667969, 476.895263671875]","[340.92706298828125, 470.5289611816406]","[531.91650390625, 585.1226196289062]","[296.3628234863281, 572.3900756835938]","[621.0449829101562, 623.320556640625]","[213.60069274902344, 597.8552856445312]","[442.78814697265625, 693.3500366210938]","[347.2933654785156, 686.9837036132812]","[430.05548095703125, 871.6068725585938]","[347.2933654785156, 865.2406616210938]","[417.3228454589844, 1062.5963134765625]","[353.6596984863281, 1062.5963134765625]"
"[392.062255859375, 386.683837890625]","[410.683349609375, 374.269775390625]","[379.64825439453125, 380.476806640625]","[447.9254150390625, 392.8908386230469]","[367.2342529296875, 399.09783935546875]","[485.16748046875, 492.20306396484375]","[342.40618896484375, 485.99603271484375]","[534.8236083984375, 597.7222900390625]","[292.75006103515625, 585.3082885742188]","[627.9287719726562, 622.5503540039062]","[205.85186767578125, 591.5153198242188]","[447.9254150390625, 709.4485473632812]","[348.6131591796875, 697.0344848632812]","[435.51141357421875, 889.4519653320312]","[348.6131591796875, 883.2449340820312]","[416.890380859375, 1069.4552001953125]","[354.8201904296875, 1075.6622314453125]"
"[391.55712890625, 399.37445068359375]","[403.87005615234375, 387.0615234375]","[379.2441711425781, 393.2179870605469]","[453.1218566894531, 399.37445068359375]","[373.0876770019531, 417.8439025878906]","[490.06072998046875, 504.0345764160156]","[342.3052978515625, 497.8780822753906]","[539.3125610351562, 608.6946411132812]","[286.89703369140625, 590.2252197265625]","[631.65966796875, 614.8511352539062]","[206.8628387451172, 584.0687866210938]","[446.9654235839844, 731.8241577148438]","[348.4617919921875, 719.5111694335938]","[440.8089294433594, 910.3619384765625]","[348.4617919921875, 898.0490112304688]","[410.02655029296875, 1070.43017578125]","[348.4617919921875, 1088.899658203125]"
"[382.563720703125, 411.0452880859375]","[401.11309814453125, 392.49591064453125]","[376.380615234375, 398.67901611328125]","[444.39501953125, 411.0452880859375]","[370.197509765625, 423.4115295410156]","[487.6768798828125, 509.97528076171875]","[345.4649658203125, 503.79217529296875]","[543.324951171875, 615.0884399414062]","[283.63372802734375, 590.3558959960938]","[636.0719604492188, 621.2715454101562]","[209.43618774414062, 590.3558959960938]","[450.578125, 732.5678100585938]","[351.6480712890625, 726.3847045898438]","[444.39501953125, 918.0615844726562]","[345.4649658203125, 899.51220703125]","[413.4793701171875, 1072.6396484375]","[345.4649658203125, 1085.005859375]"
"[370.7026672363281, 413.2122497558594]","[389.4535827636719, 400.711669921875]","[370.7026672363281, 406.96197509765625]","[445.7062072753906, 406.96197509765625]","[376.9529724121094, 394.46136474609375]","[495.70855712890625, 513.2169799804688]","[345.7015075683594, 500.71636962890625]","[551.961181640625, 606.9713745117188]","[283.19854736328125, 588.2205200195312]","[633.2149658203125, 619.4719848632812]","[208.1949920654297, 594.4707641601562]","[445.7062072753906, 738.2276000976562]","[351.9517822265625, 725.7269897460938]","[445.7062072753906, 913.2357788085938]","[351.9517822265625, 900.7352905273438]","[414.4547424316406, 1069.4930419921875]","[345.7015075683594, 1075.7432861328125]"
"[369.1089782714844, 410.13140869140625]","[381.333251953125, 391.79498291015625]","[369.1089782714844, 397.9071350097656]","[436.34246826171875, 404.019287109375]","[375.2210998535156, 410.13140869140625]","[491.35174560546875, 501.8135070800781]","[344.660400390625, 495.70135498046875]","[552.4730834960938, 593.4955444335938]","[289.6511535644531, 587.3834838867188]","[631.9308471679688, 624.0562744140625]","[210.193359375, 599.6077270507812]","[448.5667724609375, 727.9625854492188]","[350.7725524902344, 715.7383422851562]","[442.4546203613281, 899.1024780273438]","[344.660400390625, 886.8782348632812]","[411.8939208984375, 1064.130126953125]","[350.7725524902344, 1064.130126953125]"
"[367.6295166015625, 396.1724548339844]","[380.34429931640625, 383.45770263671875]","[367.6295166015625, 383.45770263671875]","[431.20330810546875, 389.8150634765625]","[367.6295166015625, 402.5298156738281]","[494.77703857421875, 485.17572021484375]","[342.2000732421875, 485.17572021484375]","[551.993408203125, 580.5363159179688]","[291.341064453125, 580.5363159179688]","[628.2818603515625, 625.0379028320312]","[215.05255126953125, 605.9657592773438]","[450.275390625, 714.0411987304688]","[354.914794921875, 701.326416015625]","[437.5606689453125, 885.6903076171875]","[348.55743408203125, 872.9755249023438]","[412.13116455078125, 1063.696533203125]","[354.914794921875, 1050.98193359375]"
"[358.56884765625, 383.53253173828125]","[378.1053466796875, 370.5081787109375]","[358.56884765625, 377.0203552246094]","[423.6905517578125, 377.0203552246094]","[365.08099365234375, 390.0447082519531]","[488.81219482421875, 474.70294189453125]","[345.54449462890625, 474.70294189453125]","[547.4218139648438, 572.385498046875]","[299.95928955078125, 572.385498046875]","[625.5678100585938, 630.9950561523438]","[221.813232421875, 611.45849609375]","[449.7392272949219, 696.1167602539062]","[358.56884765625, 689.6045532226562]","[430.20269775390625, 871.9453125]","[352.056640625, 858.9210205078125]","[410.6661682128906, 1054.2860107421875]","[352.056640625, 1041.2615966796875]"
"[360.0370788574219, 376.0705871582031]","[373.2662353515625, 362.8414306640625]","[353.4225158691406, 369.45599365234375]","[426.18280029296875, 369.45599365234375]","[366.65167236328125, 382.6851501464844]","[492.3284912109375, 462.05999755859375]","[346.80792236328125, 468.6745910644531]","[545.2450561523438, 561.278564453125]","[307.12054443359375, 567.8931274414062]","[618.0053100585938, 627.4242553710938]","[227.7456512451172, 607.58056640625]","[452.64105224609375, 680.3408203125]","[360.0370788574219, 667.1116333007812]","[432.7973327636719, 865.5487670898438]","[353.4225158691406, 845.7050170898438]","[406.3390808105469, 1057.3712158203125]","[346.80792236328125, 1044.14208984375]"
