鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[607.6264038085938, 578.050537109375]","[583.3508911132812, 541.6372680664062]","[595.4886474609375, 590.1882934570312]","[607.6264038085938, 493.086181640625]","[583.3508911132812, 505.2239990234375]","[729.0040283203125, 480.948486328125]","[704.728515625, 480.948486328125]","[765.4172973632812, 650.8771362304688]","[801.8306274414062, 638.7393188476562]","[619.76416015625, 638.7393188476562]","[680.4529418945312, 638.7393188476562]","[1032.447998046875, 493.086181640625]","[1032.447998046875, 529.4994506835938]","[1299.478759765625, 565.9127807617188]","[1287.3409423828125, 565.9127807617188]","[1554.3717041015625, 590.1882934570312]","[1530.0960693359375, 565.9127807617188]"
"[616.5481567382812, 566.6928100585938]","[604.1775512695312, 554.3222045898438]","[616.5481567382812, 566.6928100585938]","[616.5481567382812, 504.83978271484375]","[678.4012451171875, 579.0634155273438]","[740.2543334960938, 480.0985107421875]","[727.8837280273438, 492.4691162109375]","[777.3662109375, 653.2871704101562]","[789.73681640625, 628.5459594726562]","[653.6600341796875, 653.2871704101562]","[678.4012451171875, 603.8046264648438]","[1037.149169921875, 504.83978271484375]","[1037.149169921875, 529.5809936523438]","[1309.302734375, 566.6928100585938]","[1296.93212890625, 579.0634155273438]","[1544.3443603515625, 591.4340209960938]","[1519.6031494140625, 591.4340209960938]"
"[618.745361328125, 566.2867431640625]","[606.3956909179688, 541.5872802734375]","[606.3956909179688, 566.2867431640625]","[618.745361328125, 504.5382080078125]","[680.4939575195312, 578.636474609375]","[742.2424926757812, 479.83880615234375]","[729.8927612304688, 492.1884765625]","[779.2915649414062, 652.7347412109375]","[779.2915649414062, 628.0352783203125]","[655.7944946289062, 652.7347412109375]","[668.1442260742188, 615.685546875]","[1038.635498046875, 516.887939453125]","[1038.635498046875, 529.2376708984375]","[1297.9794921875, 566.2867431640625]","[1297.9794921875, 578.636474609375]","[1544.9736328125, 590.9862060546875]","[1520.274169921875, 590.9862060546875]"
"[610.7144165039062, 566.8507690429688]","[586.5089721679688, 542.6453247070312]","[598.6117553710938, 578.9534301757812]","[610.7144165039062, 494.2344055175781]","[586.5089721679688, 506.3371887207031]","[731.7417602539062, 470.0289611816406]","[707.5363159179688, 482.1316833496094]","[768.0499877929688, 651.5698852539062]","[804.358154296875, 627.3644409179688]","[634.919921875, 651.5698852539062]","[683.3308715820312, 639.4672241210938]","[1022.2073364257812, 494.2344055175781]","[1022.2073364257812, 530.5425415039062]","[1288.46728515625, 566.8507690429688]","[1288.46728515625, 566.8507690429688]","[1542.624755859375, 591.0562133789062]","[1518.419189453125, 566.8507690429688]"
"[600.2048950195312, 567.2714233398438]","[588.1419067382812, 543.1453247070312]","[600.2048950195312, 579.3344116210938]","[612.2679443359375, 494.8932800292969]","[588.1419067382812, 506.9562683105469]","[720.8351440429688, 482.8301696777344]","[708.7721557617188, 482.8301696777344]","[769.0872192382812, 651.7124633789062]","[793.2133178710938, 627.5864868164062]","[636.3939819335938, 651.7124633789062]","[684.6460571289062, 639.6494750976562]","[1022.4107666015625, 482.8301696777344]","[1022.4107666015625, 531.0823364257812]","[1287.797119140625, 567.2714233398438]","[1287.797119140625, 567.2714233398438]","[1553.18359375, 591.3973999023438]","[1516.99462890625, 567.2714233398438]"
"[611.2318115234375, 567.3633422851562]","[587.0698852539062, 543.2013549804688]","[587.0698852539062, 567.3633422851562]","[611.2318115234375, 494.8775939941406]","[587.0698852539062, 506.9585266113281]","[732.0413208007812, 470.7156677246094]","[707.8794555664062, 482.7966003417969]","[768.2841796875, 651.9298706054688]","[804.5270385742188, 627.7680053710938]","[635.3937377929688, 639.8489379882812]","[683.7174682617188, 639.8489379882812]","[1021.9841918945312, 494.8775939941406]","[1021.9841918945312, 531.1204223632812]","[1287.7650146484375, 567.3633422851562]","[1287.7650146484375, 567.3633422851562]","[1553.5460205078125, 591.5252075195312]","[1529.384033203125, 567.3633422851562]"
"[620.6857299804688, 576.8463745117188]","[584.3274536132812, 540.4880981445312]","[584.3274536132812, 588.9657592773438]","[620.6857299804688, 492.0102233886719]","[584.3274536132812, 504.1297912597656]","[729.7606811523438, 479.8908386230469]","[705.5218505859375, 479.8908386230469]","[766.1190185546875, 649.5629272460938]","[790.35791015625, 637.4435424804688]","[620.6857299804688, 649.5629272460938]","[681.2828979492188, 637.4435424804688]","[1032.74658203125, 492.0102233886719]","[1032.74658203125, 540.4880981445312]","[1299.374267578125, 564.7269897460938]","[1299.374267578125, 564.7269897460938]","[1553.8824462890625, 601.0852661132812]","[1541.7630615234375, 576.8463745117188]"
"[621.1222534179688, 576.7114868164062]","[584.7713623046875, 540.3605346679688]","[584.7713623046875, 588.8284301757812]","[621.1222534179688, 491.8927307128906]","[584.7713623046875, 504.0096740722656]","[730.1748657226562, 479.7757873535156]","[705.9409790039062, 479.7757873535156]","[766.5257568359375, 649.4132690429688]","[790.7597045898438, 637.2962036132812]","[621.1222534179688, 649.4132690429688]","[681.70703125, 637.2962036132812]","[1033.0987548828125, 491.8927307128906]","[1033.0987548828125, 540.3605346679688]","[1299.671875, 564.5944213867188]","[1299.671875, 564.5944213867188]","[1554.1279296875, 600.9453735351562]","[1542.010986328125, 576.7114868164062]"
"[609.5004272460938, 575.1891479492188]","[585.281982421875, 538.8613891601562]","[585.281982421875, 587.2982788085938]","[609.5004272460938, 502.5337219238281]","[585.281982421875, 502.5337219238281]","[730.5925903320312, 478.3153991699219]","[706.3741455078125, 478.3153991699219]","[766.9202270507812, 659.9535522460938]","[791.1386108398438, 635.7350463867188]","[621.609619140625, 647.8442993164062]","[682.1557006835938, 635.7350463867188]","[1033.3228759765625, 490.4245300292969]","[1033.3228759765625, 526.7521362304688]","[1299.7255859375, 563.0797729492188]","[1299.7255859375, 563.0797729492188]","[1554.01904296875, 599.4074096679688]","[1541.909912109375, 575.1891479492188]"
"[607.9423217773438, 574.875732421875]","[583.6847534179688, 538.4894409179688]","[595.8135375976562, 599.13330078125]","[607.9423217773438, 502.10308837890625]","[583.6847534179688, 502.10308837890625]","[729.2301635742188, 477.845458984375]","[717.1013793945312, 477.845458984375]","[765.616455078125, 659.7772216796875]","[802.0028686523438, 635.5196533203125]","[620.0711059570312, 647.6484375]","[680.7149658203125, 635.5196533203125]","[1032.44970703125, 489.97430419921875]","[1032.44970703125, 526.360595703125]","[1299.282958984375, 562.7469482421875]","[1299.282958984375, 562.7469482421875]","[1553.9873046875, 599.13330078125]","[1541.8583984375, 574.875732421875]"
