鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[503.22283935546875, 631.29248046875]","[477.3505859375, 618.3563232421875]","[490.28668212890625, 631.29248046875]","[490.28668212890625, 553.67578125]","[451.4783935546875, 501.93133544921875]","[593.7755737304688, 501.93133544921875]","[580.8395385742188, 463.123046875]","[606.7117309570312, 708.9091796875]","[619.6478271484375, 670.1007080078125]","[477.3505859375, 708.9091796875]","[516.158935546875, 670.1007080078125]","[968.9227905273438, 411.37860107421875]","[955.9866943359375, 398.44244384765625]","[1240.5810546875, 566.6119384765625]","[1214.7088623046875, 553.67578125]","[1525.175537109375, 618.3563232421875]","[1486.3671875, 592.484130859375]"
"[502.8069763183594, 631.1307373046875]","[476.89227294921875, 618.1734619140625]","[489.8496398925781, 631.1307373046875]","[489.8496398925781, 553.38671875]","[463.9349670410156, 501.55731201171875]","[593.5084838867188, 501.55731201171875]","[580.5510864257812, 462.68524169921875]","[606.4657592773438, 708.874755859375]","[619.4231567382812, 670.0028076171875]","[476.89227294921875, 708.874755859375]","[528.7216796875, 670.0028076171875]","[969.2714233398438, 410.8558349609375]","[956.3140869140625, 410.8558349609375]","[1241.375732421875, 566.343994140625]","[1215.4609375, 553.38671875]","[1526.437255859375, 618.1734619140625]","[1487.565185546875, 592.2586669921875]"
"[504.0877685546875, 627.4685668945312]","[478.2735290527344, 614.5614624023438]","[491.1806335449219, 627.4685668945312]","[491.1806335449219, 550.0258178710938]","[465.36639404296875, 498.3972473144531]","[594.437744140625, 498.3972473144531]","[581.5305786132812, 459.6758728027344]","[607.3449096679688, 704.9114379882812]","[607.3449096679688, 666.1901245117188]","[465.36639404296875, 704.9114379882812]","[516.9949340820312, 666.1901245117188]","[968.7446899414062, 408.0473937988281]","[955.8374633789062, 408.0473937988281]","[1252.7015380859375, 562.9329223632812]","[1213.9801025390625, 562.9329223632812]","[1523.7513427734375, 614.5614624023438]","[1497.93701171875, 601.6543579101562]"
"[504.44805908203125, 626.526123046875]","[478.64508056640625, 613.62451171875]","[491.54656982421875, 626.526123046875]","[491.54656982421875, 549.1171875]","[465.7435607910156, 497.5111083984375]","[594.7584838867188, 497.5111083984375]","[581.8570556640625, 458.80670166015625]","[607.6600341796875, 703.93505859375]","[620.5615844726562, 665.2305908203125]","[465.7435607910156, 703.93505859375]","[517.3495483398438, 665.2305908203125]","[968.9019165039062, 407.20062255859375]","[956.0004272460938, 407.20062255859375]","[1252.7347412109375, 562.0185546875]","[1214.0303955078125, 562.0185546875]","[1523.6661376953125, 613.62451171875]","[1484.9615478515625, 587.8216552734375]"
"[503.88470458984375, 624.17333984375]","[478.0411376953125, 611.2515869140625]","[490.96295166015625, 624.17333984375]","[503.88470458984375, 546.6427001953125]","[465.119384765625, 494.95562744140625]","[594.3372192382812, 507.87738037109375]","[581.4154663085938, 469.112060546875]","[607.2589721679688, 701.7041015625]","[607.2589721679688, 662.938720703125]","[465.119384765625, 701.7041015625]","[503.88470458984375, 675.8604736328125]","[969.06884765625, 404.503173828125]","[956.1470336914062, 404.503173828125]","[1240.42626953125, 559.564453125]","[1214.5826416015625, 559.564453125]","[1524.7054443359375, 611.2515869140625]","[1485.9400634765625, 598.329833984375]"
"[501.3905029296875, 637.5900268554688]","[488.4237976074219, 611.6565551757812]","[488.4237976074219, 624.6232299804688]","[501.3905029296875, 546.8231811523438]","[462.49041748046875, 494.95648193359375]","[592.1572875976562, 507.923095703125]","[579.1906127929688, 469.0230712890625]","[605.1240234375, 702.4235229492188]","[618.0906982421875, 663.5233764648438]","[462.49041748046875, 702.4235229492188]","[514.357177734375, 663.5233764648438]","[968.1912231445312, 404.1895751953125]","[955.2245483398438, 404.1895751953125]","[1240.4915771484375, 559.7898559570312]","[1214.5582275390625, 559.7898559570312]","[1525.7586669921875, 611.6565551757812]","[1486.858642578125, 598.6900024414062]"
"[505.218505859375, 623.4799194335938]","[479.53228759765625, 597.7937622070312]","[492.3753967285156, 623.4799194335938]","[492.3753967285156, 546.4213256835938]","[466.6891784667969, 495.0489807128906]","[595.1201782226562, 495.0489807128906]","[582.277099609375, 469.3627624511719]","[607.9633178710938, 700.5385131835938]","[607.9633178710938, 662.0092163085938]","[466.6891784667969, 700.5385131835938]","[505.218505859375, 674.8523559570312]","[980.4132690429688, 392.3041687011719]","[967.5701293945312, 405.1472473144531]","[1237.275146484375, 559.2644653320312]","[1211.5888671875, 559.2644653320312]","[1519.8232421875, 623.4799194335938]","[1494.13720703125, 610.6369018554688]"
"[504.23272705078125, 623.2371826171875]","[478.4874267578125, 610.364501953125]","[491.36004638671875, 623.2371826171875]","[491.36004638671875, 546.001220703125]","[465.61474609375, 494.5106201171875]","[594.34130859375, 507.38330078125]","[581.4686889648438, 468.76531982421875]","[607.2139892578125, 700.47314453125]","[607.2139892578125, 661.855224609375]","[465.61474609375, 700.47314453125]","[491.36004638671875, 674.727783203125]","[967.6482543945312, 391.5294189453125]","[954.775634765625, 391.5294189453125]","[1237.973876953125, 558.8739013671875]","[1212.228515625, 558.8739013671875]","[1521.1722412109375, 610.364501953125]","[1495.4268798828125, 610.364501953125]"
"[502.7562255859375, 635.8739624023438]","[489.870361328125, 610.1021118164062]","[502.7562255859375, 622.9879760742188]","[502.7562255859375, 545.6726684570312]","[464.09857177734375, 507.0150451660156]","[592.9574584960938, 507.0150451660156]","[580.0715942382812, 468.3573913574219]","[605.8433227539062, 700.3032836914062]","[618.729248046875, 661.6456909179688]","[464.09857177734375, 700.3032836914062]","[502.7562255859375, 674.5315551757812]","[979.5339965820312, 391.0420837402344]","[966.6481323242188, 391.0420837402344]","[1237.2515869140625, 558.5586547851562]","[1224.3658447265625, 558.5586547851562]","[1520.7412109375, 610.1021118164062]","[1494.9693603515625, 610.1021118164062]"
"[505.1490783691406, 629.9500122070312]","[479.30303955078125, 617.0270385742188]","[492.22607421875, 629.9500122070312]","[492.22607421875, 552.4119262695312]","[453.45703125, 487.7969665527344]","[595.6102294921875, 513.6428833007812]","[582.6871948242188, 474.8738708496094]","[608.5332641601562, 707.4880981445312]","[621.4562377929688, 668.7190551757812]","[466.3800354003906, 707.4880981445312]","[518.0720825195312, 668.7190551757812]","[970.3776245117188, 410.2588806152344]","[957.4546508789062, 410.2588806152344]","[1241.7608642578125, 565.3350219726562]","[1228.837890625, 552.4119262695312]","[1513.1441650390625, 617.0270385742188]","[1500.22119140625, 604.1040649414062]"
"[504.0992431640625, 645.0986938476562]","[478.0882568359375, 632.0930786132812]","[491.09375, 645.0986938476562]","[491.09375, 554.0602416992188]","[452.0772705078125, 489.0328063964844]","[595.1376953125, 502.0382995605469]","[582.1322021484375, 476.0273132324219]","[608.1431274414062, 710.1261596679688]","[621.148681640625, 658.1041870117188]","[478.0882568359375, 710.1261596679688]","[517.104736328125, 671.1096801757812]","[972.296875, 410.9999084472656]","[946.285888671875, 410.9999084472656]","[1245.412109375, 567.0657348632812]","[1219.401123046875, 554.0602416992188]","[1518.52734375, 619.0877075195312]","[1492.5164794921875, 593.0767211914062]"
"[503.9066162109375, 636.6891479492188]","[477.95953369140625, 610.7420043945312]","[490.93310546875, 636.6891479492188]","[490.93310546875, 545.8743286132812]","[452.012451171875, 506.95367431640625]","[594.721435546875, 506.95367431640625]","[581.7479248046875, 468.032958984375]","[607.6950073242188, 701.5568237304688]","[620.6685180664062, 662.6361694335938]","[477.95953369140625, 701.5568237304688]","[516.8801879882812, 662.6361694335938]","[970.9542236328125, 416.13885498046875]","[957.9806518554688, 416.13885498046875]","[1243.3985595703125, 558.8478393554688]","[1243.3985595703125, 558.8478393554688]","[1528.8165283203125, 623.7155151367188]","[1515.843017578125, 610.7420043945312]"
"[505.40252685546875, 634.9758911132812]","[466.56451416015625, 609.0839233398438]","[479.510498046875, 634.9758911132812]","[492.45654296875, 544.3538208007812]","[453.6185302734375, 505.515869140625]","[596.0245361328125, 505.515869140625]","[583.0785522460938, 466.6778564453125]","[608.9705200195312, 699.7058715820312]","[621.91650390625, 660.8678588867188]","[466.56451416015625, 699.7058715820312]","[518.3485107421875, 660.8678588867188]","[958.5125732421875, 414.89385986328125]","[958.5125732421875, 414.89385986328125]","[1243.324462890625, 557.2998657226562]","[1230.37841796875, 557.2998657226562]","[1528.136474609375, 622.0299682617188]","[1502.2445068359375, 596.1378784179688]"
"[486.4310302734375, 620.947998046875]","[447.1693115234375, 594.7734375]","[473.34375, 620.947998046875]","[473.34375, 555.51171875]","[447.1693115234375, 503.162841796875]","[591.1289672851562, 516.25]","[591.1289672851562, 476.98834228515625]","[604.2161865234375, 699.471435546875]","[617.3034057617188, 660.209716796875]","[460.25653076171875, 699.471435546875]","[512.60546875, 660.209716796875]","[970.6589965820312, 424.639404296875]","[957.5717163085938, 411.5521240234375]","[1258.578125, 568.5989990234375]","[1245.490966796875, 555.51171875]","[1533.41015625, 620.947998046875]","[1520.322998046875, 607.8607177734375]"
"[488.53369140625, 620.8598022460938]","[449.3974609375, 594.7689819335938]","[475.48828125, 620.8598022460938]","[475.48828125, 555.6327514648438]","[449.3974609375, 503.4511413574219]","[592.89697265625, 516.4965209960938]","[592.89697265625, 477.3603210449219]","[605.9423828125, 699.1322631835938]","[645.07861328125, 646.9506225585938]","[462.44287109375, 699.1322631835938]","[527.669921875, 659.9960327148438]","[971.2138061523438, 425.1786804199219]","[971.2138061523438, 412.1332702636719]","[1271.2579345703125, 555.6327514648438]","[1245.1671142578125, 555.6327514648438]","[1545.2115478515625, 620.8598022460938]","[1519.1207275390625, 607.8143920898438]"
"[481.0338134765625, 596.0014038085938]","[441.4229736328125, 582.7979125976562]","[467.8302001953125, 609.2050170898438]","[481.0338134765625, 556.3906860351562]","[481.0338134765625, 529.9834594726562]","[586.6626586914062, 516.7798461914062]","[586.6626586914062, 477.16900634765625]","[599.8662719726562, 701.6303100585938]","[626.2734375, 662.0194702148438]","[454.6265869140625, 701.6303100585938]","[507.4410400390625, 662.0194702148438]","[982.770751953125, 437.5582275390625]","[982.770751953125, 424.3546142578125]","[1260.0462646484375, 556.3906860351562]","[1246.8427734375, 556.3906860351562]","[1537.3218994140625, 622.4086303710938]","[1510.9146728515625, 596.0014038085938]"
"[484.7875061035156, 593.6365356445312]","[445.4868469238281, 593.6365356445312]","[458.5870666503906, 606.7367553710938]","[484.7875061035156, 580.5364379882812]","[484.7875061035156, 488.8348388671875]","[589.5892944335938, 528.1355590820312]","[602.6895141601562, 462.63446044921875]","[602.6895141601562, 711.5386352539062]","[707.4912719726562, 619.8370971679688]","[458.5870666503906, 698.4382934570312]","[733.6917114257812, 646.0374145507812]","[982.5960083007812, 449.53411865234375]","[982.5960083007812, 423.333740234375]","[1257.700439453125, 567.4362182617188]","[1244.600341796875, 554.3358764648438]","[1545.9053955078125, 619.8370971679688]","[1519.704833984375, 606.7367553710938]"
"[490.3897705078125, 647.3623046875]","[477.483642578125, 621.550048828125]","[503.2958984375, 634.4561767578125]","[490.3897705078125, 569.925537109375]","[503.2958984375, 479.58258056640625]","[606.5450439453125, 531.20703125]","[606.5450439453125, 466.6763916015625]","[606.5450439453125, 698.9869384765625]","[735.6064453125, 621.550048828125]","[451.67132568359375, 711.89306640625]","[516.2020263671875, 647.3623046875]","[980.8231201171875, 453.770263671875]","[980.8231201171875, 427.95794677734375]","[1251.8519287109375, 557.0194091796875]","[1251.8519287109375, 557.0194091796875]","[1535.7869873046875, 608.6439208984375]","[1497.0687255859375, 595.73779296875]"
