鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[90.48576354980469, 306.7169189453125]","[91.30470275878906, 298.57379150390625]","[83.86517333984375, 296.073974609375]","[72.663330078125, 438.5128173828125]","[31.545913696289062, 296.76556396484375]","[31.332256317138672, 321.64581298828125]","[2.608954429626465, 329.9732666015625]","[39.38446807861328, 377.837890625]","[4.600295543670654, 401.30926513671875]","[80.19696807861328, 423.71673583984375]","[57.70073318481445, 438.3155822753906]","[38.76838302612305, 420.67333984375]","[6.8985209465026855, 434.088623046875]","[126.1816635131836, 436.72882080078125]","[110.12616729736328, 447.4324951171875]","[174.34815979003906, 436.72882080078125]","[170.78028869628906, 445.6485595703125]"
"[89.83268737792969, 306.13323974609375]","[91.2227783203125, 298.7246398925781]","[83.39682006835938, 297.11358642578125]","[41.33427047729492, 293.55694580078125]","[36.07404708862305, 298.47222900390625]","[32.401981353759766, 322.9091796875]","[2.0711398124694824, 331.52447509765625]","[37.32191467285156, 374.05389404296875]","[5.188619136810303, 402.020751953125]","[78.99169921875, 421.3504638671875]","[57.06784439086914, 437.61553955078125]","[37.77043533325195, 425.41888427734375]","[16.387420654296875, 436.1103820800781]","[125.08441925048828, 436.1103820800781]","[110.82907104492188, 448.58380126953125]","[173.19619750976562, 439.6741943359375]","[169.6323699951172, 445.01995849609375]"
"[766.8648681640625, 354.0115966796875]","[779.3492431640625, 347.7694091796875]","[148.88827514648438, 422.6756591796875]","[779.3492431640625, 360.2537841796875]","[779.3492431640625, 372.7381591796875]","[729.4117431640625, 360.2537841796875]","[741.8961181640625, 366.4959716796875]","[660.7476806640625, 416.4334716796875]","[679.4742431640625, 428.9178466796875]","[660.7476806640625, 385.2225341796875]","[685.7164306640625, 378.9803466796875]","[529.6617431640625, 422.6756591796875]","[535.9039306640625, 422.6756591796875]","[311.1851806640625, 366.4959716796875]","[323.6695556640625, 366.4959716796875]","[167.61483764648438, 428.9178466796875]","[173.85702514648438, 422.6756591796875]"
"[773.1070556640625, 353.2204284667969]","[779.3492431640625, 353.2204284667969]","[779.3492431640625, 359.4626159667969]","[773.1070556640625, 359.4626159667969]","[779.3492431640625, 384.4313659667969]","[698.2008056640625, 365.7048034667969]","[766.8648681640625, 428.1266784667969]","[704.4429931640625, 353.2204284667969]","[710.6851806640625, 340.7360534667969]","[779.3492431640625, 378.1891784667969]","[779.3492431640625, 359.4626159667969]","[523.4195556640625, 428.1266784667969]","[523.4195556640625, 428.1266784667969]","[311.1851806640625, 371.9469909667969]","[323.6695556640625, 365.7048034667969]","[167.61483764648438, 428.1266784667969]","[173.85702514648438, 421.8844909667969]"
"[88.98469543457031, 307.20941162109375]","[88.98469543457031, 299.60076904296875]","[81.3760757446289, 298.0790710449219]","[40.2895622253418, 301.12249755859375]","[34.20267105102539, 302.64422607421875]","[23.55060577392578, 298.0790710449219]","[0.7247611880302429, 328.5135192871094]","[34.20267105102539, 374.16522216796875]","[6.811648368835449, 404.59967041015625]","[75.28919219970703, 419.81689453125]","[57.02851486206055, 436.55584716796875]","[29.637500762939453, 400.03448486328125]","[3.768206834793091, 433.51239013671875]","[32.68095016479492, 360.4697265625]","[2.2464821338653564, 392.4259033203125]","[67.68057250976562, 416.7734375]","[67.68057250976562, 413.7300109863281]"
"[11.560155868530273, 680.0098266601562]","[161.37265014648438, 436.5644836425781]","[148.88827514648438, 424.0801086425781]","[648.2633056640625, 405.3535461425781]","[292.4586181640625, 361.6582336425781]","[679.4742431640625, 367.9004211425781]","[729.4117431640625, 386.6269836425781]","[623.2945556640625, 361.6582336425781]","[760.6226806640625, 411.5957336425781]","[548.3883056640625, 436.5644836425781]","[155.13046264648438, 424.0801086425781]","[492.2086181640625, 430.3222961425781]","[498.4508056640625, 417.8379211425781]","[292.4586181640625, 367.9004211425781]","[304.9429931640625, 361.6582336425781]","[161.37265014648438, 430.3222961425781]","[173.85702514648438, 424.0801086425781]"
"[766.8648681640625, 368.51495361328125]","[773.1070556640625, 356.03057861328125]","[779.3492431640625, 362.27276611328125]","[754.3804931640625, 356.03057861328125]","[766.8648681640625, 362.27276611328125]","[654.5054931640625, 380.99932861328125]","[654.5054931640625, 380.99932861328125]","[648.2633056640625, 356.03057861328125]","[654.5054931640625, 349.78839111328125]","[554.6304931640625, 424.69464111328125]","[754.3804931640625, 356.03057861328125]","[485.9664306640625, 424.69464111328125]","[485.9664306640625, 418.45245361328125]","[292.4586181640625, 368.51495361328125]","[298.7008056640625, 362.27276611328125]","[161.37265014648438, 430.93682861328125]","[173.85702514648438, 424.69464111328125]"
"[754.3804931640625, 355.5797119140625]","[779.3492431640625, 361.8218994140625]","[148.88827514648438, 424.2437744140625]","[723.1695556640625, 349.3375244140625]","[710.6851806640625, 349.3375244140625]","[654.5054931640625, 411.7593994140625]","[685.7164306640625, 393.0328369140625]","[610.8101806640625, 343.0953369140625]","[617.0523681640625, 343.0953369140625]","[729.4117431640625, 349.3375244140625]","[723.1695556640625, 349.3375244140625]","[479.7242431640625, 424.2437744140625]","[467.2398681640625, 418.0015869140625]","[286.2164306640625, 361.8218994140625]","[292.4586181640625, 361.8218994140625]","[161.37265014648438, 430.4859619140625]","[167.61483764648438, 424.2437744140625]"
"[691.9586181640625, 362.183837890625]","[704.4429931640625, 355.941650390625]","[691.9586181640625, 349.699462890625]","[723.1695556640625, 368.426025390625]","[666.9898681640625, 362.183837890625]","[666.9898681640625, 393.394775390625]","[660.7476806640625, 368.426025390625]","[598.3258056640625, 349.699462890625]","[598.3258056640625, 337.215087890625]","[704.4429931640625, 362.183837890625]","[710.6851806640625, 355.941650390625]","[454.7554931640625, 424.605712890625]","[448.5133056640625, 405.879150390625]","[273.7320556640625, 362.183837890625]","[279.9742431640625, 349.699462890625]","[161.37265014648438, 430.847900390625]","[167.61483764648438, 424.605712890625]"
"[691.9586181640625, 361.3815612792969]","[691.9586181640625, 348.8971862792969]","[691.9586181640625, 355.1393737792969]","[698.2008056640625, 348.8971862792969]","[685.7164306640625, 355.1393737792969]","[673.2320556640625, 361.3815612792969]","[660.7476806640625, 386.3503112792969]","[573.3570556640625, 336.4128112792969]","[585.8414306640625, 336.4128112792969]","[691.9586181640625, 348.8971862792969]","[698.2008056640625, 342.6549987792969]","[448.5133056640625, 423.8034362792969]","[448.5133056640625, 411.3190612792969]","[273.7320556640625, 361.3815612792969]","[273.7320556640625, 348.8971862792969]","[161.37265014648438, 430.0456237792969]","[167.61483764648438, 423.8034362792969]"
"[698.2008056640625, 383.0113525390625]","[679.4742431640625, 345.5582275390625]","[436.0289306640625, 407.9801025390625]","[679.4742431640625, 345.5582275390625]","[604.5679931640625, 345.5582275390625]","[592.0836181640625, 395.4957275390625]","[660.7476806640625, 364.2847900390625]","[542.1461181640625, 333.0738525390625]","[548.3883056640625, 326.8316650390625]","[585.8414306640625, 351.8004150390625]","[573.3570556640625, 351.8004150390625]","[442.2711181640625, 420.4644775390625]","[442.2711181640625, 407.9801025390625]","[273.7320556640625, 358.0426025390625]","[273.7320556640625, 351.8004150390625]","[161.37265014648438, 426.7066650390625]","[173.85702514648438, 420.4644775390625]"
