±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[374.20550537109375, 267.0157470703125]","[390.00067138671875, 251.2205047607422]","[350.5126647949219, 251.2205047607422]","[413.69354248046875, 274.9133605957031]","[326.8197937011719, 282.81097412109375]","[453.18157958984375, 401.2751770019531]","[287.3317565917969, 385.47998046875]","[508.46490478515625, 511.841796875]","[224.1508331298828, 488.14892578125]","[563.7482299804688, 606.6130981445312]","[153.07228088378906, 543.4321899414062]","[429.48876953125, 669.7940063476562]","[318.92218017578125, 661.8964233398438]","[445.28399658203125, 867.2344360351562]","[311.0245666503906, 859.3367309570312]","[429.48876953125, 1040.981689453125]","[311.0245666503906, 1048.87939453125]"
"[373.27642822265625, 247.3670196533203]","[389.159912109375, 231.4835662841797]","[357.39306640625, 231.4835662841797]","[412.98504638671875, 247.3670196533203]","[325.62615966796875, 247.3670196533203]","[460.63531494140625, 366.4927978515625]","[285.91754150390625, 366.4927978515625]","[500.34393310546875, 493.5602722167969]","[230.32554626464844, 477.67681884765625]","[540.052490234375, 596.8025512695312]","[158.85008239746094, 541.2105102539062]","[428.86846923828125, 628.5693969726562]","[317.6844482421875, 628.5693969726562]","[428.86846923828125, 827.1123657226562]","[317.6844482421875, 827.1123657226562]","[428.86846923828125, 1025.6551513671875]","[317.6844482421875, 1033.596923828125]"
"[375.8721008300781, 225.6685333251953]","[390.2912292480469, 211.24942016601562]","[354.2434387207031, 211.24942016601562]","[419.1294860839844, 225.6685333251953]","[325.4051818847656, 232.8780975341797]","[462.3868103027344, 348.2310485839844]","[282.1478576660156, 341.021484375]","[491.2250061035156, 485.212646484375]","[238.89051818847656, 463.583984375]","[527.2727661132812, 593.3560180664062]","[159.5853729248047, 535.6795043945312]","[426.3390197753906, 607.7750854492188]","[325.4051818847656, 600.5656127929688]","[433.5485534667969, 788.0140991210938]","[325.4051818847656, 780.8045043945312]","[419.1294860839844, 982.6720581054688]","[325.4051818847656, 982.6720581054688]"
"[379.63616943359375, 210.4141387939453]","[394.21844482421875, 195.83184814453125]","[357.7627258300781, 195.83184814453125]","[416.0919189453125, 210.4141387939453]","[328.5981140136719, 217.70529174804688]","[459.83880615234375, 334.3636474609375]","[284.85125732421875, 327.072509765625]","[489.00335693359375, 472.8954772949219]","[248.39549255371094, 458.3131408691406]","[525.4591064453125, 582.2626342773438]","[160.90174865722656, 523.9334716796875]","[430.6741943359375, 589.5538330078125]","[328.5981140136719, 589.5538330078125]","[437.96533203125, 779.1236572265625]","[328.5981140136719, 764.5413208007812]","[401.50958251953125, 946.8199462890625]","[328.5981140136719, 932.2377319335938]"
"[376.4967956542969, 199.38839721679688]","[397.9686584472656, 185.07382202148438]","[355.0249328613281, 185.07382202148438]","[419.4405822753906, 206.5457000732422]","[326.3957824707031, 213.70297241210938]","[455.2269592285156, 328.21966552734375]","[290.60931396484375, 321.0623779296875]","[483.8561706542969, 464.2081604003906]","[247.6655731201172, 449.89361572265625]","[519.642578125, 564.4102783203125]","[154.6208038330078, 507.15191650390625]","[433.7550964355469, 578.7247924804688]","[326.3957824707031, 578.7247924804688]","[448.0697326660156, 764.8143920898438]","[333.5530700683594, 757.6571044921875]","[390.8114318847656, 915.1174926757812]","[333.5530700683594, 922.2747192382812]"
"[376.9046325683594, 193.76173400878906]","[398.5472106933594, 179.33334350585938]","[355.2620544433594, 179.33334350585938]","[420.1897888183594, 200.9759063720703]","[326.40533447265625, 208.1901092529297]","[456.2607727050781, 323.6171875]","[290.3343811035156, 316.4029846191406]","[485.1175231933594, 460.68682861328125]","[247.04920959472656, 446.2584228515625]","[535.6168212890625, 561.6854858398438]","[146.05055236816406, 489.5435791015625]","[434.6181945800781, 576.1138916015625]","[326.40533447265625, 568.899658203125]","[449.0466003417969, 756.4686279296875]","[333.6195373535156, 756.4686279296875]","[391.3330383300781, 915.1807861328125]","[333.6195373535156, 922.39501953125]"
"[377.4066467285156, 197.16555786132812]","[399.4288024902344, 182.48410034179688]","[355.3844909667969, 182.48410034179688]","[421.4509582519531, 204.5063018798828]","[326.02154541015625, 211.84701538085938]","[458.1546325683594, 321.95794677734375]","[289.31793212890625, 321.95794677734375]","[487.5175476074219, 461.4317626953125]","[237.9328155517578, 439.4095764160156]","[546.2433471679688, 549.5204467773438]","[135.1626434326172, 468.7724609375]","[436.1324768066406, 578.8834228515625]","[326.02154541015625, 578.8834228515625]","[443.4731750488281, 762.4015502929688]","[333.3622741699219, 762.4015502929688]","[392.0881042480469, 931.23828125]","[340.7029724121094, 938.5790405273438]"
"[381.1120300292969, 210.50843811035156]","[396.2237548828125, 195.39674377441406]","[358.4444580078125, 195.39674377441406]","[418.89129638671875, 210.50843811035156]","[328.22100830078125, 218.06430053710938]","[456.67059326171875, 331.4022216796875]","[290.44171142578125, 331.4022216796875]","[494.44989013671875, 467.4076843261719]","[229.9948272705078, 444.7401123046875]","[562.4525756835938, 550.5221557617188]","[124.21281433105469, 452.29595947265625]","[434.0030517578125, 588.3014526367188]","[328.22100830078125, 588.3014526367188]","[449.11474609375, 777.1978759765625]","[335.77685546875, 777.1978759765625]","[403.77960205078125, 958.5385131835938]","[335.77685546875, 966.0943603515625]"
"[382.2105407714844, 221.0773162841797]","[398.0799255371094, 205.20797729492188]","[358.40655517578125, 205.20797729492188]","[421.8839416503906, 221.0773162841797]","[326.6678771972656, 229.01197814941406]","[461.5572814941406, 348.0321044921875]","[294.9292297363281, 340.097412109375]","[501.2306213378906, 474.98681640625]","[223.5171356201172, 459.11749267578125]","[580.5773315429688, 546.3988647460938]","[112.43174743652344, 443.2481689453125]","[437.7532653808594, 594.0068969726562]","[334.6025695800781, 594.0068969726562]","[445.6879577636719, 792.3736572265625]","[326.6678771972656, 784.43896484375]","[413.9492492675781, 990.7404174804688]","[334.6025695800781, 990.7404174804688]"
"[381.517822265625, 247.75100708007812]","[396.909423828125, 232.35940551757812]","[366.126220703125, 232.35940551757812]","[419.996826171875, 247.75100708007812]","[327.647216796875, 247.75100708007812]","[458.475830078125, 370.8838195800781]","[296.864013671875, 363.1880187988281]","[504.650634765625, 494.0166320800781]","[212.21018981933594, 470.9292297363281]","[604.696044921875, 540.1914672851562]","[104.468994140625, 440.1460266113281]","[435.388427734375, 624.8452758789062]","[327.647216796875, 617.1494750976562]","[450.780029296875, 817.2402954101562]","[335.343017578125, 817.2402954101562]","[435.388427734375, 1017.3311157226562]","[335.343017578125, 1025.0267333984375]"
