鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[683.757568359375, 547.3287353515625]","[687.9403686523438, 534.7803344726562]","[679.5747680664062, 534.7803344726562]","[407.69281005859375, 852.673095703125]","[637.7467651367188, 538.963134765625]","[583.3704223632812, 576.6083374023438]","[579.1875610351562, 589.15673828125]","[491.34881591796875, 647.7158813476562]","[487.166015625, 630.9846801757812]","[386.77880859375, 702.0923461914062]","[395.1444091796875, 697.9094848632812]","[382.59600830078125, 639.3502807617188]","[395.1444091796875, 656.0814819335938]","[512.2628173828125, 756.4686889648438]","[503.897216796875, 764.8342895507812]","[395.1444091796875, 856.8558959960938]","[386.77880859375, 865.2214965820312]"
"[687.6006469726562, 541.9424438476562]","[691.8240356445312, 533.4956665039062]","[683.3772583007812, 529.272216796875]","[408.85614013671875, 854.4741821289062]","[645.3666381835938, 533.4956665039062]","[598.9091796875, 584.1764526367188]","[582.0155639648438, 579.9530639648438]","[544.0049438476562, 685.5381469726562]","[518.66455078125, 672.8678588867188]","[497.54754638671875, 761.559326171875]","[476.4305419921875, 770.0061645507812]","[434.196533203125, 668.6444702148438]","[404.6327209472656, 660.1976928710938]","[514.441162109375, 761.559326171875]","[522.8880004882812, 770.0061645507812]","[400.4093017578125, 854.4741821289062]","[391.9625244140625, 862.9209594726562]"
"[704.1632690429688, 528.5521850585938]","[699.9182739257812, 532.7971801757812]","[695.67333984375, 520.062255859375]","[411.2608947753906, 855.4142456054688]","[661.713623046875, 524.3072509765625]","[623.5089721679688, 575.2467651367188]","[602.2841796875, 575.2467651367188]","[585.3043212890625, 672.8809204101562]","[581.0593872070312, 677.1258544921875]","[606.5291137695312, 749.2902221679688]","[598.0392456054688, 779.0049438476562]","[466.44537353515625, 668.6359252929688]","[428.24072265625, 664.3909301757812]","[530.1198120117188, 766.2700805664062]","[530.1198120117188, 774.7599487304688]","[407.01593017578125, 846.92431640625]","[402.7709655761719, 859.6592407226562]"
"[719.5261840820312, 515.9722900390625]","[719.5261840820312, 515.9722900390625]","[711.1644287109375, 507.610595703125]","[422.6863098144531, 846.2588500976562]","[673.536865234375, 511.79144287109375]","[640.0901489257812, 561.9616088867188]","[623.3667602539062, 566.1423950195312]","[640.0901489257812, 653.9401245117188]","[631.7284545898438, 662.3018188476562]","[702.8027954101562, 712.4718627929688]","[702.8027954101562, 729.1952514648438]","[493.7606201171875, 674.8442993164062]","[443.59051513671875, 662.3018188476562]","[535.569091796875, 775.1845092773438]","[531.3882446289062, 779.3654174804688]","[401.7821044921875, 846.2588500976562]","[393.42041015625, 862.9822387695312]"
"[728.327880859375, 495.2840576171875]","[728.327880859375, 478.948974609375]","[717.4378051757812, 484.3940124511719]","[428.85174560546875, 843.7653198242188]","[679.3226928710938, 495.2840576171875]","[646.6525268554688, 538.8441772460938]","[646.6525268554688, 549.7342529296875]","[690.2127075195312, 631.4096069335938]","[706.5477905273438, 642.2996215820312]","[771.8880004882812, 642.2996215820312]","[793.6681518554688, 658.6347045898438]","[494.1920166015625, 664.0797119140625]","[472.41192626953125, 664.0797119140625]","[526.8621215820312, 778.4251098632812]","[532.30712890625, 783.8701782226562]","[407.0716552734375, 849.2103881835938]","[396.1816101074219, 854.6553344726562]"
"[751.6931762695312, 471.73870849609375]","[746.1787109375, 466.22418212890625]","[740.6642456054688, 460.70965576171875]","[426.3367004394531, 835.6968383789062]","[707.5770874023438, 471.73870849609375]","[668.9754638671875, 510.3403015136719]","[674.489990234375, 526.8838500976562]","[729.6351928710938, 576.5145263671875]","[751.6931762695312, 593.0580444335938]","[823.3819580078125, 571.0]","[839.9254760742188, 565.4854736328125]","[509.0544738769531, 637.1741943359375]","[503.5399475097656, 642.6887817382812]","[536.6270141601562, 769.5226440429688]","[542.1415405273438, 775.0371704101562]","[420.8221740722656, 841.2113647460938]","[404.27862548828125, 852.2403564453125]"
"[773.0379638671875, 446.1099853515625]","[767.3074951171875, 446.1099853515625]","[761.5770874023438, 434.64910888671875]","[744.3856811523438, 457.5708923339844]","[732.9248046875, 451.8404541015625]","[681.3507690429688, 486.2231140136719]","[715.7335205078125, 497.6839904785156]","[669.889892578125, 572.1798095703125]","[801.6901245117188, 543.5275268554688]","[669.889892578125, 600.83203125]","[864.7250366210938, 491.95355224609375]","[532.3592529296875, 612.2929077148438]","[543.8201293945312, 629.4842529296875]","[538.0896606445312, 767.0149536132812]","[549.5505981445312, 778.4758911132812]","[423.48077392578125, 835.7803344726562]","[406.2894287109375, 847.2411499023438]"
"[797.8485717773438, 424.90936279296875]","[803.4988403320312, 413.6087646484375]","[786.5480346679688, 413.6087646484375]","[436.22894287109375, 820.4308471679688]","[758.2964477539062, 419.25909423828125]","[730.0449829101562, 458.8112487792969]","[735.6952514648438, 464.4615173339844]","[826.1001586914062, 504.013671875]","[837.4006958007812, 492.71307373046875]","[860.0020141601562, 458.8112487792969]","[871.3025512695312, 430.5596923828125]","[583.136962890625, 611.3694458007812]","[588.7872924804688, 617.0198364257812]","[537.9345092773438, 752.6271362304688]","[543.5847778320312, 763.9277954101562]","[430.57867431640625, 826.0811157226562]","[419.2780456542969, 843.0320434570312]"
"[827.8417358398438, 392.2597351074219]","[822.6561889648438, 376.7030334472656]","[812.2850952148438, 381.88861083984375]","[853.7695922851562, 454.48651123046875]","[775.9861450195312, 387.07415771484375]","[765.6149291992188, 454.48651123046875]","[755.2438354492188, 433.7442626953125]","[843.3984985351562, 485.59991455078125]","[848.5840454101562, 470.043212890625]","[843.3984985351562, 464.857666015625]","[879.6974487304688, 407.8164367675781]","[641.1614379882812, 594.4967651367188]","[646.3469848632812, 594.4967651367188]","[553.0067749023438, 713.7647705078125]","[558.1923828125, 729.3214721679688]","[449.2955017089844, 807.1049194335938]","[433.7388000488281, 822.66162109375]"
"[844.6461181640625, 376.98162841796875]","[839.3859252929688, 361.20111083984375]","[834.1257934570312, 366.4613037109375]","[849.9063110351562, 466.40447998046875]","[797.3046264648438, 366.4613037109375]","[781.5241088867188, 419.06298828125]","[776.263916015625, 408.5426330566406]","[776.263916015625, 566.3475952148438]","[865.686767578125, 445.3638000488281]","[839.3859252929688, 476.9248046875]","[907.7681274414062, 398.02227783203125]","[686.8411254882812, 582.1281127929688]","[681.5809326171875, 576.8679809570312]","[602.678466796875, 692.5916137695312]","[607.9385986328125, 708.3721313476562]","[486.95477294921875, 776.7542724609375]","[471.17425537109375, 803.05517578125]"
