鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[811.6647338867188, 437.42724609375]","[823.9850463867188, 431.26702880859375]","[805.5045776367188, 425.10687255859375]","[854.785888671875, 443.58740234375]","[904.0671997070312, 449.74755859375]","[842.465576171875, 511.34918212890625]","[922.5476684570312, 529.8296508789062]","[725.4224853515625, 425.10687255859375]","[904.0671997070312, 431.26702880859375]","[737.7427978515625, 271.10284423828125]","[879.426513671875, 332.7044677734375]","[787.0241088867188, 819.3572387695312]","[854.785888671875, 813.1970825195312]","[737.7427978515625, 1004.1620483398438]","[823.9850463867188, 998.0018920898438]","[728.5025634765625, 1068.8436279296875]","[814.7448120117188, 1068.8436279296875]"
"[805.2225341796875, 444.7121276855469]","[823.8510131835938, 432.29315185546875]","[805.2225341796875, 432.29315185546875]","[854.8983764648438, 450.9216003417969]","[898.3646850585938, 450.9216003417969]","[842.4794311523438, 519.2258911132812]","[916.9932250976562, 531.6448364257812]","[724.4993286132812, 419.87420654296875]","[898.3646850585938, 432.29315185546875]","[743.1277465820312, 270.8466796875]","[879.7362670898438, 339.1509704589844]","[792.8035888671875, 817.2809448242188]","[861.1078491210938, 804.8619384765625]","[736.9182739257812, 1003.5652465820312]","[823.8510131835938, 1009.7747192382812]","[727.6040649414062, 1068.7646484375]","[826.9557495117188, 1068.7646484375]"
"[807.50146484375, 449.41314697265625]","[819.9502563476562, 436.96435546875]","[894.6431274414062, 349.82275390625]","[857.2966918945312, 449.41314697265625]","[900.8674926757812, 449.41314697265625]","[844.847900390625, 524.10595703125]","[925.7650756835938, 536.5547485351562]","[726.5842895507812, 418.2911376953125]","[900.8674926757812, 430.739990234375]","[739.0330810546875, 268.9055480957031]","[875.9698486328125, 331.1495666503906]","[795.0526733398438, 816.6527709960938]","[863.5210571289062, 804.2039794921875]","[732.8086547851562, 1009.609130859375]","[826.1746826171875, 1015.8335571289062]","[717.2476806640625, 1068.740966796875]","[829.286865234375, 1068.740966796875]"
"[809.3211669921875, 456.25762939453125]","[821.757568359375, 443.82122802734375]","[803.1029663085938, 437.60302734375]","[859.0668334960938, 456.25762939453125]","[896.3760375976562, 450.0394287109375]","[846.63037109375, 530.8760986328125]","[921.2488403320312, 537.0942993164062]","[734.7026977539062, 418.94842529296875]","[896.3760375976562, 425.16656494140625]","[747.1390991210938, 269.71142578125]","[877.721435546875, 331.89349365234375]","[803.1029663085938, 829.3499755859375]","[859.0668334960938, 816.91357421875]","[734.7026977539062, 1034.550537109375]","[827.9757690429688, 1034.550537109375]","[731.5935668945312, 1068.750732421875]","[852.8485717773438, 437.60302734375]"
"[811.16845703125, 463.87298583984375]","[829.78076171875, 451.4647216796875]","[811.16845703125, 457.6688232421875]","[860.8013305664062, 463.87298583984375]","[891.8218383789062, 451.4647216796875]","[848.3931274414062, 532.1181640625]","[922.8423461914062, 538.322265625]","[736.7191772460938, 420.4442138671875]","[891.8218383789062, 420.4442138671875]","[749.1273803710938, 265.34149169921875]","[885.6177368164062, 321.1784973144531]","[804.9642944335938, 829.915283203125]","[860.8013305664062, 817.507080078125]","[742.9232788085938, 1034.6507568359375]","[835.9849243164062, 1034.6507568359375]","[811.16845703125, 451.4647216796875]","[854.5972290039062, 439.0565185546875]"
"[816.1848754882812, 471.1929016113281]","[828.5703735351562, 452.6147155761719]","[816.1848754882812, 458.8074645996094]","[859.5339965820312, 465.00018310546875]","[896.6904296875, 452.6147155761719]","[847.1486206054688, 533.1202392578125]","[921.4613647460938, 545.5056762695312]","[748.0648803710938, 427.8437805175781]","[890.4977416992188, 421.65106201171875]","[748.0648803710938, 273.02545166015625]","[884.3049926757812, 328.7600402832031]","[809.9921875, 836.5641479492188]","[865.7267456054688, 824.1787109375]","[735.6793823242188, 1034.7314453125]","[828.5703735351562, 1040.9241943359375]","[822.3776245117188, 458.8074645996094]","[859.5339965820312, 458.8074645996094]"
"[811.3020629882812, 469.24945068359375]","[829.9396362304688, 456.8243713378906]","[811.3020629882812, 456.8243713378906]","[861.0023803710938, 469.24945068359375]","[898.2776489257812, 463.0368957519531]","[842.3648071289062, 537.5874633789062]","[923.1278686523438, 550.0125122070312]","[749.1765747070312, 425.7616271972656]","[885.8526000976562, 419.5491027832031]","[749.1765747070312, 270.4480285644531]","[879.6400146484375, 332.573486328125]","[811.3020629882812, 835.7896118164062]","[867.2149047851562, 835.7896118164062]","[736.7515258789062, 1034.5908203125]","[829.9396362304688, 1047.0159912109375]","[761.6016845703125, 276.66058349609375]","[854.7898559570312, 456.8243713378906]"
"[815.8171997070312, 473.4898376464844]","[834.3251953125, 461.1512145996094]","[815.8171997070312, 467.3205261230469]","[859.0025024414062, 473.4898376464844]","[896.0183715820312, 454.98187255859375]","[840.4945068359375, 541.3523559570312]","[920.6956176757812, 547.5216674804688]","[754.1240844726562, 424.13531494140625]","[889.8490600585938, 417.96600341796875]","[747.9547729492188, 269.9023132324219]","[883.6797485351562, 325.42620849609375]","[809.6478881835938, 849.8182983398438]","[871.3411254882812, 843.6489868164062]","[735.6160888671875, 1041.067138671875]","[828.1558837890625, 1047.236328125]","[815.8171997070312, 473.4898376464844]","[859.0025024414062, 461.1512145996094]"
"[813.292724609375, 475.1378173828125]","[825.5977783203125, 456.68023681640625]","[813.292724609375, 468.98529052734375]","[856.3604125976562, 475.1378173828125]","[893.2754516601562, 456.68023681640625]","[844.0553588867188, 542.8154907226562]","[917.8855590820312, 555.12060546875]","[751.7675170898438, 425.9176025390625]","[887.1229858398438, 419.76513671875]","[751.7675170898438, 272.1046142578125]","[880.970458984375, 327.477294921875]","[807.1401977539062, 850.4415283203125]","[874.8179321289062, 844.2890014648438]","[739.4624633789062, 1035.01708984375]","[831.7503051757812, 1041.16943359375]","[745.614990234375, 259.799560546875]","[828.6740112304688, 1068.8558349609375]"
"[812.3809204101562, 477.7951965332031]","[824.6317749023438, 465.5443420410156]","[812.3809204101562, 465.5443420410156]","[855.2589111328125, 483.9206237792969]","[898.1369018554688, 477.7951965332031]","[843.008056640625, 545.1749267578125]","[916.5132446289062, 557.4258422851562]","[751.1265869140625, 422.66632080078125]","[892.0115356445312, 428.791748046875]","[751.1265869140625, 269.530517578125]","[885.8860473632812, 330.78485107421875]","[812.3809204101562, 863.6973876953125]","[873.6351928710938, 851.446533203125]","[745.0011596679688, 1035.2093505859375]","[830.7572021484375, 1041.3348388671875]","[827.6945190429688, 1068.899169921875]","[827.6945190429688, 1068.899169921875]"
"[814.62646484375, 483.10406494140625]","[826.8941040039062, 470.8363952636719]","[814.62646484375, 464.7025451660156]","[857.5632934570312, 489.2379150390625]","[894.3663940429688, 476.97021484375]","[839.1618041992188, 550.5762939453125]","[918.9017944335938, 556.7101440429688]","[753.2880249023438, 427.8995056152344]","[888.2326049804688, 427.8995056152344]","[753.2880249023438, 268.41961669921875]","[882.0986938476562, 329.7580261230469]","[814.62646484375, 863.4022216796875]","[875.96484375, 857.2683715820312]","[747.1542358398438, 1035.149658203125]","[845.295654296875, 1041.283447265625]","[744.0872802734375, 1068.8857421875]","[829.9610595703125, 1068.8857421875]"
"[810.8533325195312, 484.4734191894531]","[823.0927734375, 478.3536682128906]","[810.8533325195312, 466.11419677734375]","[853.6914672851562, 490.5931701660156]","[896.5296020507812, 478.3536682128906]","[835.332275390625, 545.6708374023438]","[908.7691040039062, 557.9103393554688]","[755.775634765625, 429.3957824707031]","[890.409912109375, 423.2760314941406]","[749.6559448242188, 270.28253173828125]","[884.2901611328125, 325.3601989746094]","[804.7335815429688, 870.0169067382812]","[872.0506591796875, 857.7775268554688]","[755.775634765625, 1041.3695068359375]","[841.4519653320312, 1047.4892578125]","[740.476318359375, 1068.9083251953125]","[826.1526489257812, 1068.9083251953125]"
"[806.9895629882812, 483.70452880859375]","[819.2448120117188, 477.5768737792969]","[806.9895629882812, 471.44921875]","[849.8831176757812, 489.83221435546875]","[892.7766723632812, 483.70452880859375]","[831.5001831054688, 544.9811401367188]","[911.1597290039062, 563.3640747070312]","[751.8406372070312, 422.4279479980469]","[892.7766723632812, 428.55560302734375]","[751.8406372070312, 269.2365417480469]","[886.6491088867188, 324.3854675292969]","[806.9895629882812, 869.7469482421875]","[868.26611328125, 857.4915771484375]","[757.9683227539062, 1035.193603515625]","[831.5001831054688, 1047.4488525390625]","[822.3086547851562, 1068.8956298828125]","[834.5640258789062, 1068.8956298828125]"
