left,right
"tensor([527.5823, 656.6544])","tensor([572.7510, 651.6356])"
"tensor([527.5190, 656.6544])","tensor([572.6878, 651.6356])"
"tensor([528.1845, 661.6731])","tensor([573.3533, 656.6544])"
"tensor([526.6843, 671.7106])","tensor([571.8530, 666.6918])"
"tensor([526.4971, 671.7106])","tensor([571.6658, 666.6918])"
"tensor([526.4682, 671.7106])","tensor([571.6369, 666.6918])"
"tensor([533.1125, 681.7481])","tensor([568.2437, 681.7481])"
"tensor([533.7584, 681.7481])","tensor([568.8897, 681.7481])"
"tensor([524.6246, 671.7106])","tensor([574.8121, 666.6918])"
"tensor([528.8013, 671.7106])","tensor([573.9700, 666.6918])"
"tensor([528.9826, 671.7106])","tensor([574.1513, 666.6918])"
"tensor([528.0193, 651.6356])","tensor([573.1881, 651.6356])"
"tensor([528.8018, 661.6731])","tensor([568.9517, 656.6544])"
"tensor([528.9697, 671.7106])","tensor([569.1197, 661.6731])"
"tensor([531.3786, 676.7294])","tensor([571.5286, 671.7106])"
"tensor([531.1525, 676.7294])","tensor([571.3026, 671.7106])"
"tensor([530.9783, 676.7294])","tensor([571.1284, 671.7106])"
"tensor([532.9854, 681.7481])","tensor([568.1166, 681.7481])"
"tensor([531.1390, 676.7294])","tensor([566.2702, 676.7294])"
"tensor([530.4220, 676.7294])","tensor([570.5720, 671.7106])"
"tensor([530.5859, 676.7294])","tensor([570.7359, 671.7106])"
"tensor([524.8644, 666.6918])","tensor([570.0331, 656.6544])"
"tensor([524.5533, 666.6918])","tensor([569.7221, 656.6544])"
"tensor([525.1088, 656.6544])","tensor([570.2775, 656.6544])"
"tensor([524.3938, 661.6731])","tensor([569.5626, 656.6544])"
"tensor([527.1370, 671.7106])","tensor([567.2870, 666.6918])"
"tensor([527.0931, 671.7106])","tensor([567.2431, 666.6918])"
"tensor([528.5865, 681.7481])","tensor([568.7365, 681.7481])"
"tensor([529.6857, 681.7481])","tensor([569.8357, 681.7481])"
"tensor([526.9401, 681.7481])","tensor([567.0901, 681.7481])"
"tensor([527.2625, 681.7481])","tensor([567.4125, 681.7481])"
"tensor([527.2626, 681.7481])","tensor([567.4126, 681.7481])"
"tensor([523.8508, 671.7106])","tensor([569.0196, 661.6731])"
"tensor([523.7391, 671.7106])","tensor([568.9079, 661.6731])"
"tensor([522.9718, 651.6356])","tensor([568.1406, 656.6544])"
"tensor([523.0090, 651.6356])","tensor([568.1777, 656.6544])"
"tensor([522.7626, 661.6731])","tensor([567.9315, 656.6544])"
"tensor([522.8047, 661.6731])","tensor([567.9734, 656.6544])"
"tensor([524.4821, 671.7106])","tensor([564.6321, 671.7106])"
"tensor([523.6882, 681.7481])","tensor([563.8381, 681.7481])"
"tensor([524.3957, 686.7668])","tensor([559.5269, 686.7668])"
"tensor([524.5594, 686.7668])","tensor([559.6907, 686.7668])"
"tensor([524.5660, 686.7668])","tensor([559.6972, 686.7668])"
