left,right
"tensor([229.1886, 724.3444])","tensor([301.1136, 718.3506])"
"tensor([230.1135, 718.3506])","tensor([302.0385, 718.3506])"
"tensor([227.6340, 718.3506])","tensor([299.5591, 712.3569])"
"tensor([226.1759, 724.3444])","tensor([298.1010, 718.3506])"
"tensor([225.1932, 724.3444])","tensor([297.1182, 718.3506])"
"tensor([225.1926, 730.3381])","tensor([297.1176, 718.3506])"
"tensor([226.3875, 736.3319])","tensor([292.3187, 724.3444])"
"tensor([229.6290, 734.2565])","tensor([293.3021, 734.2565])"
"tensor([230.9772, 739.3395])","tensor([294.0961, 733.6015])"
"tensor([227.8495, 729.9337])","tensor([292.6806, 729.9337])"
"tensor([226.0100, 724.3444])","tensor([291.9412, 724.3444])"
"tensor([225.5391, 724.3444])","tensor([297.4641, 724.3444])"
"tensor([224.2835, 724.3444])","tensor([296.2085, 718.3506])"
"tensor([222.5696, 723.2341])","tensor([294.3845, 717.2495])"
"tensor([221.5442, 718.3506])","tensor([293.4692, 712.3569])"
"tensor([220.8755, 718.3506])","tensor([292.8005, 718.3506])"
"tensor([219.7980, 724.3444])","tensor([291.7230, 724.3444])"
"tensor([219.5590, 730.3381])","tensor([291.4840, 730.3381])"
"tensor([219.5731, 734.4714])","tensor([291.3165, 728.4928])"
"tensor([221.4192, 731.8506])","tensor([286.4205, 731.8506])"
"tensor([221.5593, 734.2524])","tensor([286.2516, 728.3713])"
"tensor([222.0481, 730.3381])","tensor([287.9794, 730.3381])"
"tensor([222.6881, 724.3444])","tensor([294.6131, 730.3381])"
"tensor([220.0905, 730.3381])","tensor([292.0155, 724.3444])"
"tensor([221.4243, 725.9495])","tensor([292.9173, 725.9495])"
"tensor([223.5681, 721.1110])","tensor([295.1722, 721.1110])"
"tensor([222.2559, 722.0272])","tensor([293.9509, 722.0272])"
"tensor([223.9398, 727.5889])","tensor([295.5942, 727.5889])"
"tensor([227.2505, 742.3256])","tensor([293.1817, 736.3319])"
"tensor([226.9480, 748.3194])","tensor([292.8793, 736.3319])"
"tensor([225.1538, 748.3194])","tensor([291.0850, 742.3256])"
"tensor([232.3376, 748.3194])","tensor([286.2814, 742.3256])"
"tensor([228.8819, 742.3256])","tensor([288.8194, 742.3256])"
"tensor([230.0534, 742.3256])","tensor([289.9909, 736.3319])"
"tensor([224.1065, 748.3194])","tensor([296.0315, 736.3319])"
"tensor([223.5090, 742.3256])","tensor([295.4340, 730.3381])"
"tensor([221.2050, 730.3381])","tensor([293.1300, 724.3444])"
"tensor([215.9914, 724.3444])","tensor([293.9102, 724.3444])"
"tensor([216.0568, 724.3444])","tensor([293.9756, 718.3506])"
"tensor([217.1457, 724.3444])","tensor([295.0645, 724.3444])"
"tensor([216.7359, 736.3319])","tensor([288.6609, 730.3381])"
"tensor([217.3074, 748.3194])","tensor([289.2324, 736.3319])"
"tensor([217.5072, 754.3132])","tensor([295.4260, 742.3256])"
"tensor([214.1683, 754.3132])","tensor([292.0871, 748.3194])"
"tensor([221.6682, 760.3069])","tensor([287.5994, 754.3132])"
"tensor([216.3846, 759.9787])","tensor([287.7164, 759.9787])"
"tensor([220.3316, 760.3069])","tensor([286.2629, 754.3132])"
"tensor([218.5547, 760.3069])","tensor([290.4797, 748.3194])"
"tensor([212.4716, 754.3132])","tensor([290.3904, 742.3256])"
"tensor([212.6616, 748.3194])","tensor([290.5803, 736.3319])"
"tensor([211.5611, 742.3256])","tensor([295.4736, 730.3381])"
"tensor([213.2785, 730.3381])","tensor([291.1973, 730.3381])"
"tensor([213.8708, 718.3506])","tensor([291.7896, 724.3444])"
"tensor([212.8712, 724.3444])","tensor([290.7900, 724.3444])"
"tensor([213.8156, 736.3319])","tensor([291.7344, 730.3381])"
"tensor([213.1498, 742.3256])","tensor([291.0686, 736.3319])"
"tensor([217.7408, 748.3194])","tensor([289.6658, 742.3256])"
"tensor([222.5363, 754.3132])","tensor([288.4675, 748.3194])"
"tensor([223.7028, 754.3132])","tensor([289.6340, 748.3194])"
"tensor([224.3819, 754.0883])","tensor([289.7740, 754.0883])"
"tensor([223.6701, 754.4901])","tensor([289.0972, 748.5422])"
"tensor([221.7877, 748.3194])","tensor([287.7190, 742.3256])"
"tensor([221.9950, 748.3194])","tensor([293.9200, 742.3256])"
"tensor([215.9416, 748.3194])","tensor([293.8604, 736.3319])"
"tensor([215.6160, 736.3319])","tensor([293.5348, 736.3319])"
"tensor([215.9442, 736.3319])","tensor([293.8630, 730.3381])"
"tensor([210.0938, 736.3319])","tensor([294.0063, 736.3319])"
"tensor([211.1508, 742.3256])","tensor([289.0695, 742.3256])"
"tensor([210.8867, 748.3194])","tensor([288.8055, 748.3194])"
"tensor([210.1819, 754.3132])","tensor([288.1006, 754.3132])"
"tensor([210.5639, 760.3069])","tensor([288.4827, 760.3069])"
"tensor([215.8078, 766.3007])","tensor([287.7328, 766.3007])"
