±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[408.2353515625, 323.920166015625]","[418.28948974609375, 313.8659973144531]","[398.1811828613281, 313.8659973144531]","[438.3978271484375, 323.920166015625]","[378.0728759765625, 323.920166015625]","[473.5873718261719, 399.32635498046875]","[347.910400390625, 404.3534240722656]","[508.77691650390625, 484.78668212890625]","[302.66668701171875, 499.867919921875]","[574.1289672851562, 535.0574951171875]","[252.3958740234375, 545.1116333007812]","[453.4790344238281, 580.3012084960938]","[373.0457763671875, 585.3282470703125]","[433.3707275390625, 705.9781494140625]","[378.0728759765625, 705.9781494140625]","[418.28948974609375, 811.5467529296875]","[383.0999450683594, 811.5467529296875]"
"[407.8960266113281, 325.49853515625]","[418.10699462890625, 315.28753662109375]","[392.5795593261719, 315.28753662109375]","[433.4234924316406, 325.49853515625]","[377.2630920410156, 325.49853515625]","[469.16192626953125, 396.97540283203125]","[346.6301574707031, 407.1863708496094]","[510.00579833984375, 483.7687072753906]","[300.6807556152344, 493.97967529296875]","[571.2716674804688, 524.6126098632812]","[249.62583923339844, 534.8236083984375]","[448.73992919921875, 575.6675415039062]","[367.0521240234375, 580.7730102539062]","[428.3179931640625, 713.5156860351562]","[377.2630920410156, 713.5156860351562]","[418.10699462890625, 830.9419555664062]","[387.47406005859375, 820.7308959960938]"
"[403.1893615722656, 332.61749267578125]","[413.8074035644531, 321.99945068359375]","[392.57135009765625, 321.99945068359375]","[435.04345703125, 327.3084716796875]","[371.3352966308594, 327.3084716796875]","[466.8975524902344, 401.63470458984375]","[344.7901916503906, 412.25274658203125]","[509.36968994140625, 486.57891845703125]","[302.3180847167969, 491.887939453125]","[567.768798828125, 513.1240234375]","[249.22792053222656, 523.7420654296875]","[450.9704895019531, 587.4502563476562]","[366.0262451171875, 587.4502563476562]","[424.4254150390625, 730.7936401367188]","[371.3352966308594, 730.7936401367188]","[419.1164245605469, 847.5919189453125]","[376.644287109375, 842.2828979492188]"
"[399.511474609375, 342.578857421875]","[410.1802978515625, 331.9100341796875]","[388.8426513671875, 331.9100341796875]","[431.5179443359375, 337.24444580078125]","[367.5050048828125, 337.24444580078125]","[463.5244140625, 411.9262390136719]","[340.8329162597656, 422.5950622558594]","[511.53411865234375, 491.9423828125]","[298.15765380859375, 497.2768249511719]","[575.5470581054688, 507.9456481933594]","[234.14466857910156, 518.6144409179688]","[447.5211486816406, 593.2962036132812]","[362.1705627441406, 598.630615234375]","[426.1835021972656, 742.6597290039062]","[367.5050048828125, 742.6597290039062]","[415.5146789550781, 870.685546875]","[372.8393859863281, 870.685546875]"
"[401.367919921875, 355.35284423828125]","[412.6571044921875, 344.06365966796875]","[384.43414306640625, 344.06365966796875]","[429.59088134765625, 355.35284423828125]","[367.5003662109375, 355.35284423828125]","[463.45843505859375, 423.08795166015625]","[344.9219970703125, 440.021728515625]","[514.259765625, 502.1122131347656]","[294.1206970214844, 513.4014282226562]","[576.3502807617188, 507.7568054199219]","[220.74099731445312, 519.0459594726562]","[446.524658203125, 603.71484375]","[367.5003662109375, 603.71484375]","[429.59088134765625, 750.4742431640625]","[373.14495849609375, 756.1188354492188]","[418.30169677734375, 885.9443969726562]","[367.5003662109375, 891.5889892578125]"
"[394.9299621582031, 369.750732421875]","[410.3653259277344, 359.46051025390625]","[384.6397399902344, 359.46051025390625]","[425.8006286621094, 369.750732421875]","[369.20440673828125, 374.89581298828125]","[456.67132568359375, 441.78228759765625]","[338.333740234375, 452.072509765625]","[523.5577392578125, 508.66876220703125]","[286.88262939453125, 524.1040649414062]","[595.58935546875, 498.3785400390625]","[209.70591735839844, 524.1040649414062]","[446.3810729980469, 616.716064453125]","[364.0592956542969, 616.716064453125]","[425.8006286621094, 765.92431640625]","[369.20440673828125, 765.92431640625]","[420.655517578125, 894.5520629882812]","[364.0592956542969, 899.6972045898438]"
"[394.0296630859375, 390.8785705566406]","[408.9914245605469, 380.904052734375]","[384.0551452636719, 380.904052734375]","[423.95318603515625, 390.8785705566406]","[364.1061096191406, 390.8785705566406]","[458.8639831542969, 465.68743896484375]","[334.1825866699219, 475.6619567871094]","[528.685546875, 525.5344848632812]","[279.32275390625, 540.4962768554688]","[603.494384765625, 495.6109619140625]","[199.52662658691406, 535.509033203125]","[448.88946533203125, 630.2669067382812]","[364.1061096191406, 630.2669067382812]","[418.9659423828125, 784.8717651367188]","[364.1061096191406, 779.884521484375]","[423.95318603515625, 899.57861328125]","[364.1061096191406, 904.5658569335938]"
"[397.20458984375, 413.10784912109375]","[407.5587158203125, 397.57666015625]","[381.67340087890625, 402.75372314453125]","[423.0898742675781, 407.9307861328125]","[366.1422119140625, 413.10784912109375]","[459.32928466796875, 480.40960693359375]","[335.079833984375, 495.9407958984375]","[531.8081665039062, 537.3572387695312]","[267.778076171875, 552.8884887695312]","[599.1099243164062, 506.294921875]","[195.29920959472656, 547.7113647460938]","[443.798095703125, 651.2526245117188]","[360.96514892578125, 651.2526245117188]","[417.9128112792969, 785.8561401367188]","[355.7880859375, 780.6791381835938]","[423.0898742675781, 899.7514038085938]","[366.1422119140625, 904.9285278320312]"
"[395.5838928222656, 412.8052673339844]","[405.82525634765625, 402.5638732910156]","[380.2217712402344, 402.5638732910156]","[421.1873779296875, 412.8052673339844]","[364.85968017578125, 412.8052673339844]","[457.03228759765625, 484.49505615234375]","[339.25616455078125, 494.7364501953125]","[528.7220458984375, 540.82275390625]","[277.8077697753906, 561.3055419921875]","[595.2911376953125, 515.2192993164062]","[195.87657165527344, 566.4262084960938]","[441.670166015625, 663.7195434570312]","[359.7389831542969, 663.7195434570312]","[426.3080749511719, 786.6163330078125]","[359.7389831542969, 786.6163330078125]","[416.0666809082031, 904.3923950195312]","[364.85968017578125, 904.3923950195312]"
"[395.38702392578125, 400.2557067871094]","[405.9700927734375, 389.6726379394531]","[379.5124206542969, 389.6726379394531]","[421.8447265625, 400.2557067871094]","[363.6377868652344, 405.5472412109375]","[458.8854675292969, 479.6287841796875]","[337.18011474609375, 484.9203186035156]","[517.0924072265625, 532.544189453125]","[278.9731750488281, 564.2933959960938]","[585.8823852539062, 521.9611206054688]","[204.89161682128906, 569.5849609375]","[437.7193298339844, 664.8326416015625]","[358.3462829589844, 664.8326416015625]","[427.1362609863281, 786.5380249023438]","[363.6377868652344, 781.2465209960938]","[416.5531921386719, 902.9518432617188]","[363.6377868652344, 908.243408203125]"
